sentence_id,event_id,temporal_rank
0,2,0
2,1,1
3,0,2
4,1,3
7,1,4
5,1,5
8,2,6
10,2,7
11,2,8
12,2,9
13,0,10
14,2,11
16,2,12
15,1,13
17,0,14
18,2,15
21,2,16
20,2,17
25,0,18
24,2,19
23,2,20
26,0,21
28,0,22
29,4,23
31,1,24
30,0,25
35,1,26
34,2,27
33,2,28
36,1,29
37,0,30
39,3,31
51,3,32
49,1,33
52,2,34
54,2,35
61,1,36
60,0,37
59,1,38
57,0,39
62,0,40
64,0,41
65,1,42
66,3,43
71,2,44
70,1,45
73,0,46
72,1,47
74,0,48
76,1,49
78,1,50
77,1,51
81,0,52
84,1,53
83,0,54
82,1,55
85,2,56
86,1,57
87,0,58
93,0,59
92,0,60
88,3,61
94,1,62
98,0,63
103,2,64
99,1,65
104,0,66
105,0,67
108,1,68
106,1,69
109,0,70
113,4,71
112,1,72
111,2,73
115,3,74
114,0,75
120,1,76
118,1,77
116,1,78
122,1,79
121,1,80
126,4,81
123,1,82
127,5,83
129,1,84
128,3,85
133,0,86
136,5,87
134,2,88
137,1,89
138,2,90
139,3,91
140,1,92
141,2,93
142,1,94
143,1,95
145,1,96
144,1,97
146,0,98
149,1,99
150,0,100
153,2,101
152,1,102
151,1,103
156,0,104
154,2,105
157,1,106
161,0,107
162,0,108
163,0,109
166,0,110
165,3,111
