sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,4,talked,129,135,129,135,,103.0,106.0,103.0,106.0,8,136.0,204.0,136.0,204.0,,,,,verb.communication,1,True
1,11,understand,194,204,443,453,,185.0,188.0,434.0,437.0,8,205.0,272.0,454.0,521.0,,,,,verb.cognition,1,True
2,4,hunting,54,61,577,584,8,33.0,37.0,556.0,560.0,,,,,,,,,,verb.contact,1,True
3,2,pitch,128,133,757,762,13,8.0,28.0,637.0,657.0,13,134.0,144.0,763.0,773.0,,,,,verb.social,1,True
4,1,thought,26,33,801,808,13,21.0,25.0,796.0,800.0,13,34.0,157.0,809.0,932.0,,,,,verb.cognition,1,True
5,0,made,8,12,942,946,13,3.0,7.0,937.0,941.0,13,13.0,139.0,947.0,1073.0,,,,,verb.creation,1,True
6,2,stretched,36,45,1111,1120,13,27.0,31.0,1102.0,1106.0,13,46.0,56.0,1121.0,1131.0,57.0,82.0,1132.0,1157.0,verb.body,1,True
8,2,said,22,26,1608,1612,,1.0,19.0,1587.0,1605.0,"1,21,20",27.0,64.0,1613.0,1650.0,,,,,verb.communication,1,True
9,5,rub,80,83,1732,1735,"1,22",63.0,79.0,1715.0,1731.0,,84.0,94.0,1736.0,1746.0,104.0,135.0,1756.0,1787.0,verb.contact,1,True
10,2,cried,14,19,1880,1885,2,0.0,11.0,1866.0,1877.0,,,,,,,,,,verb.communication,1,True
11,1,exclaimed,16,25,2010,2019,,1.0,13.0,1995.0,2007.0,1,26.0,33.0,2020.0,2027.0,35.0,42.0,2029.0,2036.0,verb.communication,1,True
13,4,dries,59,64,2119,2124,13,0.0,2.0,2060.0,2062.0,,65.0,67.0,2125.0,2127.0,,,,,verb.consumption,1,True
14,0,bowed,94,99,2224,2229,"24,23",5.0,92.0,2135.0,2222.0,23,100.0,107.0,2230.0,2237.0,108.0,181.0,2238.0,2311.0,verb.communication,1,True
16,2,placed,78,84,2438,2444,4,26.0,32.0,2386.0,2392.0,,85.0,89.0,2445.0,2449.0,,,,,verb.contact,1,True
17,1,blew,42,46,2525,2529,4,5.0,7.0,2488.0,2490.0,,47.0,52.0,2530.0,2535.0,53.0,180.0,2536.0,2663.0,verb.change,1,True
18,8,fan,181,184,2846,2849,,169.0,177.0,2834.0,2842.0,4,185.0,193.0,2850.0,2858.0,,,,,verb.contact,1,True
20,2,gathered,48,56,2980,2988,25,31.0,39.0,2963.0,2971.0,,57.0,61.0,2989.0,2993.0,,,,,verb.contact,1,True
21,2,said,29,33,3091,3095,25,1.0,26.0,3063.0,3088.0,27,34.0,59.0,3096.0,3121.0,,,,,verb.communication,1,True
23,0,crowded,10,17,3157,3164,25,5.0,9.0,3152.0,3156.0,,18.0,23.0,3165.0,3170.0,24.0,48.0,3171.0,3195.0,verb.motion,1,True
24,1,blew,71,75,3268,3272,,25.0,40.0,3222.0,3237.0,25,76.0,84.0,3273.0,3281.0,,,,,verb.contact,1,True
25,0,sprang,5,11,3305,3311,25,0.0,4.0,3300.0,3304.0,,,,,,,,,,verb.motion,1,True
27,0,felt,24,28,3561,3565,25,19.0,23.0,3556.0,3560.0,,29.0,33.0,3566.0,3570.0,34.0,39.0,3571.0,3576.0,verb.body,1,True
28,0,gathered,15,23,3727,3735,31,4.0,14.0,3716.0,3726.0,,24.0,29.0,3736.0,3741.0,30.0,73.0,3742.0,3785.0,verb.motion,1,True
