clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the bride,46,3,19,22,the bride,female,1.0,primary
a man named William,23,1,18,19,a man named William,male,1.0,primary
Puck,1,5,10,15,Puck,male,1.0,primary
a young couple who were going to the nearest town to buy all that they needed for setting up house,41,1,8,9,a young couple who were going to the nearest town to buy all that they needed for setting up house,group/nonbinary,1.0,secondary
One of the guests,68,1,7,8,One of the guests,female,1.0,secondary
the cowboys,7,2,5,7,the cowboys,group/nonbinary,1.0,secondary
The bridegroom/the bridegroom,48,2,3,5,The bridegroom,male,1.0,tertiary
William,2,3,2,5,William,male,1.0,tertiary
the young bride,67,1,2,3,the young bride,female,1.0,tertiary
the good man,29,1,2,3,the good man,male,1.0,tertiary
The young people,56,1,1,2,The young people,group/nonbinary,1.0,tertiary
dear,71,1,1,2,dear,unknown,0.0,tertiary
the shepherds,6,2,0,2,the shepherds,unknown,0.0,tertiary
a fairy,74,1,1,2,a fairy,female,1.0,tertiary
the young man,47,1,1,2,the young man,male,1.0,tertiary
The dressmaker/the dressmaker,72,2,0,2,The dressmaker,unknown,0.0,tertiary
immense favourites in the neighbourhood,57,1,0,1,immense favourites in the neighbourhood,unknown,0.0,tertiary
The young people--their parents,59,1,0,1,The young people's parents,unknown,0.0,tertiary
a great crowd assembled to witness the ceremony,55,1,0,1,a great crowd assembled to witness the ceremony,unknown,0.0,tertiary
the girl,51,1,0,1,the girl,female,1.0,tertiary
the men,62,1,0,1,the men,male,1.0,tertiary
the women,63,1,0,1,the women,female,1.0,tertiary
the wearer,66,1,0,1,the wearer,unknown,0.0,tertiary
the guests,69,1,0,1,the guests,unknown,0.0,tertiary
a beautiful girl,75,1,0,1,a beautiful girl,female,1.0,tertiary
everybody,5,1,0,1,everybody,unknown,0.0,tertiary
who were to be invited,45,1,0,1,who were to be invited,unknown,0.0,tertiary
shepherds,39,1,0,1,shepherds,unknown,0.0,tertiary
cowboys,38,1,0,1,cowboys,unknown,0.0,tertiary
the next victim,37,1,0,1,the next victim,unknown,0.0,tertiary
everyone,36,1,0,1,everyone,unknown,0.0,tertiary
the sheep,32,1,0,1,the sheep,unknown,0.0,tertiary
the voice,31,1,0,1,the voice,unknown,0.0,tertiary
its owner,28,1,0,1,its owner,unknown,0.0,tertiary
the grooms,20,1,0,1,the grooms,unknown,0.0,tertiary
cowherds,16,1,0,1,cowherds,unknown,0.0,tertiary
Every woman,13,1,0,1,Every woman,female,1.0,tertiary
child,12,1,0,1,child,unknown,0.0,tertiary
woman,11,1,0,1,woman,female,1.0,tertiary
a man,10,1,0,1,a man,male,1.0,tertiary
the rest,70,1,0,1,the rest,unknown,0.0,tertiary
