sentence_id,event_id,temporal_rank
2,3,0
6,0,1
5,2,2
6,2,3
9,2,4
10,0,5
11,1,6
12,4,7
13,3,8
14,2,9
13,4,10
14,3,11
15,0,12
15,5,13
16,6,14
15,7,15
17,2,16
18,2,17
18,1,18
18,4,19
18,5,20
20,0,21
20,1,22
21,3,23
21,5,24
22,0,25
23,0,26
23,1,27
25,1,28
24,1,29
23,2,30
25,2,31
26,0,32
26,1,33
26,3,34
27,5,35
27,4,36
27,1,37
28,1,38
28,3,39
28,6,40
29,0,41
29,1,42
31,0,43
35,2,44
35,1,45
31,1,46
39,1,47
37,0,48
40,1,49
43,0,50
43,1,51
45,1,52
45,3,53
46,3,54
46,1,55
47,1,56
48,0,57
48,1,58
49,2,59
48,3,60
48,2,61
51,1,62
51,0,63
51,2,64
51,5,65
54,4,66
54,3,67
51,6,68
56,0,69
58,0,70
59,0,71
59,1,72
64,0,73
66,1,74
67,0,75
67,1,76
68,3,77
70,3,78
69,3,79
69,1,80
