sentence_id,text,start,end
0,"When Confucius came to the earth, the Kilin, that strange beast which is the prince of all four-footed animals, and only appears when there is a great man on earth, sought the child and spat out a jade whereon was written: ""Son of the Watercrystal you are destined to become an uncrowned king!"" ",0,295
1,"And Confucius grew up, studied diligently, learned wisdom and came to be a saint. ",295,377
2,"He did much good on earth, and ever since his death has been reverenced as the greatest of teachers and masters. ",377,490
3,He had foreknowledge of many things. ,490,527
4,And even after he had died he gave evidence of this. ,527,580
5,"Once, when the wicked Emperor Tsin Schi Huang had conquered all the other kingdoms, and was traveling through the entire empire, he came to the homeland of Confucius. ",580,747
6,And he found his grave. ,747,771
7,"And, finding his grave, he wished to have it opened and see what was in it. ",771,847
8,"All his officials advised him not to do so, but he would not listen to them. ",847,924
9,"So a passage was dug into the grave, and in its main chamber they found a coffin, whose wood appeared to be quite fresh. ",924,1045
10,When struck it sounded like metal. ,1045,1080
11,"To the left of the coffin was a door, which led into an inner chamber. ",1080,1151
12,"In this chamber stood a bed, and a table with books and clothing, all as though meant for the use of a living person. ",1151,1269
13,Tsin Schi Huang seated himself on the bed and looked down. ,1269,1328
14,"And there on the floor stood two shoes of red silk, whose tips were adorned with a woven pattern of clouds. ",1328,1436
15,A bamboo staff leaned against the wall. ,1436,1476
16,"The Emperor, in jest, put on the shoes, took the staff and left the grave. ",1476,1551
17,"But as he did so a tablet suddenly appeared before his eyes on which stood the following lines: O'er kingdoms six Tsin Schi Huang his army led, To ope my grave and find my humble bed; ",1551,1735
18, He steals my shoes and takes my staff away To reach Schakiu--and his last earthly day! ,1734,1822
19,"Tsin Schi Huang was much alarmed, and had the grave closed again. ",1822,1888
20,But when he reached Schakiu he fell ill of a hasty fever of which he died.,1888,1963
