coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
13,a brave soldier named Kintoki,a brave soldier named Kintoki,0,36,65,0
3,Kintoki,his,4,28,31,1
3,Kintoki,him,4,24,27,0
3,Kintoki,He,4,0,2,0
3,Kintoki,his,3,69,72,0
3,Kintoki,he,3,45,47,0
3,Kintoki,his,3,31,34,0
3,Kintoki,he,2,64,66,0
3,Kintoki,he,1,4,6,0
3,Kintoki,Kintoki,0,58,65,1
3,Kintoki,his,2,51,54,1
14,a beautiful lady,her,1,54,57,0
14,a beautiful lady,a beautiful lady,1,25,41,0
15,some of his friends,some of his friends,2,43,62,0
16,his friends,his friends,2,51,62,1
18,his beautiful young wife,She,7,0,3,0
18,his beautiful young wife,his beautiful young wife,4,28,52,0
18,his beautiful young wife,her,5,8,11,1
18,his beautiful young wife,she,5,31,34,0
18,his beautiful young wife,her,5,77,80,1
18,his beautiful young wife,her,6,96,99,0
20,her husband,her husband,5,8,19,0
20,her husband,her husband,5,77,88,0
24,woodcutters,woodcutters,6,58,69,0
25,a little boy,his,10,5,8,1
25,a little boy,he,9,12,14,0
25,a little boy,he,8,87,89,0
25,a little boy,a little boy,6,71,83,0
25,a little boy,his,8,46,49,0
25,a little boy,him,7,11,14,0
25,a little boy,him,10,21,24,0
25,a little boy,he,8,73,75,0
25,a little boy,he,10,41,43,0
25,a little boy,he,9,38,40,0
25,a little boy,his,10,134,137,1
25,a little boy,him,10,110,113,0
4,Kintaro/Mr. Kintaro,You,149,1,4,0
4,Kintaro/Mr. Kintaro,his,145,32,35,0
4,Kintaro/Mr. Kintaro,you,152,7,10,0
4,Kintaro/Mr. Kintaro,you,152,65,68,0
4,Kintaro/Mr. Kintaro,you,153,45,48,0
4,Kintaro/Mr. Kintaro,Kintaro,147,16,23,0
4,Kintaro/Mr. Kintaro,Kintaro,146,5,12,0
4,Kintaro/Mr. Kintaro,Kintaro,145,5,12,0
4,Kintaro/Mr. Kintaro,my,122,8,10,1
4,Kintaro/Mr. Kintaro,his,134,21,24,1
4,Kintaro/Mr. Kintaro,Kintaro,134,9,16,0
4,Kintaro/Mr. Kintaro,Kintaro,133,149,156,0
4,Kintaro/Mr. Kintaro,Your,154,0,4,0
4,Kintaro/Mr. Kintaro,his,132,6,9,1
4,Kintaro/Mr. Kintaro,Kintaro,130,50,57,0
4,Kintaro/Mr. Kintaro,me,130,24,26,0
4,Kintaro/Mr. Kintaro,you,129,13,16,0
4,Kintaro/Mr. Kintaro,Kintaro,138,43,50,1
4,Kintaro/Mr. Kintaro,you,155,5,8,0
4,Kintaro/Mr. Kintaro,you,176,82,85,0
4,Kintaro/Mr. Kintaro,you,156,18,21,0
4,Kintaro/Mr. Kintaro,he,182,74,76,0
4,Kintaro/Mr. Kintaro,Kintaro,89,11,18,0
4,Kintaro/Mr. Kintaro,Kintaro,181,98,105,0
4,Kintaro/Mr. Kintaro,Kintaro,181,5,12,0
4,Kintaro/Mr. Kintaro,Kintaro,35,24,31,0
