sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
1,2,felt,verb.cognition,3,3
1,6,said,verb.communication,3,119
1,6,said,verb.communication,3,3
1,6,said,verb.communication,3,6
3,1,promised,verb.communication,6,3
3,2,closed,verb.contact,3,3
5,0,said,verb.communication,10,10
5,0,said,verb.communication,10,121
5,0,said,verb.communication,10,6
5,0,said,verb.communication,6,10
5,0,said,verb.communication,6,121
5,0,said,verb.communication,6,6
5,4,have,verb.possession,10,121
8,3,find,verb.possession,16,121
9,0,had,verb.possession,6,21
9,0,had,verb.possession,6,20
10,2,looked,verb.perception,22,20
10,2,looked,verb.perception,20,20
10,3,saw,verb.perception,22,23
10,3,saw,verb.perception,22,20
10,3,saw,verb.perception,20,23
10,3,saw,verb.perception,20,20
10,5,said,verb.communication,22,126
10,5,said,verb.communication,22,20
10,5,said,verb.communication,22,21
10,5,said,verb.communication,22,22
10,5,said,verb.communication,22,123
10,5,said,verb.communication,22,125
10,5,said,verb.communication,22,122
10,5,said,verb.communication,22,10
10,7,marry,verb.social,22,10
11,0,heard,verb.cognition,25,25
11,0,heard,verb.cognition,25,22
11,2,said,verb.communication,25,25
11,2,said,verb.communication,25,22
11,3,do,verb.social,25,22
14,1,give,verb.possession,127,127
14,1,give,verb.possession,22,127
15,0,thought,verb.cognition,25,129
15,0,thought,verb.cognition,25,25
15,5,marry,verb.social,25,129
15,5,marry,verb.social,25,25
16,2,turned,verb.social,6,6
16,3,commanded,verb.communication,6,28
16,3,commanded,verb.communication,6,6
17,0,gave,verb.communication,6,30
17,0,gave,verb.communication,6,6
18,1,commanded,verb.communication,6,6
18,5,said,verb.communication,6,25
19,0,saw,verb.cognition,25,25
19,0,saw,verb.cognition,25,22
20,3,took,verb.possession,25,25
21,2,made,verb.change,25,25
22,0,commended,verb.communication,25,0
22,0,commended,verb.communication,25,25
27,0,said,verb.communication,6,41
28,2,said,verb.communication,41,41
31,0,said,verb.communication,6,41
32,0,seized,verb.contact,41,45
32,5,forsaken,verb.communication,131,132
32,5,forsaken,verb.communication,131,133
34,0,said,verb.communication,41,45
34,0,said,verb.communication,41,134
36,0,put,verb.contact,41,45
37,0,showed,verb.perception,41,45
37,2,said,verb.communication,41,45
37,2,said,verb.communication,41,134
41,4,said,verb.communication,45,54
41,4,said,verb.communication,45,45
43,0,replied,verb.communication,54,45
44,0,took,verb.contact,45,45
46,4,knew,verb.cognition,58,45
47,1,gave,verb.possession,6,45
47,1,gave,verb.possession,6,6
47,3,thinking,verb.cognition,6,6
48,2,curtseyed,verb.communication,45,6
50,1,run,verb.motion,45,45
50,4,made,verb.creation,45,45
51,4,said,verb.communication,54,54
51,4,said,verb.communication,54,45
51,4,said,verb.communication,54,6
52,1,have,verb.consumption,54,141
54,2,cooked,verb.creation,50,6
55,0,made,verb.creation,45,45
55,4,fetched,verb.possession,45,45
56,3,brought,verb.motion,6,6
56,6,thought,verb.cognition,6,6
58,0,commanded,verb.communication,6,54
58,0,commanded,verb.communication,6,6
58,2,brought,verb.motion,54,6
59,3,said,verb.communication,54,1
60,0,came,verb.motion,54,6
61,0,answered,verb.communication,54,54
62,0,said,verb.communication,6,54
63,0,said,verb.communication,54,54
66,2,brought,verb.motion,54,6
66,3,said,verb.communication,54,6
66,3,said,verb.communication,6,6
67,2,asked,verb.communication,6,54
69,0,asked,verb.communication,6,54
69,0,asked,verb.communication,6,6
74,3,obliged,verb.communication,6,54
74,4,send,verb.motion,6,54
75,2,begged,verb.communication,50,54
75,3,let,verb.social,50,54
76,0,answered,verb.communication,6,6
76,2,cook,verb.consumption,6,6
77,1,washed,verb.contact,54,54
78,3,see,verb.perception,6,54
79,4,see,verb.perception,6,54
80,1,changed,verb.change,54,1
80,1,changed,verb.change,54,54
83,1,sent,verb.communication,54,6
83,3,confess,verb.communication,6,1
84,2,said,verb.communication,1,1
86,0,said,verb.communication,54,1
86,0,said,verb.communication,54,134
86,0,said,verb.communication,54,149
86,0,said,verb.communication,54,6
86,0,said,verb.communication,54,54
87,1,let,verb.social,6,1
89,1,thought,verb.cognition,6,107
90,2,put,verb.contact,6,107
91,2,wanted,verb.emotion,6,107
91,2,wanted,verb.emotion,6,6
91,4,broke,verb.change,107,6
92,9,make,verb.creation,107,107
93,2,cooked,verb.consumption,50,6
94,4,saw,verb.perception,6,107
94,4,saw,verb.perception,6,6
94,6,put,verb.contact,6,107
95,0,took,verb.contact,6,107
95,1,held,verb.contact,6,107
96,1,tore,verb.contact,6,107
97,3,hide,verb.perception,107,107
99,0,said,verb.communication,6,107
99,0,said,verb.communication,6,152
99,0,said,verb.communication,6,153
99,0,said,verb.communication,6,6
