sentence_id,event_id,temporal_rank
0,1,0
0,4,1
1,1,2
1,0,3
1,2,4
1,4,5
1,6,6
1,8,7
1,9,8
1,12,9
3,1,10
2,0,11
3,2,12
4,2,13
3,3,14
4,5,15
5,0,16
5,2,17
5,4,18
6,1,19
8,3,20
7,5,21
9,0,22
9,2,23
10,2,24
10,3,25
10,5,26
10,7,27
10,11,28
11,0,29
11,2,30
11,5,31
11,3,32
13,0,33
14,1,34
15,0,35
15,7,36
15,5,37
16,3,38
16,2,39
16,4,40
17,0,41
18,1,42
18,3,43
18,4,44
18,5,45
19,0,46
19,2,47
19,3,48
20,1,49
19,4,50
20,3,51
21,0,52
21,2,53
22,0,54
22,2,55
22,3,56
24,1,57
25,3,58
25,0,59
26,0,60
27,0,61
28,7,62
28,5,63
28,2,64
31,0,65
31,3,66
31,1,67
32,0,68
31,6,69
32,5,70
32,1,71
33,0,72
33,1,73
33,2,74
34,0,75
36,0,76
37,0,77
37,2,78
37,6,79
38,2,80
38,4,81
38,3,82
38,7,83
41,0,84
40,2,85
41,4,86
41,6,87
41,7,88
43,0,89
44,0,90
44,4,91
45,0,92
46,4,93
46,1,94
46,5,95
47,0,96
47,1,97
47,2,98
47,5,99
47,3,100
48,2,101
48,5,102
48,3,103
49,3,104
49,6,105
49,4,106
50,1,107
50,4,108
51,0,109
51,8,110
51,4,111
52,1,112
53,2,113
54,2,114
53,5,115
55,0,116
55,4,117
56,8,118
55,5,119
56,3,120
56,4,121
56,6,122
57,0,123
57,1,124
57,4,125
58,0,126
58,2,127
59,2,128
59,7,129
59,3,130
60,0,131
60,1,132
61,1,133
61,0,134
62,4,135
62,0,136
64,1,137
63,2,138
63,0,139
66,0,140
66,2,141
67,1,142
66,3,143
67,2,144
69,2,145
69,0,146
70,1,147
70,2,148
71,1,149
73,0,150
72,0,151
73,1,152
74,3,153
74,4,154
75,2,155
75,3,156
75,4,157
76,0,158
76,3,159
76,2,160
77,1,161
77,3,162
78,0,163
78,1,164
78,2,165
78,3,166
79,2,167
79,5,168
79,4,169
80,0,170
80,1,171
80,4,172
81,1,173
81,2,174
82,2,175
82,1,176
83,1,177
83,6,178
83,3,179
84,6,180
84,5,181
84,2,182
85,0,183
86,4,184
86,0,185
86,7,186
86,6,187
87,0,188
88,1,189
87,1,190
88,2,191
89,0,192
89,3,193
89,1,194
90,1,195
90,2,196
90,3,197
90,4,198
91,2,199
91,4,200
91,5,201
91,6,202
92,3,203
92,0,204
92,5,205
92,7,206
92,9,207
93,2,208
93,4,209
93,5,210
94,0,211
94,3,212
94,6,213
94,4,214
95,0,215
95,1,216
95,3,217
95,5,218
96,0,219
96,1,220
97,1,221
97,3,222
98,2,223
98,3,224
99,4,225
99,0,226
