sentence_id,text,start,end
0,ONCE upon a time there was a king who had seven sons. ,0,54
1,He was so fond of them that he never could bear to have them all away from him at once. ,54,142
2,One of them always had to stay with him. ,142,183
3,"When they had grown up, six of them were to go forth and look for wives. ",183,256
4,"The youngest the king wanted to keep at home, and the others were to bring along a bride for him. ",256,354
5,"The king gave the six the handsomest clothes that had ever been seen, clothes that glittered from afar. ",354,458
6,"Each received a horse that had cost many hundred dollars, and so they set forth. ",458,539
7,"And after they had been at the courts of many kings, and had seen many princesses, they at last came to a king who had six daughters. ",539,673
8,Such beautiful princesses they had not as yet met with. ,673,729
9,"Each of them paid court to one of them, and when each had won his sweetheart, they rode back home again. ",729,834
10,But they were so deeply in love with their brides that they altogether forgot they were also to bring back a princess for their young brother who had stayed at home. ,834,1000
11,"Now when they had already covered a good bit of the homeward road, they passed close to a steep cliff-side where the giants dwelt. ",1000,1131
12,"And a giant came out, looked at them, and turned them all to stone, princes and princesses. ",1131,1223
13,The king waited and waited for his six sons. ,1223,1268
14,"Though he waited and yearned, they did not come. ",1268,1317
15,"Then he grew very sad, and said that he would never really be happy again. ",1317,1392
16,"""If I did not have you,"" he told his youngest, ""I would not keep on living, so sad am I at having lost your brothers."" ",1392,1511
17,"""But I had already been thinking of asking your permission to set out and find my brothers again,"" said the youngest. ",1511,1629
18,"""No, that I will not allow under any circumstances,"" answered the father, ""otherwise you will be lost to me into the bargain."" ",1629,1756
19,"But the youth's mind was set on going, and he pleaded so long that finally the king had to let him have his way. ",1756,1869
20,"Now the king had only a wretched old nag for him, since the six other princes and their suite had been given all the good horses. ",1869,1999
21,That did not worry the youngest. ,1999,2032
22,"He mounted the shabby old nag, and ""Farewell, father!"" ",2032,2087
23,he said to the king. ,2087,2108
24,"""I will surely return, and perhaps I will bring my six brothers back with me."" ",2108,2187
25,And with that he rode off. ,2187,2214
26,Now when he had ridden a while he met a raven. ,2214,2261
27,"He was lying in the road beating his wings, and unable to move from the spot because he was so starved. ",2261,2365
28,"""O, dear friend, if you will give me a bite to eat, then I'll help you in your hour of direst need!"" ",2365,2466
29,cried the raven. ,2466,2483
30,"""I have not much food, nor are you likely to be able to help me much,"" said the king's son, ""but still I can give you a little, for it is easy to see you need it."" ",2483,2647
31,And with that he gave the raven some of the provisions he had with him. ,2647,2719
32,"And when he had ridden a while longer, he came to a brook. ",2719,2778
33,"There lay a great salmon who had gotten on dry land, and was threshing about, and could not get back into the water. ",2778,2895
34,"""O, dear friend, help me back into the water,"" said the salmon to the king's son, ""and I will help you, too, in your hour of greatest need!"" ",2895,3036
35,"""The help you will be able to give me will probably not amount to much,"" said the prince, ""but it would be a pity if you had to lie there and pine away."" ",3036,3190
36,And with that he pushed the fish back into the water. ,3190,3244
37,"Then he rode on a long, long way, and met a wolf. ",3244,3294
38,"The wolf was so starved that he lay in the middle of the road, and writhed with hunger. ",3294,3382
39,"""Dear friend, let me eat your horse,"" said the wolf. ",3382,3435
40,"""My hunger is so great that my very inwards rattle, because I have had nothing to eat for the past two years!"" ",3435,3546
41,"""No,"" said the prince, ""I cannot do that: first I met a raven, and had to give him my provisions; ",3546,3644
