sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
1,0,slew,3,7,41,45,0,0.0,2.0,38.0,40.0,,,,,verb.communication,1,subject,Aspenclog,19,40,59,male,1.0,primary
2,0,went,8,12,88,92,0,5.0,7.0,85.0,87.0,,,,,verb.motion,2,subject,Aspenclog,19,40,59,male,1.0,primary
2,1,asked,29,34,109,114,0,5.0,7.0,85.0,87.0,,,,,verb.communication,3,subject,Aspenclog,19,40,59,male,1.0,primary
2,3,give,52,56,132,136,3,43.0,45.0,123.0,125.0,,,,,verb.possession,4,subject,the king,10,13,23,male,1.0,secondary
3,0,wanted,3,9,150,156,0,0.0,2.0,147.0,149.0,,,,,verb.emotion,5,subject,Aspenclog,19,40,59,male,1.0,primary
3,3,do,124,126,271,273,0,100.0,112.0,247.0,259.0,,,,,verb.social,6,subject,Aspenclog,19,40,59,male,1.0,primary
4,0,agreed,9,15,284,290,3,0.0,8.0,275.0,283.0,35.0,96.0,310.0,371.0,verb.communication,9,subject,the king,10,13,23,male,1.0,secondary
4,1,thought,42,49,317,324,3,39.0,41.0,314.0,316.0,,,,,verb.cognition,8,subject,the king,10,13,23,male,1.0,secondary
4,3,have,66,70,341,345,3,50.0,52.0,325.0,327.0,,,,,verb.possession,10,subject,the king,10,13,23,male,1.0,secondary
4,4,do,94,96,369,371,0,71.0,82.0,346.0,357.0,,,,,verb.social,11,subject,Aspenclog,19,40,59,male,1.0,primary
5,0,sent,8,12,381,385,3,5.0,7.0,378.0,380.0,31.0,45.0,404.0,418.0,verb.motion,12,subject,the king,10,13,23,male,1.0,secondary
5,1,gather,34,40,407,413,0,13.0,16.0,386.0,389.0,,,,,verb.contact,13,subject,Aspenclog,19,40,59,male,1.0,primary
7,0,took,6,10,514,518,0,3.0,5.0,511.0,513.0,28.0,42.0,536.0,550.0,verb.contact,14,subject,Aspenclog,19,40,59,male,1.0,primary
7,1,harnessed,28,37,536,545,0,3.0,5.0,511.0,513.0,,,,,verb.contact,15,subject,Aspenclog,19,40,59,male,1.0,primary
7,2,drove,57,62,565,570,0,3.0,5.0,511.0,513.0,,,,,verb.motion,16,subject,Aspenclog,19,40,59,male,1.0,primary
7,3,left,76,80,584,588,0,3.0,5.0,511.0,513.0,91.0,145.0,599.0,653.0,verb.possession,18,subject,Aspenclog,19,40,59,male,1.0,primary
8,1,told,12,16,667,671,0,5.0,7.0,660.0,662.0,,,,,verb.communication,19,subject,Aspenclog,19,40,59,male,1.0,primary
8,2,keep,20,24,675,679,0,5.0,7.0,660.0,662.0,,,,,verb.possession,21,subject,Aspenclog,19,40,59,male,1.0,primary
8,4,brought,66,73,721,728,14,25.0,40.0,680.0,695.0,,,,,verb.motion,20,subject,the evil one,9,5,14,male,1.0,tertiary
9,1,commenced,24,33,764,773,0,14.0,23.0,754.0,763.0,,,,,verb.change,22,subject,Aspenclog,19,40,59,male,1.0,primary
9,2,grind,37,42,777,782,0,14.0,33.0,754.0,773.0,,,,,verb.contact,23,subject,Aspenclog,19,40,59,male,1.0,primary
10,0,took,10,14,830,834,0,0.0,9.0,820.0,829.0,,,,,verb.contact,24,subject,Aspenclog,19,40,59,male,1.0,primary
10,1,made,28,32,848,852,0,0.0,9.0,820.0,829.0,,,,,verb.social,26,subject,Aspenclog,19,40,59,male,1.0,primary
11,1,wedged,33,39,896,902,14,16.0,28.0,879.0,891.0,,,,,verb.contact,25,subject,the evil one,9,5,14,male,1.0,tertiary
12,1,seen,24,28,960,964,0,14.0,23.0,950.0,959.0,,,,,verb.perception,27,subject,Aspenclog,19,40,59,male,1.0,primary
