clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
The man/the man,46,4,69,73,The man,male,1.0,primary
the son - in - law/The son - in - law,27,3,64,67,the son - in - law,male,1.0,primary
the wife's husband--His wife/his wife,21,17,26,43,the wife's husband's wife,female,1.0,secondary
The woman/the woman,74,5,10,15,The woman,female,1.0,tertiary
the wife--her husband,16,3,10,13,the wife's husband,male,1.0,tertiary
the wife,15,2,9,11,the wife,female,1.0,tertiary
The dragon,50,2,3,5,The dragon,male,1.0,tertiary
the couple,12,1,4,5,the couple,group/nonbinary,1.0,tertiary
the wife's husband's wife--my mother,89,2,2,4,the wife's husband's wife's mother,female,1.0,tertiary
The wild people who dwell in the South - West,2,1,3,4,The wild people who dwell in the South - West,group/nonbinary,1.0,tertiary
men of the Middle Kingdom,4,1,2,3,men of the Middle Kingdom,male,1.0,tertiary
the wife--Her parents/her parents,17,2,1,3,the wife's parents,unknown,0.0,tertiary
"the son of a poor family , who agreed to labor for three years for one of the wild men in order to become his son - in - law--His son - in - law/his son - in - law",11,2,0,2,"the son of a poor family , who agreed to labor for three years for one of the wild men in order to become his son - in - law's son - in - law",male,1.0,tertiary
his wife 's parents,29,1,1,2,his wife 's parents,female,1.0,tertiary
The woman/the woman--my father,104,1,1,2,The woman's father,male,1.0,tertiary
"the son of a poor family , who agreed to labor for three years for one of the wild men in order to become his son - in - law",8,1,1,2,"the son of a poor family , who agreed to labor for three years for one of the wild men in order to become his son - in - law",male,1.0,tertiary
the son - in - law/The son - in - law--his father - in - law,42,1,1,2,the son - in - law's father - in - law,male,1.0,tertiary
the wife's husband's wife--My parents,91,1,1,2,the wife's husband's wife's parents,group/nonbinary,1.0,tertiary
a monster,94,1,1,2,a monster,male,1.0,tertiary
the son - in - law/The son - in - law--his mother - in - law,32,1,0,1,the son - in - law's mother - in - law,female,1.0,tertiary
masters of many black arts,3,1,0,1,masters of many black arts,unknown,0.0,tertiary
the wife--her mother,24,1,0,1,the wife's mother,female,1.0,tertiary
husband,23,1,0,1,husband,male,1.0,tertiary
a poor family,9,1,0,1,a poor family,unknown,0.0,tertiary
men of the Middle Kingdom--their daughters,7,1,0,1,men of the Middle Kingdom's daughters,male,1.0,tertiary
the wife's husband's wife--my old mother,100,1,0,1,the wife's husband's wife's old mother,female,1.0,tertiary
The man/the man--your mother,102,1,0,1,The man's mother,female,1.0,tertiary
the wild people,65,1,0,1,the wild people,unknown,0.0,tertiary
the wild men,10,1,0,1,the wild men,male,1.0,tertiary
the mother in the cloud,78,1,0,1,the mother in the cloud,female,1.0,tertiary
the bridegroom,19,1,0,1,the bridegroom,unknown,0.0,tertiary
The woman/the woman--her father,80,1,0,1,The woman's father,male,1.0,tertiary
the wife's husband--his old mother,85,1,0,1,the wife's husband's old mother,female,1.0,tertiary
wealthy and respected members of the community,87,1,0,1,wealthy and respected members of the community,unknown,0.0,tertiary
the community,88,1,0,1,the community,unknown,0.0,tertiary
