sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
5,2,gave,71,75,637,641,1,31.0,38.0,597.0,604.0,90.0,98.0,656.0,664.0,verb.cognition,1,subject,Bokwewa,23,104,127,male,1.0,primary
6,0,passed,31,37,725,731,1,28.0,30.0,722.0,724.0,,,,,verb.cognition,2,subject,Bokwewa,23,104,127,male,1.0,primary
6,2,had,154,157,848,851,17,149.0,153.0,843.0,847.0,,,,,verb.possession,3,subject,fairies of the elder age,1,2,3,group/nonbinary,1.0,tertiary
7,0,taught,17,23,904,910,1,0.0,2.0,887.0,889.0,,,,,verb.communication,5,subject,Bokwewa,23,104,127,male,1.0,primary
7,8,hunted,204,210,1091,1097,17,190.0,194.0,1077.0,1081.0,,,,,verb.social,6,subject,fairies of the elder age,1,2,3,group/nonbinary,1.0,tertiary
8,1,learn,37,42,1154,1159,20,12.0,23.0,1129.0,1140.0,,,,,verb.cognition,8,subject,the brother,1,4,5,male,1.0,tertiary
9,0,grew,18,22,1242,1246,20,15.0,17.0,1239.0,1241.0,,,,,verb.change,9,subject,the brother,1,4,5,male,1.0,tertiary
9,1,began,57,62,1281,1286,20,15.0,17.0,1239.0,1241.0,,,,,verb.change,10,subject,the brother,1,4,5,male,1.0,tertiary
9,2,have,66,70,1290,1294,20,15.0,17.0,1239.0,1241.0,,,,,verb.possession,11,subject,the brother,1,4,5,male,1.0,tertiary
10,0,became,3,9,1334,1340,20,0.0,2.0,1331.0,1333.0,,,,,verb.change,13,subject,the brother,1,4,5,male,1.0,tertiary
10,2,seized,47,53,1378,1384,20,0.0,2.0,1331.0,1333.0,,,,,verb.emotion,14,subject,the brother,1,4,5,male,1.0,tertiary
11,0,told,17,21,1441,1445,2,9.0,16.0,1433.0,1440.0,,,,,verb.communication,15,subject,Kwasynd,16,26,42,male,1.0,secondary
11,2,leave,49,54,1473,1478,2,39.0,41.0,1463.0,1465.0,,,,,verb.communication,17,subject,Kwasynd,16,26,42,male,1.0,secondary
12,0,wished,9,15,1492,1498,2,6.0,8.0,1489.0,1491.0,,,,,verb.emotion,16,subject,Kwasynd,16,26,42,male,1.0,secondary
12,1,visit,19,24,1502,1507,2,6.0,8.0,1489.0,1491.0,,,,,verb.social,18,subject,Kwasynd,16,26,42,male,1.0,secondary
12,2,procure,56,63,1539,1546,2,6.0,8.0,1489.0,1491.0,,,,,verb.possession,19,subject,Kwasynd,16,26,42,male,1.0,secondary
13,0,objected,8,16,1563,1571,1,0.0,7.0,1555.0,1562.0,,,,,verb.communication,20,subject,Bokwewa,23,104,127,male,1.0,primary
14,0,overruled,17,26,1589,1598,1,5.0,16.0,1577.0,1588.0,,,,,verb.communication,21,subject,Bokwewa,23,104,127,male,1.0,primary
14,0,overruled,17,26,1589,1598,5,5.0,16.0,1577.0,1588.0,,,,,verb.communication,21,subject,Bokwewa's brother,13,4,17,male,1.0,tertiary
14,1,said,39,43,1611,1615,1,36.0,38.0,1608.0,1610.0,,,,,verb.communication,22,subject,Bokwewa,23,104,127,male,1.0,primary
14,2,departed,84,92,1656,1664,1,81.0,83.0,1653.0,1655.0,,,,,verb.motion,24,subject,Bokwewa,23,104,127,male,1.0,primary
15,0,traveled,3,11,1684,1692,1,0.0,2.0,1681.0,1683.0,,,,,verb.motion,23,subject,Bokwewa,23,104,127,male,1.0,primary
17,2,saw,40,43,1798,1801,1,37.0,39.0,1795.0,1797.0,,,,,verb.perception,26,subject,Bokwewa,23,104,127,male,1.0,primary
19,2,died,54,58,1922,1926,33,29.0,49.0,1897.0,1917.0,,,,,verb.change,25,subject,their company,1,0,1,unknown,0.0,tertiary
19,3,found,63,68,1931,1936,1,60.0,62.0,1928.0,1930.0,86.0,159.0,1954.0,2027.0,verb.perception,28,subject,Bokwewa,23,104,127,male,1.0,primary
19,4,lying,86,91,1954,1959,1,60.0,62.0,1928.0,1930.0,102.0,122.0,1970.0,1990.0,verb.contact,27,subject,Bokwewa,23,104,127,male,1.0,primary
22,0,lifted,3,9,2075,2081,1,0.0,2.0,2072.0,2074.0,,,,,verb.contact,30,subject,Bokwewa,23,104,127,male,1.0,primary
22,1,bearing,22,29,2094,2101,1,0.0,2.0,2072.0,2074.0,34.0,45.0,2106.0,2117.0,verb.contact,31,subject,Bokwewa,23,104,127,male,1.0,primary
22,2,returned,50,58,2122,2130,1,47.0,49.0,2119.0,2121.0,,,,,verb.motion,32,subject,Bokwewa,23,104,127,male,1.0,primary
23,0,said,14,18,2161,2165,1,1.0,8.0,2148.0,2155.0,,,,,verb.communication,33,subject,Bokwewa,23,104,127,male,1.0,primary
23,0,said,14,18,2161,2165,3,1.0,8.0,2148.0,2155.0,,,,,verb.communication,33,subject,Brother,1,1,2,male,1.0,tertiary
23,2,restore,33,40,2180,2187,3,29.0,32.0,2176.0,2179.0,,,,,verb.change,34,subject,Brother,1,1,2,male,1.0,tertiary
25,0,looked,3,9,2227,2233,1,0.0,2.0,2224.0,2226.0,36.0,55.0,2260.0,2279.0,verb.perception,36,subject,Bokwewa,23,104,127,male,1.0,primary
26,2,found,47,52,2327,2332,1,40.0,42.0,2320.0,2322.0,57.0,74.0,2337.0,2354.0,verb.possession,35,subject,Bokwewa,23,104,127,male,1.0,primary
27,1,try,8,11,2364,2367,1,1.0,2.0,2357.0,2358.0,,,,,verb.social,38,subject,Bokwewa,23,104,127,male,1.0,primary
27,2,said,14,18,2370,2374,1,1.0,11.0,2357.0,2367.0,,,,,verb.communication,40,subject,Bokwewa,23,104,127,male,1.0,primary
28,4,opened,70,76,2454,2460,37,45.0,60.0,2429.0,2444.0,,,,,verb.body,39,subject,the young woman,1,39,40,female,1.0,tertiary
28,5,looked,91,97,2475,2481,37,45.0,60.0,2429.0,2444.0,111.0,155.0,2495.0,2539.0,verb.perception,42,subject,the young woman,1,39,40,female,1.0,tertiary
28,7,known,139,144,2523,2528,37,131.0,134.0,2515.0,2518.0,149.0,155.0,2533.0,2539.0,verb.cognition,41,subject,the young woman,1,39,40,female,1.0,tertiary
29,0,paid,15,19,2556,2560,37,11.0,14.0,2552.0,2555.0,,,,,verb.cognition,43,subject,the young woman,1,39,40,female,1.0,tertiary
31,0,listened,4,12,2722,2730,37,0.0,3.0,2718.0,2721.0,,,,,verb.perception,47,subject,the young woman,1,39,40,female,1.0,tertiary
31,1,crossing,31,39,2749,2757,37,0.0,3.0,2718.0,2721.0,,,,,verb.motion,48,subject,the young woman,1,39,40,female,1.0,tertiary
31,2,sat,55,58,2773,2776,37,51.0,54.0,2769.0,2772.0,,,,,verb.contact,49,subject,the young woman,1,39,40,female,1.0,tertiary
33,1,sought,42,48,2912,2918,1,0.0,7.0,2870.0,2877.0,,,,,verb.social,50,subject,Bokwewa,23,104,127,male,1.0,primary
33,2,render,52,58,2922,2928,1,0.0,7.0,2870.0,2877.0,,,,,verb.change,51,subject,Bokwewa,23,104,127,male,1.0,primary
34,1,seeking,30,37,2975,2982,1,0.0,2.0,2945.0,2947.0,,,,,verb.emotion,52,subject,Bokwewa,23,104,127,male,1.0,primary
34,2,have,41,45,2986,2990,1,0.0,2.0,2945.0,2947.0,49.0,105.0,2994.0,3050.0,verb.consumption,53,subject,Bokwewa,23,104,127,male,1.0,primary
35,2,succeeded,101,110,3153,3162,2,86.0,93.0,3138.0,3145.0,,,,,verb.social,55,subject,Kwasynd,16,26,42,male,1.0,secondary
35,3,returning,114,123,3166,3175,2,86.0,93.0,3138.0,3145.0,,,,,verb.motion,57,subject,Kwasynd,16,26,42,male,1.0,secondary
37,0,ordered,36,43,3331,3338,37,32.0,35.0,3327.0,3330.0,,,,,verb.communication,56,subject,the young woman,1,39,40,female,1.0,tertiary
38,1,control,32,39,3462,3469,37,0.0,21.0,3430.0,3451.0,,,,,verb.social,60,subject,the young woman,1,39,40,female,1.0,tertiary
38,2,looked,53,59,3483,3489,37,49.0,52.0,3479.0,3482.0,,,,,verb.perception,59,subject,the young woman,1,39,40,female,1.0,tertiary
39,1,partook,76,83,3598,3605,37,66.0,69.0,3588.0,3591.0,,,,,verb.cognition,61,subject,the young woman,1,39,40,female,1.0,tertiary
39,2,shared,97,103,3619,3625,37,66.0,69.0,3588.0,3591.0,,,,,verb.possession,65,subject,the young woman,1,39,40,female,1.0,tertiary
40,3,arranging,24,33,3710,3719,37,0.0,3.0,3686.0,3689.0,,,,,verb.contact,63,subject,the young woman,1,39,40,female,1.0,tertiary
