sentence_id,event_id,temporal_rank
1,3,0
5,2,1
6,0,2
7,8,3
8,1,4
9,1,5
10,2,6
12,1,7
11,2,8
13,0,9
15,0,10
14,2,11
17,2,12
19,4,13
21,0,14
22,2,15
23,2,16
26,2,17
25,0,18
24,0,19
27,2,20
28,5,21
29,0,22
30,4,23
31,0,24
33,2,25
34,1,26
37,0,27
35,3,28
39,1,29
38,2,30
40,3,31
42,1,32
41,0,33
43,4,34
44,2,35
45,4,36
46,3,37
47,1,38
48,0,39
49,0,40
50,0,41
51,0,42
52,1,43
53,1,44
54,0,45
55,1,46
57,3,47
59,2,48
58,2,49
60,3,50
61,2,51
63,1,52
73,1,53
72,2,54
69,3,55
74,3,56
75,1,57
76,1,58
78,0,59
82,0,60
79,0,61
83,4,62
84,1,63
86,0,64
85,6,65
87,4,66
88,0,67
91,5,68
90,0,69
92,0,70
93,3,71
96,0,72
94,1,73
97,2,74
98,0,75
99,1,76
100,0,77
101,0,78
103,1,79
105,0,80
104,2,81
106,0,82
107,1,83
108,0,84
110,0,85
111,0,86
112,2,87
113,2,88
