coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
1,Bokwewa,Bokwewa,0,0,7,0
1,Bokwewa,Bokwewa,57,31,38,0
1,Bokwewa,my,57,51,53,0
1,Bokwewa,You,58,0,3,0
1,Bokwewa,your,59,54,58,1
1,Bokwewa,I,59,126,127,0
1,Bokwewa,you,59,133,136,0
1,Bokwewa,your,59,167,171,0
1,Bokwewa,you,60,20,23,1
1,Bokwewa,you,60,62,65,1
1,Bokwewa,I,61,44,45,0
1,Bokwewa,you,61,71,74,0
1,Bokwewa,I,63,0,1,0
1,Bokwewa,Bokwewa,83,52,59,1
1,Bokwewa,Bokwewa,86,10,17,0
1,Bokwewa,his,86,122,125,1
1,Bokwewa,he,87,64,66,0
1,Bokwewa,he,87,97,99,0
1,Bokwewa,He,88,0,2,0
1,Bokwewa,him,88,65,68,0
1,Bokwewa,you,57,7,10,0
1,Bokwewa,his,88,72,75,0
1,Bokwewa,his,56,39,42,0
1,Bokwewa,him,55,26,29,0
1,Bokwewa,his,33,59,62,0
1,Bokwewa,He,34,0,2,0
1,Bokwewa,his,35,17,20,0
1,Bokwewa,Bokwewa,44,4,11,0
1,Bokwewa,Bokwewa,45,43,50,0
1,Bokwewa,you,45,164,167,0
1,Bokwewa,Bokwewa,46,73,80,0
1,Bokwewa,his,46,152,155,0
1,Bokwewa,He,47,0,2,0
1,Bokwewa,He,48,0,2,0
1,Bokwewa,he,49,49,51,0
1,Bokwewa,his,50,5,8,1
1,Bokwewa,Bokwewa,50,27,34,0
1,Bokwewa,he,52,17,19,0
1,Bokwewa,he,53,10,12,0
1,Bokwewa,he,53,80,82,0
1,Bokwewa,he,54,8,10,0
1,Bokwewa,he,54,21,23,0
1,Bokwewa,Bokwewa,55,0,7,0
1,Bokwewa,he,56,5,7,0
1,Bokwewa,his,88,102,105,1
1,Bokwewa,Bokwewa,89,5,12,0
1,Bokwewa,He,90,0,2,0
1,Bokwewa,him,104,103,106,0
1,Bokwewa,Bokwewa,105,20,27,0
1,Bokwewa,his,105,186,189,0
1,Bokwewa,Bokwewa,106,9,16,0
1,Bokwewa,him,107,16,19,0
1,Bokwewa,he,107,54,56,0
1,Bokwewa,him,108,16,19,0
1,Bokwewa,his,109,9,12,0
1,Bokwewa,he,110,5,7,0
1,Bokwewa,he,111,8,10,0
1,Bokwewa,Bokwewa,112,25,32,0
1,Bokwewa,he,112,79,81,0
1,Bokwewa,he,112,183,185,0
1,Bokwewa,he,112,208,210,0
1,Bokwewa,He,113,0,2,0
1,Bokwewa,him,113,110,113,0
1,Bokwewa,him,113,142,145,0
1,Bokwewa,him,113,188,191,0
1,Bokwewa,him,113,210,213,0
1,Bokwewa,he,104,78,80,0
1,Bokwewa,his,104,35,38,0
1,Bokwewa,he,104,17,19,0
1,Bokwewa,his,103,121,124,0
1,Bokwewa,his,90,19,22,0
1,Bokwewa,He,91,0,2,0
1,Bokwewa,his,91,34,37,1
1,Bokwewa,he,91,92,94,0
1,Bokwewa,his,91,171,174,1
1,Bokwewa,Bokwewa,92,0,7,0
1,Bokwewa,his,92,25,28,1
1,Bokwewa,he,93,75,77,0
1,Bokwewa,he,93,109,111,0
1,Bokwewa,his,33,25,28,1
1,Bokwewa,Bokwewa,94,20,27,0
1,Bokwewa,he,95,82,84,0
1,Bokwewa,he,96,14,16,0
1,Bokwewa,his,97,78,81,0
1,Bokwewa,He,98,0,2,0
1,Bokwewa,he,99,10,12,0
1,Bokwewa,he,100,6,8,0
1,Bokwewa,he,101,10,12,0
1,Bokwewa,he,103,3,5,0
1,Bokwewa,Bokwewa,103,18,25,0
1,Bokwewa,he,95,30,32,0
1,Bokwewa,Bokwewa,33,0,7,0
1,Bokwewa,he,49,33,35,0
1,Bokwewa,He,15,0,2,0
1,Bokwewa,his,31,16,19,0
1,Bokwewa,me,24,7,9,0
1,Bokwewa,himself,30,65,72,0
1,Bokwewa,He,22,0,2,0
1,Bokwewa,Bokwewa,13,0,7,0
1,Bokwewa,his,14,5,8,1
