sentence_id,text,start,end
0,"Once upon a time there was a man who had a cat, and she ate so very much that he did not want to keep her any longer. ",0,118
1,"So he decided to tie a stone around her neck, and throw her into the river; ",118,194
2, but before he did so she was to have something to eat just once more. ,193,264
3,The woman offered her a dish of mush and a little potful of fat. ,264,329
4,"These she swallowed, and then jumped out of the window. ",329,385
5,There stood the man on the threshing-floor. ,385,429
6,"""Good-day, man in the house,"" said the cat. ",429,473
7,"""Good-day, cat,"" said the man. ",473,504
8,"""Have you had anything to eat yet to-day?"" ",504,547
9,"""O, only a little, but my fast has hardly been broken,"" said the cat. ",547,617
10,"""I have had no more than a dish of mush and a little potful of fat, and I am thinking over whether I ought not to eat you as well,"" said she, and she seized the man and ate him up. ",617,798
11,Then she went into the stable. ,798,829
12,"There sat the woman, milking. ",829,859
13,"""Good-day, woman in the stable,"" said the cat. ",859,906
14,"""Good-day, cat, is that you?"" ",906,936
15,said the woman. ,936,952
16,"""Have you eaten your food?"" ",952,980
17,she asked. ,980,991
18,"""O, only a little to-day. ",991,1017
19,"My fast has hardly been broken,"" said the cat. ",1017,1064
20,"""I have had no more than a dish of mush and a little potful of fat and the man in the house, and I'm thinking over whether I ought not to eat you as well,"" said she, and she seized the woman and ate her up. ",1064,1271
21,"""Good-day, cow at the manger,"" said the cat to the bell-cow. ",1271,1332
22,"""Good-day, cat,"" said the bell-cow. ",1332,1368
23,"""Have you had anything to eat yet to-day?"" ",504,547
24,"""O, only a little. ",1411,1430
25,"My fast has hardly been broken,"" said the cat. ",1017,1064
26,"""I have had no more than a dish of mush and a little potful of fat and the man in the house and the woman in the stable, and I'm thinking over whether I ought not to eat you as well,"" said the cat, and seized the bell-cow and ate her up. ",1477,1715
27,"Then she went up to the orchard, and there stood a man who was sweeping up leaves. ",1715,1798
28,"""Good-day, leaf-sweeper in the orchard,"" said the cat. ",1798,1853
29,"""Good-day, cat,"" said the man. ",473,504
30,"""Have you had anything to eat yet to-day?"" ",504,547
31,"""O, only a little. ",1411,1430
32,"My fast has hardly been broken,"" said the cat. ",1017,1064
33,"""I have had no more than a dish of mush and a little potful of fat and the man in the house and the woman in the stable and the bell-cow at the manger, and I'm thinking over whether I ought not to eat you up as well,"" said she, and seized the leaf-sweeper and ate him up. ",1993,2265
34,Then she came to a stone-pile. ,2265,2296
35,"There stood the weasel, looking about him. ",2296,2339
