sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"In the old days there lived on a headland that juts out into the northwestern corner of Lake Rasval, in the neighborhood of the Linde mining-district, a charcoal-burner named Nils, generally known as Charcoal Nils. ",named,BEFORE,"He let a farm-hand attend to his little plot of land, and he himself made his home in the forest, where he chopped wood in the summer and burned it to charcoal in the winter. ",burned,0,1,2,4
"He let a farm-hand attend to his little plot of land, and he himself made his home in the forest, where he chopped wood in the summer and burned it to charcoal in the winter. ",burned,AFTER,"Yet no matter how hard he struggled, his work was unblessed with reward, and no one ever spoke of him save as poor Charcoal Nils. ",struggled,1,2,4,0
"Yet no matter how hard he struggled, his work was unblessed with reward, and no one ever spoke of him save as poor Charcoal Nils. ",struggled,BEFORE,"One day, when he was on the opposite shore of the lake, near the gloomy Harsberg, a strange woman came up to him, and asked whether he needed some one to help him with his charcoal burning. ",help,2,3,0,4
"One day, when he was on the opposite shore of the lake, near the gloomy Harsberg, a strange woman came up to him, and asked whether he needed some one to help him with his charcoal burning. ",help,BEFORE,"""Yes, indeed,"" said he, ""help would be welcome."" ",said,3,4,4,0
"""Yes, indeed,"" said he, ""help would be welcome."" ",said,BEFORE,"So she began to gather blocks of wood and tree-trunks, more than Charcoal Nils could have dragged together with his horse, and by noon there was enough wood for a new kiln. ",began,4,5,0,0
"So she began to gather blocks of wood and tree-trunks, more than Charcoal Nils could have dragged together with his horse, and by noon there was enough wood for a new kiln. ",began,BEFORE,"When evening came, she asked the charcoal-burner whether he were satisfied with the day's work she had done, and if she were to come back the next day. ",asked,5,6,0,1
"When evening came, she asked the charcoal-burner whether he were satisfied with the day's work she had done, and if she were to come back the next day. ",asked,BEFORE,"And when the kiln had been burned out she helped Nils clear it, and never before had he had such a quantity of charcoal, nor charcoal of so fine a quality. ",helped,6,8,1,3
"And when the kiln had been burned out she helped Nils clear it, and never before had he had such a quantity of charcoal, nor charcoal of so fine a quality. ",helped,BEFORE,"They had three children, yet this worried Nils but little, seeing that she looked after them, and they gave him no trouble. ",gave,8,10,3,3
"They had three children, yet this worried Nils but little, seeing that she looked after them, and they gave him no trouble. ",gave,BEFORE,"But when the fourth year came, she grew more exacting, and insisted on going back to his home with him, and living with him there. ",insisted,10,11,3,2
"But when the fourth year came, she grew more exacting, and insisted on going back to his home with him, and living with him there. ",insisted,BEFORE,Nils wished to hear nothing about this; ,hear,11,12,2,1
