sentence_id,text,start,end
0,"Once upon a time there was a woman who had seven hungry children, and she was baking pancakes for them. ",0,104
1,"There was dough made with new milk, and it lay in the pan, and was rising so plumply and comfortably, that it was a pleasure to watch it. ",104,242
2,"The children stood around it, and their grandfather sat and looked on. ",242,313
3,"""Give me a little bit of pancake, mother, I'm so hungry!"" ",313,371
4,said one of the children. ,371,397
5,"""Dear mother!"" ",397,412
6,said the second. ,412,429
7,"""Dear, sweet mother!"" ",429,451
8,said the third. ,451,467
9,"""Dear, sweet, good mother!"" ",467,495
10,said the fourth. ,495,512
11,"""Dear, best, sweet, good mother!"" ",512,546
12,said the fifth. ,546,562
13,"""Dear, best, sweet, good, dearest mother!"" ",562,605
14,said the sixth. ,605,621
15,"""Dear, best, sweet, good, dearest, sweetest mother!"" ",621,674
16,"said the seventh, and so they all begged around the pancake, one more sweetly than the other, for they were all so hungry and so well-behaved. ",674,817
17,"""Yes, children, wait until it turns around,"" said she--until I have turned it around, she should have said--""then you shall all have a pancake, a lovely best-milk pancake. ",817,989
18,"Just see how fat and comfortable it is lying there!"" ",989,1042
19,"When the pancake heard that it was frightened, turned itself around suddenly, and wanted to get out of the pan. ",1042,1154
20,"But it only fell on its other side, and when this had baked a little, so that it took shape and grew firmer, it leaped out on the floor. ",1154,1291
21,"And it rolled off like a wheel, out of the door, and down the street. ",1291,1361
22,Hey there! ,1361,1372
23,"The woman was after it with the pan in one hand, and the spoon in the other, as fast as she could, and after her came the children, and last of all, their grandfather came hobbling along. ",1372,1560
24,"""Will you wait! ",1560,1576
25,Halt! ,1576,1582
26,Catch it! ,1582,1592
27,"Hold it!"" ",1592,1602
28,"they all cried together, and wanted to catch up with it and grab it on the run; ",1602,1682
29," but the pancake rolled and rolled, and sure enough, it got so far ahead of them that they could no longer see it, for it had nimbler legs than all of them. ",1681,1838
30,After it had rolled a while it met a man. ,1838,1880
31,"""Good-day, pancake,"" said the man. ",1880,1915
32,"""Good-day, Man Tan,"" said the pancake. ",1915,1954
33,"""Dear, good pancake, don't roll so fast; ",1954,1995
34," but wait a little and let me eat you!"" ",1994,2034
35,said the man. ,1901,1915
36,"""Mother Gray and grandpa I've left behind, and the seven squallers, too, you'll find, so I think I can leave you as well, Man Tan!"" ",2048,2180
37,"said the pancake, and rolled and rolled until it met a hen. ",2180,2240
38,"""Good-day, pancake,"" said the hen. ",2240,2275
39,"""Good-day, Hen Glen,"" said the pancake. ",2275,2315
40,"""Dear, good pancake, don't roll so fast, wait a little and I will eat you up!"" ",2315,2394
41,said the hen. ,2261,2275
42,"""Mother Gray and grandpa I've left behind, and the seven squallers, too, you'll find, and Man Tan, so I think I can leave you as well, Hen Glen!"" ",2408,2554
43,"said the pancake, and rolled along the road like a wheel. ",2554,2612
44,Then it met a rooster. ,2612,2635
45,"""Good-day, pancake,"" said the rooster. ",2635,2674
46,"""Good-day, Rooster Booster,"" said the pancake. ",2674,2721
47,"""Dear, good pancake, don't roll so fast. ",2721,2762
48,"Wait a little and I will eat you up!"" ",2762,2800
49,said the rooster. ,2656,2674
50,"""Mother Gray and grandpa I've left behind, and the seven squallers, too, you'll find, and Man Tan and Hen Glen, and so I think I can leave you as well, Rooster Booster,"" said the pancake, and rolled and rolled as fast as ever it could. ",2818,3054
51,And after it had rolled a long time it met a duck. ,3054,3105
52,"""Good-day, pancake,"" said the duck. ",3105,3141
53,"""Good-day, Duck Tuck,"" said the pancake. ",3141,3182
54,"""Dear, good pancake, don't roll so fast. ",2721,2762
55,"Wait a little and I will eat you up!"" ",2762,2800
56,said the duck. ,3126,3141
57,"""Mother Gray and grandpa I've left behind, and the seven squallers, too, you'll find, and Man Tan, and Hen Glen and Rooster Booster, so I think I can leave you as well,"" said the pancake, and rolled on as fast as ever it could. ",3276,3504
58,"After it had rolled a long, long time, it met a goose. ",3504,3559
59,"""Good-day, pancake,"" said the goose. ",3559,3596
60,"""Good-day, Goose Loose,"" said the pancake. ",3596,3639
61,"""Dear, good pancake, don't roll so fast. ",2721,2762
62,"Wait a little and I will eat you up!"" ",2762,2800
63,said the goose. ,3580,3596
64,"""Mother Gray and grandpa I've left behind, and the seven squallers, too, you'll find, and Man Tan and Hen Glen and Rooster Booster and Duck Tuck, and I think I can leave you as well, Goose Loose,"" said the pancake, and rolled away. ",3734,3966
65,"After it had again rolled for a long, long time, it met a gander. ",3966,4032
66,"""Good-day, pancake,"" said the gander. ",4032,4070
