sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
3,1,began,72,77,479,484,12,54.0,71.0,461.0,478.0,,,,,verb.change,True,0,subject,the mother - in - law,1.0,10.0,11.0,female,1.0,tertiary
4,1,bear,14,18,535,539,12,0.0,3.0,521.0,524.0,85.0,130.0,606.0,651.0,verb.consumption,True,1,subject,the mother - in - law,1.0,10.0,11.0,female,1.0,tertiary
5,0,employed,4,12,657,665,12,0.0,3.0,653.0,656.0,,,,,verb.consumption,True,3,subject,the mother - in - law,1.0,10.0,11.0,female,1.0,tertiary
6,3,had,172,175,979,982,21,167.0,171.0,974.0,978.0,,,,,verb.possession,True,2,subject,the mother - in - law's sisters,7.0,14.0,21.0,female,1.0,tertiary
7,1,tell,48,52,1127,1131,23,0.0,13.0,1079.0,1092.0,,,,,verb.communication,True,6,subject,The poor girl,1.0,6.0,7.0,female,1.0,tertiary
8,0,governed,14,22,1189,1197,24,5.0,13.0,1180.0,1188.0,27.0,35.0,1202.0,1210.0,verb.social,True,5,subject,The poor girl's father,1.0,2.0,3.0,male,1.0,tertiary
8,0,governed,14,22,1189,1197,25,5.0,13.0,1180.0,1188.0,27.0,35.0,1202.0,1210.0,verb.social,True,5,subject,The poor girl's father's wife,1.0,0.0,1.0,female,1.0,tertiary
9,1,done,13,17,1225,1229,23,5.0,8.0,1217.0,1220.0,,,,,verb.social,True,4,subject,The poor girl,1.0,6.0,7.0,female,1.0,tertiary
10,1,called,66,72,1430,1436,26,5.0,64.0,1369.0,1428.0,,,,,verb.communication,True,8,subject,the youngest,2.0,6.0,8.0,female,1.0,tertiary
10,1,called,66,72,1430,1436,27,5.0,64.0,1369.0,1428.0,,,,,verb.communication,True,8,subject,the eldest,2.0,3.0,5.0,unknown,0.0,tertiary
11,2,dressed,127,134,1580,1587,21,110.0,114.0,1563.0,1567.0,,,,,verb.body,True,7,subject,the mother - in - law's sisters,7.0,14.0,21.0,female,1.0,tertiary
12,2,invited,49,56,1650,1657,30,17.0,31.0,1618.0,1632.0,,,,,verb.social,True,9,subject,the King 's son,7.0,6.0,13.0,male,1.0,tertiary
12,2,invited,49,56,1650,1657,29,17.0,31.0,1618.0,1632.0,,,,,verb.social,True,9,subject,the King,8.0,0.0,8.0,male,1.0,tertiary
13,1,invited,27,34,1715,1722,32,0.0,16.0,1688.0,1704.0,,,,,verb.communication,True,10,subject,Our young misses,1.0,28.0,29.0,group/nonbinary,1.0,tertiary
14,1,choosing,73,81,1849,1857,32,0.0,4.0,1776.0,1780.0,127.0,147.0,1903.0,1923.0,verb.cognition,True,12,subject,Our young misses,1.0,28.0,29.0,group/nonbinary,1.0,tertiary
16,2,plaited,51,58,2013,2020,1,12.0,15.0,1974.0,1977.0,,,,,verb.contact,True,11,subject,Cinderella,27.0,162.0,189.0,female,1.0,primary
17,3,dressed,60,67,2095,2102,32,45.0,49.0,2080.0,2084.0,,,,,verb.body,True,13,subject,Our young misses,1.0,28.0,29.0,group/nonbinary,1.0,tertiary
18,2,wear,40,44,2144,2148,27,33.0,34.0,2137.0,2138.0,64.0,84.0,2168.0,2188.0,verb.body,True,14,subject,the eldest,2.0,3.0,5.0,unknown,0.0,tertiary
21,4,adjust,83,89,2496,2502,32,34.0,38.0,2447.0,2451.0,,,,,verb.change,True,17,subject,Our young misses,1.0,28.0,29.0,group/nonbinary,1.0,tertiary
22,7,dress,182,187,2781,2786,1,166.0,178.0,2765.0,2777.0,201.0,243.0,2800.0,2842.0,verb.body,True,18,subject,Cinderella,27.0,162.0,189.0,female,1.0,primary
23,2,said,28,32,2872,2876,32,23.0,27.0,2867.0,2871.0,,,,,verb.communication,True,19,subject,Our young misses,1.0,28.0,29.0,group/nonbinary,1.0,tertiary
25,1,jeer,20,24,2968,2972,32,11.0,14.0,2959.0,2962.0,,,,,verb.communication,True,20,subject,Our young misses,1.0,28.0,29.0,group/nonbinary,1.0,tertiary
26,2,go,31,33,3007,3009,1,23.0,24.0,2999.0,3000.0,,,,,verb.motion,True,21,subject,Cinderella,27.0,162.0,189.0,female,1.0,primary
27,1,replied,30,37,3048,3055,1,1.0,11.0,3019.0,3029.0,,,,,verb.communication,True,22,subject,Cinderella,27.0,162.0,189.0,female,1.0,primary
29,2,dressed,33,40,3160,3167,1,0.0,21.0,3127.0,3148.0,,,,,verb.body,True,23,subject,Cinderella,27.0,162.0,189.0,female,1.0,primary
30,0,broke,5,10,3328,3333,32,0.0,4.0,3323.0,3327.0,,,,,verb.contact,True,25,subject,Our young misses,1.0,28.0,29.0,group/nonbinary,1.0,tertiary
32,1,followed,36,44,3542,3550,1,25.0,35.0,3531.0,3541.0,50.0,84.0,3556.0,3590.0,verb.motion,True,26,subject,Cinderella,27.0,162.0,189.0,female,1.0,primary
33,1,asked,41,46,3689,3694,1,0.0,39.0,3648.0,3687.0,,,,,verb.communication,True,27,subject,Cinderella,27.0,162.0,189.0,female,1.0,primary
33,1,asked,41,46,3689,3694,38,0.0,39.0,3648.0,3687.0,,,,,verb.communication,True,27,subject,Cinderella's godmother,13.0,26.0,39.0,female,1.0,tertiary
34,0,wish,3,7,3723,3727,38,1.0,2.0,3721.0,3722.0,,,,,verb.communication,True,28,subject,Cinderella's godmother,13.0,26.0,39.0,female,1.0,tertiary
35,1,speak,21,26,3774,3779,1,1.0,4.0,3754.0,3757.0,37.0,79.0,3790.0,3832.0,verb.communication,True,29,subject,Cinderella,27.0,162.0,189.0,female,1.0,primary
36,2,wish,59,63,3893,3897,1,55.0,58.0,3889.0,3892.0,,,,,verb.emotion,True,30,subject,Cinderella,27.0,162.0,189.0,female,1.0,primary
39,3,contrive,60,68,4044,4052,38,53.0,54.0,4037.0,4038.0,,,,,verb.communication,True,32,subject,Cinderella's godmother,13.0,26.0,39.0,female,1.0,tertiary
42,2,left,55,59,4399,4403,1,0.0,13.0,4344.0,4357.0,,,,,verb.cognition,True,34,subject,Cinderella,27.0,162.0,189.0,female,1.0,primary
42,2,left,55,59,4399,4403,38,0.0,13.0,4344.0,4357.0,,,,,verb.cognition,True,34,subject,Cinderella's godmother,13.0,26.0,39.0,female,1.0,tertiary
43,1,struck,17,23,4442,4448,38,13.0,16.0,4438.0,4441.0,,,,,verb.contact,True,36,subject,Cinderella's godmother,13.0,26.0,39.0,female,1.0,tertiary
44,0,went,9,13,4559,4563,38,0.0,3.0,4550.0,4553.0,53.0,78.0,4603.0,4628.0,verb.motion,True,37,subject,Cinderella's godmother,13.0,26.0,39.0,female,1.0,tertiary
45,4,says,53,57,4955,4959,1,0.0,50.0,4902.0,4952.0,,,,,verb.communication,True,38,subject,Cinderella,27.0,162.0,189.0,female,1.0,primary
45,4,says,53,57,4955,4959,45,0.0,50.0,4902.0,4952.0,,,,,verb.communication,True,38,subject,a coachman,1.0,0.0,1.0,unknown,0.0,tertiary
