sentence_id,event_id,temporal_rank
3,1,0
4,1,1
6,3,2
5,0,3
9,1,4
8,0,5
7,1,6
11,2,7
10,1,8
12,2,9
13,1,10
16,2,11
14,1,12
17,3,13
18,2,14
19,0,15
20,0,16
21,4,17
22,7,18
23,2,19
25,1,20
26,2,21
27,1,22
29,2,23
28,1,24
30,0,25
32,1,26
33,1,27
34,0,28
35,1,29
36,2,30
38,0,31
39,3,32
40,3,33
42,2,34
41,8,35
43,1,36
44,0,37
45,4,38
48,0,39
46,1,40
49,3,41
51,2,42
50,4,43
52,0,44
55,0,45
57,0,46
56,1,47
58,1,48
60,2,49
61,2,50
62,1,51
63,1,52
64,0,53
70,7,54
65,5,55
72,0,56
71,10,57
74,5,58
73,0,59
75,0,60
76,1,61
77,7,62
78,1,63
81,2,64
80,0,65
83,0,66
82,2,67
84,1,68
86,0,69
87,0,70
90,1,71
88,1,72
92,1,73
94,0,74
98,6,75
97,0,76
95,0,77
99,2,78
101,4,79
100,1,80
102,2,81
103,1,82
105,0,83
104,2,84
106,2,85
108,2,86
107,3,87
109,1,88
111,2,89
110,3,90
112,0,91
114,0,92
113,4,93
115,1,94
116,3,95
117,3,96
118,8,97
119,5,98
120,3,99
122,3,100
121,2,101
123,0,102
125,2,103
124,0,104
127,1,105
126,1,106
