coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
3,"a gentleman who married , for his second wife",He,2,0,2,0
3,"a gentleman who married , for his second wife",his,0,44,47,1
3,"a gentleman who married , for his second wife","a gentleman who married, for his second wife",0,15,59,0
4,his second wife,his second wife,0,44,59,1
4,his second wife,her,2,126,129,1
4,his second wife,she,2,112,115,0
4,his second wife,She,1,0,3,0
4,his second wife,her,1,93,96,0
4,his second wife,her,1,47,50,1
5,the proudest and most haughty woman that was ever seen,the proudest and most haughty woman that was ever seen,0,61,115,0
6,a former husband,a former husband,1,12,28,0
7,two daughters of her own humor,two daughters of her own humor,1,30,60,0
8,another wife,another wife,2,20,32,0
9,"a young daughter , but of unparalleled goodness and sweetness of temper","a young daughter, but of unparalleled goodness and sweetness of temper",2,34,104,0
10,"her mother , who was the best creature in the world","her mother, who was the best creature in the world",2,126,176,0
12,the mother - in - law,She,5,0,3,0
12,the mother - in - law,her,5,140,143,1
12,the mother - in - law,her,4,90,93,1
12,the mother - in - law,she,5,51,54,0
12,the mother - in - law,she,6,1,4,0
12,the mother - in - law,her,6,64,67,1
12,the mother - in - law,her,5,13,16,0
12,the mother - in - law,the mother-in-law,3,54,71,0
12,the mother - in - law,herself,3,86,93,0
12,the mother - in - law,her,3,97,100,0
12,the mother - in - law,She,4,0,3,0
13,this pretty girl,this pretty girl,4,41,57,0
15,her own daughters,her own daughters,4,90,107,0
17,madam,madam,5,102,107,0
19,misses,misses,5,132,138,0
20,her daughters,her daughters,5,140,153,0
21,her sisters,they,87,19,23,0
21,her sisters,you,89,11,14,0
21,her sisters,their,6,235,240,0
21,her sisters,them,75,185,189,0
21,her sisters,they,11,110,114,0
21,her sisters,them,75,46,50,0
21,her sisters,them,75,81,85,0
21,her sisters,they,87,5,9,0
21,her sisters,they,75,195,199,0
21,her sisters,her sisters,76,34,45,0
21,her sisters,them,86,19,23,0
21,her sisters,their,16,59,64,0
21,her sisters,her sisters,16,27,38,0
21,her sisters,her sisters,82,43,54,1
21,her sisters,her sisters,75,25,36,0
21,her sisters,Her sisters,117,0,11,0
21,her sisters,themselves,6,221,231,0
21,her sisters,her sisters,11,90,101,0
21,her sisters,they,6,206,210,0
21,her sisters,they,6,167,171,0
21,her sisters,her sisters,6,64,75,0
23,The poor girl,her,7,88,91,0
23,The poor girl,she,9,5,8,0
23,The poor girl,her,9,18,21,0
23,The poor girl,she,9,28,31,0
23,The poor girl,her,9,117,120,0
23,The poor girl,her,7,53,56,1
23,The poor girl,The poor girl,7,0,13,0
24,her father,him,8,23,26,0
24,her father,his,8,5,8,1
24,her father,her father,7,53,63,0
25,his wife,his wife,8,5,13,0
0,Cinderwench,Cinderwench,9,140,151,0
26,the youngest,my,19,40,42,0
26,the youngest,the youngest,10,5,17,0
26,the youngest,her,10,73,76,0
26,the youngest,the youngest,19,14,26,0
26,the youngest,I,20,36,37,0
26,the youngest,I,19,5,6,0
26,the youngest,my,20,80,82,0
26,the youngest,my,20,50,52,0
27,the eldest,the eldest,10,54,64,0
27,the eldest,my,18,45,47,0
27,the eldest,I,18,33,34,0
27,the eldest,the eldest,18,20,30,0
27,the eldest,my,18,5,7,0
