sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
0,1,dreamed,verb.cognition,1,1
0,1,dreamed,verb.cognition,1,2
0,3,get,verb.possession,1,2
1,3,standing,verb.contact,2,1
3,0,sold,verb.possession,1,1
7,2,asked,verb.communication,10,9
8,1,replied,verb.communication,1,1
8,1,replied,verb.communication,1,10
11,2,watered,verb.consumption,1,1
15,3,break,verb.change,17,9
17,1,want,verb.emotion,19,19
17,3,paid,verb.possession,19,19
21,1,think,verb.cognition,9,285
24,1,manage,verb.social,9,9
24,2,have,verb.change,9,9
24,6,pay,verb.possession,9,9
26,1,asked,verb.communication,9,9
26,1,asked,verb.communication,9,28
26,2,refused,verb.communication,9,28
27,0,released,verb.contact,27,29
27,1,laid,verb.contact,27,29
31,3,asked,verb.communication,9,9
33,0,asked,verb.communication,34,9
33,0,asked,verb.communication,34,35
33,2,need,verb.consumption,9,35
34,3,serving,verb.social,9,9
34,4,have,verb.perception,9,35
35,5,have,verb.possession,9,35
36,0,need,verb.consumption,9,35
36,4,need,verb.consumption,9,9
37,1,want,verb.emotion,9,34
37,1,want,verb.emotion,9,35
38,0,promise,verb.communication,34,9
39,3,put,verb.contact,9,34
40,1,have,verb.possession,9,34
50,2,promised,verb.communication,45,51
50,2,promised,verb.communication,45,45
50,4,release,verb.contact,45,51
50,6,let,verb.social,51,45
54,1,sit,verb.contact,47,47
56,0,heard,verb.cognition,47,47
56,0,heard,verb.cognition,47,34
56,1,promised,verb.communication,47,47
56,1,promised,verb.communication,47,34
56,2,let,verb.social,47,34
56,5,release,verb.contact,34,47
58,0,left,verb.cognition,34,47
61,10,said,verb.communication,47,47
61,10,said,verb.communication,45,47
64,2,happened,verb.change,47,47
64,2,happened,verb.change,60,47
64,4,seat,verb.contact,47,47
65,2,found,verb.possession,64,64
66,2,promised,verb.communication,64,47
66,2,promised,verb.communication,64,64
66,4,release,verb.contact,64,47
66,6,give,verb.possession,47,64
67,0,told,verb.communication,47,47
67,0,told,verb.communication,47,64
67,2,have,verb.possession,64,47
68,1,give,verb.possession,47,64
69,0,heard,verb.cognition,47,47
69,4,changed,verb.cognition,47,47
75,0,heard,verb.cognition,73,73
76,1,told,verb.communication,45,75
76,1,told,verb.communication,45,73
76,3,sitting,verb.contact,73,73
79,5,told,verb.communication,45,9
79,5,told,verb.communication,45,291
81,3,flung,verb.motion,83,83
83,2,said,verb.communication,45,9
83,2,said,verb.communication,45,296
83,2,said,verb.communication,45,294
83,10,tell,verb.communication,9,9
83,10,tell,verb.communication,9,296
85,5,invited,verb.social,9,296
86,0,saw,verb.perception,9,92
86,1,recognized,verb.perception,9,9
86,1,recognized,verb.perception,9,92
87,0,told,verb.communication,9,9
87,0,told,verb.communication,9,92
87,2,replied,verb.communication,92,9
87,2,replied,verb.communication,92,92
87,3,liked,verb.emotion,92,9
87,5,take,verb.possession,92,9
88,2,gave,verb.possession,92,9
88,3,said,verb.communication,92,9
88,3,said,verb.communication,92,92
88,7,give,verb.possession,9,92
91,1,thought,verb.cognition,9,9
92,3,robbed,verb.possession,92,9
93,0,came,verb.motion,9,9
93,5,said,verb.communication,92,9
93,7,given,verb.possession,92,9
93,9,asked,verb.communication,9,9
93,9,asked,verb.communication,62,9
95,2,realized,verb.cognition,9,9
97,1,see,verb.cognition,62,9
97,1,see,verb.cognition,62,62
97,3,get,verb.possession,62,9
97,4,said,verb.communication,9,9
97,4,said,verb.communication,9,62
97,4,said,verb.communication,62,9
97,4,said,verb.communication,62,62
99,0,took,verb.contact,45,0
99,1,gave,verb.possession,45,9
99,2,asked,verb.communication,45,299
99,2,asked,verb.communication,45,92
99,5,meet,verb.social,92,299
99,5,meet,verb.social,92,92
101,1,given,verb.possession,45,9
101,3,say,verb.communication,9,92
104,0,waits,verb.cognition,92,92
105,1,swung,verb.motion,45,45
107,2,wants,verb.emotion,306,92
107,4,said,verb.communication,307,92
108,2,have,verb.possession,92,307
108,4,made,verb.communication,92,116
109,1,set,verb.communication,92,306
111,2,lost,verb.body,9,9
116,1,see,verb.perception,121,116
117,1,put,verb.contact,116,116
118,2,said,verb.communication,310,116
120,0,swung,verb.motion,45,45
121,1,invited,verb.social,9,296
121,2,dine,verb.social,9,296
122,0,kept,verb.body,92,92
123,3,asked,verb.communication,92,9
123,3,asked,verb.communication,92,92
123,4,have,verb.possession,9,9
123,4,have,verb.possession,9,92
123,5,gave,verb.possession,92,9
126,4,thrown,verb.contact,9,92
127,2,said,verb.communication,92,9
127,2,said,verb.communication,92,92
127,6,find,verb.cognition,9,92
129,1,give,verb.possession,9,92
130,3,put,verb.contact,9,9
131,0,began,verb.change,92,9
131,2,thought,verb.cognition,9,9
131,4,stole,verb.possession,92,9
131,5,dismissed,verb.communication,92,9
132,1,told,verb.communication,9,92
132,5,asked,verb.communication,9,92
132,5,asked,verb.communication,62,92
134,1,fell,verb.change,9,9
136,1,see,verb.cognition,9,9
136,1,see,verb.cognition,9,92
137,0,took,verb.possession,9,9
137,2,had,verb.possession,9,9
137,2,had,verb.possession,9,141
137,3,weld,verb.contact,9,9
138,1,gave,verb.communication,9,105
138,1,gave,verb.communication,9,9
138,3,asked,verb.communication,9,92
138,5,ride,verb.motion,92,92
141,0,repeated,verb.communication,92,92
142,0,waits,verb.social,92,92
143,1,swung,verb.motion,45,45
145,1,take,verb.possession,115,115
145,1,take,verb.possession,115,318
145,1,take,verb.possession,115,92
145,2,gave,verb.possession,92,115
147,1,gave,verb.possession,310,92
148,5,thrust,verb.contact,116,116
150,0,told,verb.communication,92,116
150,0,told,verb.communication,92,92
150,2,given,verb.possession,92,116
150,2,given,verb.possession,92,92
156,0,threw,verb.contact,92,45
158,1,asked,verb.communication,9,296
158,2,gave,verb.possession,45,9
159,3,pinched,verb.contact,92,92
159,4,said,verb.communication,92,9
159,4,said,verb.communication,92,92
159,7,get,verb.possession,92,92
159,8,gave,verb.possession,92,9
164,1,said,verb.communication,92,9
166,1,bring,verb.motion,9,9
166,5,have,verb.possession,9,9
166,6,keep,verb.possession,9,9
167,0,felt,verb.emotion,9,9
168,1,know,verb.cognition,9,92
169,0,came,verb.motion,9,9
169,2,quiet,verb.perception,9,9
169,2,quiet,verb.perception,62,9
170,0,said,verb.communication,62,9
170,0,said,verb.communication,62,62
171,2,weld,verb.contact,178,178
171,2,weld,verb.contact,45,178
172,4,gave,verb.communication,62,62
176,3,wearing,verb.body,45,45
176,5,anointed,verb.body,92,105
176,6,spoken,verb.communication,92,92
177,2,giving,verb.possession,45,92
179,0,complained,verb.communication,92,45
179,1,said,verb.communication,92,92
180,4,beating,verb.contact,189,105
180,4,beating,verb.contact,189,92
181,0,told,verb.communication,92,310
183,1,know,verb.cognition,45,92
186,2,told,verb.communication,92,310
186,2,told,verb.communication,92,45
186,2,told,verb.communication,92,92
186,4,bring,verb.motion,310,92
187,1,think,verb.cognition,45,310
187,1,think,verb.cognition,45,92
187,4,bring,verb.contact,310,92
