coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
11,Conchubar,Conchubar,0,22,31,0
11,Conchubar,him,79,45,48,0
11,Conchubar,Conchubar,18,4,13,0
11,Conchubar,him,79,100,103,0
11,Conchubar,Conchubar,80,4,13,0
11,Conchubar,Conchubar,16,29,38,0
11,Conchubar,me,80,49,51,0
11,Conchubar,me,81,20,22,0
11,Conchubar,him,14,11,14,0
11,Conchubar,Conchubar,79,13,22,0
11,Conchubar,my,81,30,32,0
11,Conchubar,he,13,54,56,0
11,Conchubar,my,82,23,25,0
11,Conchubar,Conchubar,13,11,20,0
11,Conchubar,me,83,17,19,0
11,Conchubar,my,83,24,26,1
11,Conchubar,his,26,88,91,1
11,Conchubar,he,84,51,53,0
11,Conchubar,Conchubar,10,66,75,0
11,Conchubar,his,13,69,72,0
11,Conchubar,Conchubar,93,49,58,0
11,Conchubar,Conchubar,19,30,39,0
11,Conchubar,he,78,48,50,0
11,Conchubar,Conchubar,29,0,9,0
11,Conchubar,his,29,17,20,0
11,Conchubar,him,29,64,67,0
11,Conchubar,Conchubar,35,39,48,0
11,Conchubar,his,35,57,60,1
11,Conchubar,Conchubar,61,47,56,0
11,Conchubar,his,61,126,129,1
11,Conchubar,him,62,16,19,0
11,Conchubar,his,19,94,97,1
11,Conchubar,Conchubar,64,5,14,0
11,Conchubar,Conchubar,71,38,47,0
11,Conchubar,Conchubar,74,61,70,0
11,Conchubar,he,75,36,38,0
11,Conchubar,Conchubar,76,52,61,0
11,Conchubar,He,77,0,2,0
11,Conchubar,he,77,49,51,0
11,Conchubar,he,78,4,6,0
11,Conchubar,he,64,27,29,0
11,Conchubar,Conchubar,95,38,47,0
11,Conchubar,Conchubar,26,74,83,0
11,Conchubar,him,6,94,97,0
11,Conchubar,his,6,75,78,1
11,Conchubar,Conchubar,6,28,37,0
11,Conchubar,he,1,20,22,0
11,Conchubar,Conchubar,124,11,20,0
11,Conchubar,He,2,0,2,0
11,Conchubar,Conchubar,9,17,26,0
11,Conchubar,he,0,70,72,0
11,Conchubar,Conchubar,119,30,39,0
11,Conchubar,his,2,28,31,1
11,Conchubar,his,0,78,81,0
31,son of Ness,son of Ness,0,33,44,0
12,Ness,Ness,4,4,8,0
