sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,2,heard,16,21,16,21,25,0.0,6.0,0.0,6.0,,,,,verb.cognition,0,subject,People,1,0,1,unknown,0.0,tertiary
0,7,slept,193,198,193,198,15,182.0,192.0,182.0,192.0,,,,,verb.body,1,subject,Dan,26,103,129,male,1.0,primary
3,1,told,33,37,396,400,31,30.0,32.0,393.0,395.0,52.0,81.0,415.0,444.0,verb.communication,4,subject,An old man,1,5,6,male,1.0,tertiary
4,2,sat,80,83,525,528,31,77.0,79.0,522.0,524.0,,,,,verb.contact,6,subject,An old man,1,5,6,male,1.0,tertiary
4,3,smoking,84,91,529,536,31,77.0,79.0,522.0,524.0,101.0,157.0,546.0,602.0,verb.consumption,5,subject,An old man,1,5,6,male,1.0,tertiary
4,4,shone,158,163,603,608,31,77.0,79.0,522.0,524.0,,,,,verb.weather,10,subject,An old man,1,5,6,male,1.0,tertiary
7,2,come,31,35,824,828,34,0.0,16.0,793.0,809.0,83.0,155.0,876.0,948.0,verb.motion,9,subject,the master,2,0,2,unknown,0.0,tertiary
7,2,come,31,35,824,828,35,0.0,16.0,793.0,809.0,83.0,155.0,876.0,948.0,verb.motion,9,subject,The master 's son,1,0,1,unknown,0.0,tertiary
7,4,go,110,112,903,905,37,86.0,101.0,879.0,894.0,,,,,verb.motion,8,subject,young gentlemen,1,0,1,male,1.0,tertiary
10,3,give,57,61,1212,1216,39,0.0,4.0,1155.0,1159.0,82.0,94.0,1237.0,1249.0,verb.possession,13,subject,The ould gentlemen,1,2,3,male,1.0,tertiary
16,3,danced,83,89,1764,1770,48,46.0,62.0,1727.0,1743.0,,,,,verb.creation,14,subject,the young master,1,0,1,unknown,0.0,tertiary
17,3,say,49,52,1927,1930,50,38.0,44.0,1916.0,1922.0,,,,,verb.communication,16,subject,a body,1,0,1,unknown,0.0,tertiary
24,5,tell,139,143,2623,2627,54,121.0,134.0,2605.0,2618.0,,,,,verb.communication,19,subject,the one of me,1,0,1,unknown,0.0,tertiary
29,0,sat,5,8,3117,3120,15,3.0,4.0,3115.0,3116.0,,,,,verb.contact,20,subject,Dan,26,103,129,male,1.0,primary
29,4,began,81,86,3193,3198,15,79.0,80.0,3191.0,3192.0,130.0,248.0,3242.0,3360.0,verb.change,22,subject,Dan,26,103,129,male,1.0,primary
29,5,scratch,90,97,3202,3209,15,79.0,80.0,3191.0,3192.0,,,,,verb.body,23,subject,Dan,26,103,129,male,1.0,primary
29,6,sing,111,115,3223,3227,15,79.0,80.0,3191.0,3192.0,,,,,verb.creation,24,subject,Dan,26,103,129,male,1.0,primary
29,8,looked,178,184,3290,3296,15,176.0,177.0,3288.0,3289.0,,,,,verb.perception,25,subject,Dan,26,103,129,male,1.0,primary
29,9,saw,192,195,3304,3307,15,176.0,177.0,3288.0,3289.0,224.0,266.0,3336.0,3378.0,verb.perception,26,subject,Dan,26,103,129,male,1.0,primary
29,13,tell,284,288,3396,3400,15,272.0,273.0,3384.0,3385.0,,,,,verb.cognition,27,subject,Dan,26,103,129,male,1.0,primary
32,4,do,91,93,3653,3655,15,80.0,83.0,3642.0,3645.0,,,,,verb.social,30,subject,Dan,26,103,129,male,1.0,primary
33,1,says,31,35,3689,3693,33,0.0,28.0,3658.0,3686.0,,,,,verb.communication,34,subject,sir,15,61,76,male,1.0,secondary
35,1,came,54,58,3772,3776,64,45.0,53.0,3763.0,3771.0,,,,,verb.change,32,subject,an eagle,1,0,1,unknown,0.0,tertiary
