sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
0,3,destroyed,65,74,65,74,,37.0,49.0,37.0,49.0,7,75.0,105.0,75.0,105.0,,,,,verb.creation,1
1,0,determined,18,28,125,135,6,4.0,17.0,111.0,124.0,"14,6",29.0,66.0,136.0,173.0,,,,,verb.cognition,1
1,1,do,32,34,139,141,6,4.0,17.0,111.0,124.0,"14,6",35.0,66.0,142.0,173.0,,,,,verb.social,1
1,2,gathered,84,92,191,199,6,4.0,17.0,111.0,124.0,"15,7",93.0,136.0,200.0,243.0,,,,,verb.social,1
1,3,slay,116,120,223,227,,93.0,102.0,200.0,209.0,7,121.0,136.0,228.0,243.0,,,,,verb.social,1
2,1,making,25,31,270,276,7,5.0,20.0,250.0,265.0,,32.0,62.0,277.0,307.0,,,,,verb.social,1
3,0,came,8,12,317,321,7,5.0,7.0,314.0,316.0,,13.0,36.0,322.0,345.0,,,,,verb.motion,1
3,1,armed,52,57,361,366,6,38.0,51.0,347.0,360.0,"18,6",58.0,68.0,367.0,377.0,69.0,105.0,378.0,414.0,verb.competition,1
3,2,kill,97,101,406,410,6,38.0,51.0,347.0,360.0,7,102.0,105.0,411.0,414.0,,,,,verb.contact,1
4,0,had,27,30,443,446,7,4.0,19.0,420.0,435.0,,31.0,91.0,447.0,507.0,,,,,verb.possession,1
5,0,sat,18,21,527,530,6,15.0,17.0,524.0,526.0,6,22.0,29.0,531.0,538.0,31.0,75.0,540.0,584.0,verb.motion,1
5,2,seated,54,60,563,569,,37.0,49.0,546.0,558.0,20,61.0,75.0,570.0,584.0,,,,,verb.motion,1
6,0,met,32,35,618,621,"21,6",0.0,31.0,586.0,617.0,,36.0,51.0,622.0,637.0,,,,,verb.motion,1
6,2,forced,75,81,661,667,6,57.0,70.0,643.0,656.0,23,82.0,113.0,668.0,699.0,,,,,verb.social,1
6,3,flee,85,89,671,675,6,57.0,70.0,643.0,656.0,23,90.0,113.0,676.0,699.0,,,,,verb.motion,1
7,0,came,3,7,704,708,6,0.0,2.0,701.0,703.0,,8.0,26.0,709.0,727.0,,,,,verb.motion,1
9,0,met,9,12,813,816,6,6.0,8.0,810.0,812.0,26,13.0,69.0,817.0,873.0,,,,,verb.motion,1
10,0,let,12,15,887,890,27,0.0,11.0,875.0,886.0,27,16.0,52.0,891.0,927.0,,,,,verb.contact,1
10,1,fall,33,37,908,912,27,16.0,32.0,891.0,907.0,,38.0,52.0,913.0,927.0,,,,,verb.motion,1
10,2,looked,54,60,929,935,,,,,,6,61.0,77.0,936.0,952.0,,,,,verb.perception,1
10,3,said,82,86,957,961,27,0.0,11.0,875.0,886.0,54,89.0,113.0,964.0,988.0,,,,,verb.communication,1
11,0,controlled,14,24,1005,1015,6,0.0,13.0,991.0,1004.0,6,25.0,32.0,1016.0,1023.0,,,,,verb.social,1
11,1,fetched,34,41,1025,1032,6,0.0,13.0,991.0,1004.0,,46.0,54.0,1037.0,1045.0,,,,,verb.contact,1
11,2,brought,59,66,1050,1057,6,0.0,13.0,991.0,1004.0,27,67.0,69.0,1058.0,1060.0,,,,,verb.contact,1
12,0,stretched,11,20,1088,1097,29,0.0,10.0,1077.0,1087.0,27,25.0,33.0,1102.0,1110.0,34.0,106.0,1111.0,1183.0,verb.body,1
12,1,allow,37,42,1114,1119,29,0.0,10.0,1077.0,1087.0,6,43.0,69.0,1120.0,1146.0,,,,,verb.social,1
12,2,put,60,63,1137,1140,6,43.0,56.0,1120.0,1133.0,,64.0,66.0,1141.0,1143.0,,,,,verb.contact,1
13,0,pleased,5,12,1190,1197,,0.0,4.0,1185.0,1189.0,27,13.0,24.0,1198.0,1209.0,,,,,verb.emotion,1
13,1,said,32,36,1217,1221,27,29.0,31.0,1214.0,1216.0,"54,6",39.0,79.0,1224.0,1264.0,,,,,verb.communication,1
13,4,made,68,72,1253,1257,,51.0,60.0,1236.0,1245.0,6,73.0,79.0,1258.0,1264.0,,,,,verb.creation,1
14,2,have,46,50,1312,1316,27,39.0,40.0,1305.0,1306.0,6,51.0,68.0,1317.0,1334.0,,,,,verb.consumption,1
15,0,appeared,54,62,1391,1399,6,40.0,53.0,1377.0,1390.0,,,,,,,,,,verb.change,1
16,1,reproached,38,48,1439,1449,27,4.0,15.0,1405.0,1416.0,6,49.0,52.0,1450.0,1453.0,,,,,verb.communication,1
17,1,tell,14,18,1488,1492,27,7.0,8.0,1481.0,1482.0,6,19.0,22.0,1493.0,1496.0,,,,,verb.communication,1
18,1,come,19,23,1525,1529,6,2.0,9.0,1508.0,1515.0,,,,,,,,,,verb.motion,1
19,2,exhausted,67,76,1607,1616,6,34.0,58.0,1574.0,1598.0,,,,,,,,,,verb.consumption,1
20,2,gave,82,86,1700,1704,27,5.0,16.0,1623.0,1634.0,6,87.0,89.0,1705.0,1707.0,,,,,verb.possession,1
21,1,read,10,14,1726,1730,6,1.0,4.0,1717.0,1720.0,,15.0,17.0,1731.0,1733.0,,,,,verb.cognition,1
21,2,said,20,24,1736,1740,,,,,,27,25.0,27.0,1741.0,1743.0,,,,,verb.communication,1
21,5,rule,59,63,1775,1779,6,39.0,42.0,1755.0,1758.0,56,64.0,79.0,1780.0,1795.0,,,,,verb.social,1
22,1,completed,18,27,1815,1824,6,5.0,14.0,1802.0,1811.0,,,,,,,,,,verb.change,1
22,2,seek,29,33,1826,1830,,,,,,27,34.0,36.0,1831.0,1833.0,37.0,75.0,,,verb.contact,1
23,1,find,15,19,1889,1893,6,6.0,9.0,1880.0,1883.0,,20.0,34.0,1894.0,1908.0,,,,,verb.possession,1
24,0,took,14,18,1961,1965,6,0.0,13.0,1947.0,1960.0,,19.0,27.0,1966.0,1974.0,,,,,verb.contact,1
24,1,aided,32,37,1979,1984,6,0.0,13.0,1947.0,1960.0,"34,35",38.0,69.0,1985.0,2016.0,,,,,verb.social,1
24,2,conquer,73,80,2020,2027,"34,35",38.0,69.0,1985.0,2016.0,,81.0,91.0,2028.0,2038.0,,,,,verb.creation,1
25,0,made,12,16,2052,2056,23,0.0,11.0,2040.0,2051.0,"38,6",17.0,28.0,2057.0,2068.0,,,,,verb.change,1
26,0,ate,37,40,2107,2110,6,15.0,36.0,2085.0,2106.0,,41.0,54.0,2111.0,2124.0,,,,,verb.consumption,1
26,1,concentrated,59,71,2129,2141,6,15.0,36.0,2085.0,2106.0,,,,,,,,,,verb.change,1
28,0,met,8,11,2279,2282,6,5.0,7.0,2276.0,2278.0,40,12.0,49.0,2283.0,2320.0,,,,,verb.motion,1
28,4,wear,82,86,2353,2357,6,58.0,70.0,2329.0,2341.0,,,,,,,,,,verb.body,1
28,6,fare,114,118,2385,2389,6,108.0,111.0,2379.0,2382.0,,,,,,,,,,verb.motion,1
30,0,heard,19,24,2475,2480,6,5.0,18.0,2461.0,2474.0,,25.0,29.0,2481.0,2485.0,,,,,verb.perception,1
30,1,bowed,34,39,2490,2495,6,31.0,33.0,2487.0,2489.0,41,40.0,57.0,2496.0,2513.0,,,,,verb.communication,1
30,2,said,63,67,2519,2523,6,31.0,33.0,2487.0,2489.0,"42,60,61,6",68.0,82.0,2524.0,2538.0,,,,,verb.communication,1
35,3,greet,43,48,3040,3045,75,0.0,30.0,2997.0,3027.0,59,49.0,66.0,3046.0,3063.0,,,,,verb.communication,1
35,4,bow,76,79,3073,3076,75,0.0,30.0,2997.0,3027.0,,,,,,,,,,verb.communication,1
