sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"ONCE upon a time there was a poor tenant farmer who had a number of children whom he could feed but poorly, and had to clothe in the scantiest way. ",had,BEFORE,"ONCE upon a time there was a poor tenant farmer who had a number of children whom he could feed but poorly, and had to clothe in the scantiest way. ",feed,0,0,1,3
"ONCE upon a time there was a poor tenant farmer who had a number of children whom he could feed but poorly, and had to clothe in the scantiest way. ",feed,BEFORE,"The whole family sat around the hearth, and each was busy with some work or other. ",sat,0,6,3,0
"The whole family sat around the hearth, and each was busy with some work or other. ",sat,BEFORE,The man went out to see who was there. ,see,6,8,0,1
The man went out to see who was there. ,see,AFTER,"When he stepped outside, there stood a great white bear. ",stood,8,9,1,1
"When he stepped outside, there stood a great white bear. ",stood,BEFORE,"""Good evening,"" said the white bear. ",said,9,10,1,0
"""Good evening,"" said the white bear. ",said,BEFORE,"""Good evening,"" returned the man. ",returned,10,11,0,0
"""Good evening,"" returned the man. ",returned,BEFORE,"""If you'll give me your youngest daughter, I will make you just as rich as now you are poor,"" said the bear. ",give,11,12,0,1
"""If you'll give me your youngest daughter, I will make you just as rich as now you are poor,"" said the bear. ",give,BEFORE,"""If you'll give me your youngest daughter, I will make you just as rich as now you are poor,"" said the bear. ",make,12,12,1,3
"""If you'll give me your youngest daughter, I will make you just as rich as now you are poor,"" said the bear. ",make,BEFORE,"""If you'll give me your youngest daughter, I will make you just as rich as now you are poor,"" said the bear. ",said,12,12,3,5
"""If you'll give me your youngest daughter, I will make you just as rich as now you are poor,"" said the bear. ",said,BEFORE,The man was not ill-pleased that he was to become so rich. ,become,12,13,5,2
The man was not ill-pleased that he was to become so rich. ,become,BEFORE,He did think that first he ought to speak to his daughter about it. ,think,13,14,2,1
He did think that first he ought to speak to his daughter about it. ,think,AFTER,He did think that first he ought to speak to his daughter about it. ,speak,14,14,1,3
He did think that first he ought to speak to his daughter about it. ,speak,BEFORE,"So he went in again, and said that there was a white bear outside, who had promised to make him just as rich as he was poor now, if he could only have the youngest daughter for his bride. ",have,14,15,3,8
"So he went in again, and said that there was a white bear outside, who had promised to make him just as rich as he was poor now, if he could only have the youngest daughter for his bride. ",have,BEFORE,"So he went in again, and said that there was a white bear outside, who had promised to make him just as rich as he was poor now, if he could only have the youngest daughter for his bride. ",said,15,15,8,1
"So he went in again, and said that there was a white bear outside, who had promised to make him just as rich as he was poor now, if he could only have the youngest daughter for his bride. ",said,AFTER,"So he went in again, and said that there was a white bear outside, who had promised to make him just as rich as he was poor now, if he could only have the youngest daughter for his bride. ",promised,15,15,1,4
"So he went in again, and said that there was a white bear outside, who had promised to make him just as rich as he was poor now, if he could only have the youngest daughter for his bride. ",promised,BEFORE,"So he went in again, and said that there was a white bear outside, who had promised to make him just as rich as he was poor now, if he could only have the youngest daughter for his bride. ",make,15,15,4,5
"So he went in again, and said that there was a white bear outside, who had promised to make him just as rich as he was poor now, if he could only have the youngest daughter for his bride. ",make,BEFORE,"But the girl said no, and would not hear of it. ",said,15,16,5,0
"But the girl said no, and would not hear of it. ",said,BEFORE,"But the girl said no, and would not hear of it. ",hear,16,16,0,2
"But the girl said no, and would not hear of it. ",hear,BEFORE,"Then the man went back to the bear again, and they both agreed that the white bear should return again the following Thursday and get his answer. ",agreed,16,17,2,1
"Then the man went back to the bear again, and they both agreed that the white bear should return again the following Thursday and get his answer. ",agreed,BEFORE,"Then the man went back to the bear again, and they both agreed that the white bear should return again the following Thursday and get his answer. ",return,17,17,1,3
"Then the man went back to the bear again, and they both agreed that the white bear should return again the following Thursday and get his answer. ",return,BEFORE,"Then the man went back to the bear again, and they both agreed that the white bear should return again the following Thursday and get his answer. ",get,17,17,3,5
"Then the man went back to the bear again, and they both agreed that the white bear should return again the following Thursday and get his answer. ",get,AFTER,"In the meantime, however, the parents worked upon their daughter. ",worked,17,18,5,0
"In the meantime, however, the parents worked upon their daughter. ",worked,BEFORE,"They talked at length about all the riches they would gain, and how well she herself would fare. ",talked,18,19,0,0
"They talked at length about all the riches they would gain, and how well she herself would fare. ",talked,BEFORE,"They talked at length about all the riches they would gain, and how well she herself would fare. ",gain,19,19,0,2
"They talked at length about all the riches they would gain, and how well she herself would fare. ",gain,AFTER,"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel. ",agreed,19,20,2,0
"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel. ",agreed,BEFORE,"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel. ",washed,20,20,0,1
"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel. ",washed,BEFORE,"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel. ",mended,20,20,1,2
"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel. ",mended,AFTER,"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel. ",had,20,20,2,3
"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel. ",had,BEFORE,"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel. ",adorned,20,20,3,4
"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel. ",adorned,BEFORE,"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel. ",travel,20,20,4,7
"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel. ",travel,AFTER,"And what she was given to take along with her is not worth mentioning, either. ",given,20,21,7,1
"And what she was given to take along with her is not worth mentioning, either. ",given,BEFORE,The following Thursday the white bear came to fetch his bride. ,came,21,22,1,0
The following Thursday the white bear came to fetch his bride. ,came,BEFORE,The following Thursday the white bear came to fetch his bride. ,fetch,22,22,0,1
The following Thursday the white bear came to fetch his bride. ,fetch,BEFORE,"The girl seated herself on his back with her bundle, and then he trotted off. ",seated,22,23,1,0
"The girl seated herself on his back with her bundle, and then he trotted off. ",seated,BEFORE,"After they had gone a good way, the white bear asked: ""Are you afraid?"" ",gone,23,24,0,1
"After they had gone a good way, the white bear asked: ""Are you afraid?"" ",gone,BEFORE,"After they had gone a good way, the white bear asked: ""Are you afraid?"" ",asked,24,24,1,2
"After they had gone a good way, the white bear asked: ""Are you afraid?"" ",asked,BEFORE,"""No, not at all,"" she answered. ",answered,24,25,2,0
"""No, not at all,"" she answered. ",answered,BEFORE,"""Just keep a tight hold on my fur, and then you will be in no danger,"" said the bear. ",said,25,26,0,3
"""Just keep a tight hold on my fur, and then you will be in no danger,"" said the bear. ",said,AFTER,"So she rode on the bear's back, far, far away, until at last they came to a great rock. ",rode,26,27,3,0
"So she rode on the bear's back, far, far away, until at last they came to a great rock. ",rode,BEFORE,"So she rode on the bear's back, far, far away, until at last they came to a great rock. ",came,27,27,0,1
"So she rode on the bear's back, far, far away, until at last they came to a great rock. ",came,BEFORE,"There the bear knocked, and at once a door opened through which they entered a great castle, with many brilliantly lighted rooms, where everything gleamed with gold and silver. ",knocked,27,28,1,0
"There the bear knocked, and at once a door opened through which they entered a great castle, with many brilliantly lighted rooms, where everything gleamed with gold and silver. ",knocked,BEFORE,"Here the white bear gave the maiden a silver bell, and said that if there were anything she wanted, she need only ring the bell, and she should have it at once. ",gave,28,30,0,0
"Here the white bear gave the maiden a silver bell, and said that if there were anything she wanted, she need only ring the bell, and she should have it at once. ",gave,BEFORE,"Here the white bear gave the maiden a silver bell, and said that if there were anything she wanted, she need only ring the bell, and she should have it at once. ",said,30,30,0,1
"Here the white bear gave the maiden a silver bell, and said that if there were anything she wanted, she need only ring the bell, and she should have it at once. ",said,AFTER,"Here the white bear gave the maiden a silver bell, and said that if there were anything she wanted, she need only ring the bell, and she should have it at once. ",wanted,30,30,1,3
"Here the white bear gave the maiden a silver bell, and said that if there were anything she wanted, she need only ring the bell, and she should have it at once. ",wanted,BEFORE,"Here the white bear gave the maiden a silver bell, and said that if there were anything she wanted, she need only ring the bell, and she should have it at once. ",ring,30,30,3,5
"Here the white bear gave the maiden a silver bell, and said that if there were anything she wanted, she need only ring the bell, and she should have it at once. ",ring,BEFORE,"Here the white bear gave the maiden a silver bell, and said that if there were anything she wanted, she need only ring the bell, and she should have it at once. ",have,30,30,5,7
"Here the white bear gave the maiden a silver bell, and said that if there were anything she wanted, she need only ring the bell, and she should have it at once. ",have,AFTER,"And after the maiden had eaten, and evening came on, she felt like lying down and going to sleep. ",eaten,30,31,7,1
"And after the maiden had eaten, and evening came on, she felt like lying down and going to sleep. ",eaten,BEFORE,So she rang her bell. ,rang,31,32,1,0
So she rang her bell. ,rang,BEFORE,"At its very first peal she found herself transported to a room in which stood the most beautiful bed one might wish to have, with silken cushions and curtains with golden tassels. ",found,32,33,0,0
"At its very first peal she found herself transported to a room in which stood the most beautiful bed one might wish to have, with silken cushions and curtains with golden tassels. ",found,BEFORE,"At its very first peal she found herself transported to a room in which stood the most beautiful bed one might wish to have, with silken cushions and curtains with golden tassels. ",transported,33,33,0,1
"At its very first peal she found herself transported to a room in which stood the most beautiful bed one might wish to have, with silken cushions and curtains with golden tassels. ",transported,BEFORE,"Yet when she had lain down and put out the light, she saw a man come in and cast himself down in a corner. ",saw,33,35,1,3
"Yet when she had lain down and put out the light, she saw a man come in and cast himself down in a corner. ",saw,BEFORE,"Yet when she had lain down and put out the light, she saw a man come in and cast himself down in a corner. ",cast,35,35,3,5
"Yet when she had lain down and put out the light, she saw a man come in and cast himself down in a corner. ",cast,AFTER,"It was the white bear, who was allowed to throw off his fur at night. ",allowed,35,36,5,2
"It was the white bear, who was allowed to throw off his fur at night. ",allowed,BEFORE,"The maiden never actually saw him, for he never came until she had put out the light. ",saw,36,37,2,0
"The maiden never actually saw him, for he never came until she had put out the light. ",saw,AFTER,"The maiden never actually saw him, for he never came until she had put out the light. ",came,37,37,0,1
"The maiden never actually saw him, for he never came until she had put out the light. ",came,BEFORE,Before dawn brightened he had disappeared again. ,disappeared,37,38,1,2
Before dawn brightened he had disappeared again. ,disappeared,BEFORE, but gradually the maiden grew sad and silent. ,grew,38,40,2,0
 but gradually the maiden grew sad and silent. ,grew,AFTER,"She had not a soul to keep her company the live-long day, and she felt very homesick for her parents and sisters. ",had,40,41,0,0
"She had not a soul to keep her company the live-long day, and she felt very homesick for her parents and sisters. ",had,BEFORE,"She had not a soul to keep her company the live-long day, and she felt very homesick for her parents and sisters. ",felt,41,41,0,2
"She had not a soul to keep her company the live-long day, and she felt very homesick for her parents and sisters. ",felt,BEFORE,"When the white bear asked her what troubled her, she told him she was always alone, and that she wanted so very much to see her parents and sisters again. ",asked,41,42,2,0
"When the white bear asked her what troubled her, she told him she was always alone, and that she wanted so very much to see her parents and sisters again. ",asked,AFTER,"When the white bear asked her what troubled her, she told him she was always alone, and that she wanted so very much to see her parents and sisters again. ",troubled,42,42,0,1
"When the white bear asked her what troubled her, she told him she was always alone, and that she wanted so very much to see her parents and sisters again. ",troubled,BEFORE,"When the white bear asked her what troubled her, she told him she was always alone, and that she wanted so very much to see her parents and sisters again. ",told,42,42,1,2
