sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
0,1,had,52,55,52,55,,27.0,47.0,27.0,47.0,11,56.0,146.0,56.0,146.0,,,,,verb.possession,1
0,3,feed,91,95,91,95,11,68.0,76.0,68.0,76.0,,,,,,,,,,verb.consumption,1
6,0,sat,17,20,476,479,15,0.0,16.0,459.0,475.0,,21.0,38.0,480.0,497.0,,,,,verb.contact,1
8,1,see,20,23,620,623,17,0.0,7.0,600.0,607.0,18,24.0,37.0,624.0,637.0,,,,,verb.communication,1
9,1,stood,31,36,670,675,,,,,,19,37.0,55.0,676.0,694.0,,,,,verb.contact,1
10,0,said,16,20,712,716,,1.0,13.0,697.0,709.0,20,21.0,35.0,717.0,731.0,,,,,verb.communication,1
11,0,returned,16,24,749,757,,,,,,17,25.0,32.0,758.0,765.0,,,,,verb.communication,1
12,1,give,11,15,778,782,17,4.0,7.0,771.0,774.0,"17,249,22",16.0,18.0,783.0,785.0,,,,,verb.possession,1
12,3,make,50,54,817,821,22,43.0,44.0,810.0,811.0,17,55.0,58.0,822.0,825.0,59.0,91.0,826.0,858.0,verb.change,1
12,5,said,94,98,861,865,"17,249,22",1.0,91.0,768.0,858.0,22,99.0,107.0,866.0,874.0,,,,,verb.communication,1
13,2,become,43,49,919,925,17,33.0,35.0,909.0,911.0,,50.0,57.0,926.0,933.0,,,,,verb.change,1
14,1,think,7,12,942,947,17,0.0,2.0,935.0,937.0,"17,24",13.0,66.0,948.0,1001.0,,,,,verb.cognition,1
14,3,speak,36,41,971,976,17,24.0,26.0,959.0,961.0,"17,24",42.0,57.0,977.0,992.0,,,,,verb.communication,1
15,1,said,25,29,1028,1032,17,3.0,5.0,1006.0,1008.0,"17,26,25",30.0,186.0,1033.0,1189.0,,,,,verb.communication,1
15,4,promised,75,83,1078,1086,,45.0,65.0,1048.0,1068.0,17,84.0,127.0,1087.0,1130.0,129.0,186.0,1132.0,1189.0,verb.communication,1
15,5,make,87,91,1090,1094,,67.0,70.0,1070.0,1073.0,17,92.0,127.0,1095.0,1130.0,,,,,verb.change,1
15,8,have,146,150,1149,1153,17,132.0,134.0,1135.0,1137.0,"17,26,25",151.0,186.0,1154.0,1189.0,,,,,verb.possession,1
16,0,said,13,17,1204,1208,27,4.0,12.0,1195.0,1203.0,,18.0,20.0,1209.0,1211.0,,,,,verb.communication,1
16,2,hear,36,40,1227,1231,27,4.0,12.0,1195.0,1203.0,,41.0,46.0,1232.0,1237.0,,,,,verb.cognition,1
17,1,agreed,56,62,1295,1301,,46.0,55.0,1285.0,1294.0,20,63.0,144.0,1302.0,1383.0,,,,,verb.communication,1
17,3,return,90,96,1329,1335,20,68.0,82.0,1307.0,1321.0,,,,,,,,,,verb.motion,1
17,5,get,130,133,1369,1372,20,68.0,82.0,1307.0,1321.0,20,134.0,144.0,1373.0,1383.0,,,,,verb.possession,1
18,0,worked,38,44,1423,1429,32,26.0,37.0,1411.0,1422.0,,,,,,,,,,verb.social,1
19,0,talked,5,11,1456,1462,32,0.0,4.0,1451.0,1455.0,"32,33",22.0,95.0,1473.0,1546.0,,,,,verb.communication,1
19,2,gain,54,58,1505,1509,32,28.0,42.0,1479.0,1493.0,,,,,,,,,,verb.possession,1
20,0,agreed,15,21,1563,1569,33,11.0,14.0,1559.0,1562.0,33,41.0,107.0,1589.0,1655.0,,,,,verb.communication,1
20,1,washed,23,29,1571,1577,33,11.0,14.0,1559.0,1562.0,33,41.0,69.0,1589.0,1617.0,,,,,verb.body,1
20,2,mended,34,40,1582,1588,33,11.0,14.0,1559.0,1562.0,33,41.0,69.0,1589.0,1617.0,,,,,verb.contact,1
20,3,had,66,69,1614,1617,33,41.0,61.0,1589.0,1609.0,,,,,,,,,,verb.possession,1
20,4,adorned,71,78,1619,1626,33,11.0,14.0,1559.0,1562.0,33,79.0,86.0,1627.0,1634.0,87.0,107.0,1635.0,1655.0,verb.communication,1
20,7,travel,127,133,1675,1681,33,11.0,14.0,1559.0,1562.0,,,,,,,,,,verb.motion,1
21,1,given,17,22,1700,1705,33,4.0,8.0,1687.0,1691.0,,,,,,,,,,verb.possession,1
22,0,came,38,42,1800,1804,20,0.0,37.0,1762.0,1799.0,,,,,,,,,,verb.motion,1
22,1,fetch,46,51,1808,1813,20,0.0,37.0,1762.0,1799.0,"26,20",52.0,61.0,1814.0,1823.0,,,,,verb.contact,1
23,0,seated,9,15,1834,1840,27,0.0,8.0,1825.0,1833.0,,,,,,,,,,verb.motion,1
24,1,gone,15,19,1918,1922,32,6.0,10.0,1909.0,1913.0,,20.0,30.0,1923.0,1933.0,,,,,verb.motion,1
24,2,asked,47,52,1950,1955,20,32.0,46.0,1935.0,1949.0,27,55.0,69.0,1958.0,1972.0,,,,,verb.communication,1
25,0,answered,22,30,1997,2005,27,1.0,15.0,1976.0,1990.0,,,,,,,,,,verb.communication,1
