sentence_id,event_id,temporal_rank
3,1,0
3,4,1
3,2,2
4,1,3
4,3,4
4,2,5
6,2,6
6,0,7
6,3,8
7,2,9
7,0,10
7,3,11
7,4,12
7,7,13
7,5,14
8,0,15
8,4,16
9,2,17
8,5,18
10,0,19
9,5,20
10,3,21
11,2,22
10,5,23
12,0,24
12,3,25
12,2,26
12,7,27
12,4,28
12,10,29
12,8,30
14,1,31
14,0,32
17,1,33
17,0,34
18,2,35
18,4,36
19,0,37
18,7,38
19,2,39
20,0,40
20,2,41
21,1,42
21,2,43
23,2,44
22,1,45
24,2,46
24,3,47
25,0,48
25,4,49
25,1,50
25,5,51
26,2,52
27,2,53
29,1,54
28,0,55
29,5,56
29,4,57
29,2,58
30,0,59
31,3,60
31,5,61
31,6,62
34,0,63
36,2,64
36,1,65
36,0,66
35,0,67
37,0,68
38,1,69
38,4,70
38,2,71
39,3,72
40,0,73
39,4,74
40,1,75
41,1,76
42,0,77
41,2,78
42,2,79
42,3,80
43,0,81
44,0,82
44,3,83
47,0,84
46,2,85
49,1,86
50,0,87
49,2,88
51,2,89
53,2,90
54,0,91
54,1,92
54,2,93
58,1,94
57,1,95
59,1,96
59,0,97
60,1,98
59,3,99
61,0,100
63,0,101
64,1,102
65,1,103
66,0,104
68,0,105
68,2,106
69,2,107
69,0,108
70,1,109
70,2,110
71,1,111
71,2,112
72,4,113
71,3,114
72,5,115
72,6,116
73,3,117
73,1,118
74,2,119
74,3,120
75,0,121
75,2,122
75,1,123
75,3,124
76,0,125
76,1,126
77,1,127
76,3,128
78,0,129
79,1,130
80,4,131
80,0,132
81,1,133
81,8,134
81,6,135
82,2,136
82,1,137
81,7,138
83,1,139
82,3,140
83,2,141
84,0,142
84,1,143
84,4,144
84,2,145
87,0,146
87,2,147
87,7,148
87,5,149
89,5,150
89,3,151
89,6,152
90,1,153
90,2,154
90,3,155
90,4,156
91,0,157
91,2,158
91,4,159
91,5,160
91,6,161
93,0,162
92,2,163
91,7,164
93,2,165
93,5,166
94,3,167
94,1,168
94,0,169
94,4,170
94,7,171
94,6,172
94,8,173
95,0,174
95,1,175
95,2,176
96,0,177
96,4,178
97,3,179
98,3,180
98,1,181
98,4,182
98,5,183
99,0,184
99,4,185
99,1,186
100,0,187
100,1,188
100,4,189
100,2,190
100,5,191
101,0,192
101,1,193
101,5,194
102,0,195
102,2,196
102,3,197
104,5,198
104,2,199
107,1,200
107,2,201
107,4,202
107,3,203
109,0,204
109,1,205
109,2,206
109,3,207
110,0,208
110,1,209
110,2,210
110,4,211
112,0,212
115,1,213
115,2,214
116,0,215
116,1,216
116,2,217
117,1,218
117,2,219
117,5,220
118,0,221
117,6,222
118,7,223
118,1,224
118,8,225
118,12,226
118,9,227
118,14,228
119,0,229
119,1,230
119,4,231
119,2,232
120,1,233
120,0,234
120,4,235
120,6,236
120,8,237
120,10,238
120,11,239
122,0,240
122,1,241
123,1,242
124,1,243
125,0,244
126,3,245
126,0,246
126,4,247
126,7,248
126,5,249
127,1,250
127,6,251
127,5,252
127,3,253
128,7,254
128,5,255
128,8,256
128,11,257
128,9,258
128,15,259
129,1,260
130,1,261
130,4,262
130,6,263
130,7,264
130,8,265
130,11,266
131,0,267
131,2,268
133,0,269
133,1,270
133,3,271
134,0,272
134,1,273
134,2,274
135,1,275
134,5,276
135,4,277
135,5,278
136,4,279
136,3,280
136,1,281
137,9,282
137,2,283
137,10,284
138,2,285
139,1,286
138,5,287
139,5,288
139,2,289
144,2,290
144,0,291
146,0,292
145,0,293
146,2,294
146,3,295
147,2,296
147,4,297
148,2,298
149,0,299
150,1,300
150,4,301
150,2,302
151,3,303
152,1,304
152,6,305
152,5,306
152,2,307
152,7,308
153,2,309
153,3,310
153,4,311
154,4,312
154,1,313
156,0,314
156,3,315
156,4,316
157,8,317
156,9,318
156,7,319
157,2,320
157,3,321
159,2,322
159,0,323
157,5,324
160,0,325
160,2,326
162,0,327
162,1,328
162,2,329
163,1,330
164,1,331
165,0,332
165,1,333
167,0,334
166,1,335
170,0,336
171,0,337
171,1,338
171,4,339
171,2,340
172,0,341
173,1,342
173,3,343
174,1,344
173,5,345
174,2,346
174,5,347
175,3,348
174,9,349
176,1,350
