sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,0,met,18,21,18,21,1,8.0,17.0,8.0,17.0,,,,,verb.social,0,subject,the devil,2,0,2,unknown,0.0,tertiary
3,2,tried,30,35,230,235,3,23.0,24.0,223.0,224.0,,,,,verb.social,3,subject,the evil one,6,10,16,male,1.0,secondary
3,3,sow,39,42,239,242,3,23.0,24.0,223.0,224.0,,,,,verb.contact,6,subject,the evil one,6,10,16,male,1.0,secondary
4,0,think,9,14,277,282,42,4.0,8.0,272.0,276.0,,,,,verb.cognition,5,subject,the newly wedded couple,1,2,3,group/nonbinary,1.0,tertiary
5,0,talk,5,9,345,349,0,1.0,4.0,341.0,344.0,,,,,verb.communication,7,subject,Kitta Grau,18,14,32,male,1.0,primary
6,4,said,73,77,443,447,0,0.0,70.0,370.0,440.0,,,,,verb.communication,8,subject,Kitta Grau,18,14,32,male,1.0,primary
7,1,do,12,14,472,474,0,4.0,7.0,464.0,467.0,,,,,verb.social,9,subject,Kitta Grau,18,14,32,male,1.0,primary
7,3,have,31,35,491,495,0,21.0,24.0,481.0,484.0,,,,,verb.possession,11,subject,Kitta Grau,18,14,32,male,1.0,primary
8,0,keep,10,14,559,563,0,1.0,9.0,550.0,558.0,,,,,verb.possession,10,subject,Kitta Grau,18,14,32,male,1.0,primary
11,0,said,6,10,694,698,0,0.0,5.0,688.0,693.0,,,,,verb.communication,14,subject,Kitta Grau,18,14,32,male,1.0,primary
11,1,have,42,46,730,734,10,31.0,34.0,719.0,722.0,,,,,verb.possession,13,subject,the young wife,1,1,2,female,1.0,tertiary
12,1,replied,35,42,791,798,6,25.0,34.0,781.0,790.0,,,,,verb.communication,16,subject,the woman,3,3,6,female,1.0,tertiary
12,2,grants,52,58,808,814,45,49.0,51.0,805.0,807.0,73.0,92.0,829.0,848.0,verb.possession,15,subject,a splendid husband,1,7,8,male,1.0,tertiary
15,1,get,13,16,987,990,0,3.0,6.0,977.0,980.0,25.0,37.0,999.0,1011.0,verb.contact,18,subject,Kitta Grau,18,14,32,male,1.0,primary
15,2,cut,43,46,1017,1020,0,3.0,6.0,977.0,980.0,56.0,74.0,1030.0,1048.0,verb.contact,19,subject,Kitta Grau,18,14,32,male,1.0,primary
16,7,takes,129,134,1224,1229,45,119.0,121.0,1214.0,1216.0,,,,,verb.social,20,subject,a splendid husband,1,7,8,male,1.0,tertiary
17,1,bade,60,64,1314,1318,0,5.0,15.0,1259.0,1269.0,69.0,77.0,1323.0,1331.0,verb.communication,23,subject,Kitta Grau,18,14,32,male,1.0,primary
18,0,have,12,16,1345,1349,14,1.0,4.0,1334.0,1337.0,,,,,verb.possession,22,subject,the husband,3,26,29,male,1.0,primary
18,1,said,36,40,1369,1373,46,1.0,33.0,1334.0,1366.0,,,,,verb.communication,24,subject,a very good wife,1,2,3,female,1.0,tertiary
18,1,said,36,40,1369,1373,14,1.0,33.0,1334.0,1366.0,,,,,verb.communication,24,subject,the husband,3,26,29,male,1.0,primary
19,2,replied,27,34,1408,1415,46,1.0,24.0,1382.0,1405.0,,,,,verb.communication,25,subject,a very good wife,1,2,3,female,1.0,tertiary
20,3,said,43,47,1472,1476,14,1.0,40.0,1430.0,1469.0,,,,,verb.communication,27,subject,the husband,3,26,29,male,1.0,primary
22,1,take,15,19,1538,1542,14,5.0,8.0,1528.0,1531.0,,,,,verb.body,26,subject,the husband,3,26,29,male,1.0,primary
22,3,cut,58,61,1581,1584,46,39.0,42.0,1562.0,1565.0,,,,,verb.contact,28,subject,a very good wife,1,2,3,female,1.0,tertiary
24,1,think,20,25,1650,1655,14,0.0,11.0,1630.0,1641.0,,,,,verb.cognition,29,subject,the husband,3,26,29,male,1.0,primary
25,0,thanked,10,17,1686,1693,14,7.0,9.0,1683.0,1685.0,,,,,verb.communication,30,subject,the husband,3,26,29,male,1.0,primary
26,1,ate,22,25,1744,1747,14,5.0,7.0,1727.0,1729.0,,,,,verb.consumption,31,subject,the husband,3,26,29,male,1.0,primary
26,3,pretended,52,61,1774,1783,14,5.0,7.0,1727.0,1729.0,77.0,84.0,1799.0,1806.0,verb.perception,32,subject,the husband,3,26,29,male,1.0,primary
27,2,went,59,63,1867,1871,18,5.0,13.0,1813.0,1821.0,71.0,73.0,1879.0,1881.0,verb.motion,33,subject,the husband's wife,2,10,12,female,1.0,secondary
27,2,went,59,63,1867,1871,14,5.0,13.0,1813.0,1821.0,71.0,73.0,1879.0,1881.0,verb.motion,33,subject,the husband,3,26,29,male,1.0,primary
29,1,want,8,12,1955,1959,18,4.0,7.0,1951.0,1954.0,,,,,verb.emotion,34,subject,the husband's wife,2,10,12,female,1.0,secondary
29,2,murder,16,22,1963,1969,18,4.0,7.0,1951.0,1954.0,,,,,verb.contact,35,subject,the husband's wife,2,10,12,female,1.0,secondary
30,0,cried,3,8,1978,1983,14,0.0,2.0,1975.0,1977.0,,,,,verb.communication,36,subject,the husband,3,26,29,male,1.0,primary
30,1,gave,14,18,1989,1993,14,0.0,2.0,1975.0,1977.0,,,,,verb.communication,37,subject,the husband,3,26,29,male,1.0,primary
33,2,venture,44,51,2227,2234,14,33.0,35.0,2216.0,2218.0,,,,,verb.communication,38,subject,the husband,3,26,29,male,1.0,primary
33,3,give,55,59,2238,2242,14,28.0,32.0,2211.0,2215.0,,,,,verb.possession,42,subject,the husband,3,26,29,male,1.0,primary
33,4,stood,83,88,2266,2271,14,80.0,82.0,2263.0,2265.0,,,,,verb.contact,41,subject,the husband,3,26,29,male,1.0,primary
33,5,stood,124,129,2307,2312,18,120.0,123.0,2303.0,2306.0,,,,,verb.contact,40,subject,the husband's wife,2,10,12,female,1.0,secondary
33,6,passed,156,162,2339,2345,14,153.0,155.0,2336.0,2338.0,180.0,194.0,2363.0,2377.0,verb.possession,43,subject,the husband,3,26,29,male,1.0,primary
34,2,told,43,47,2422,2426,18,1.0,37.0,2380.0,2416.0,,,,,verb.communication,45,subject,the husband's wife,2,10,12,female,1.0,secondary
34,2,told,43,47,2422,2426,14,1.0,37.0,2380.0,2416.0,,,,,verb.communication,45,subject,the husband,3,26,29,male,1.0,primary
35,1,made,18,22,2457,2461,23,0.0,13.0,2439.0,2452.0,,,,,verb.social,44,subject,the black man,2,2,4,male,1.0,tertiary
36,1,promised,7,15,2496,2504,24,0.0,2.0,2489.0,2491.0,,,,,verb.communication,47,subject,a merchant,1,8,9,male,1.0,tertiary
36,3,buy,50,53,2539,2542,24,25.0,34.0,2514.0,2523.0,,,,,verb.possession,46,subject,a merchant,1,8,9,male,1.0,tertiary
36,5,sell,64,68,2553,2557,24,25.0,53.0,2514.0,2542.0,,,,,verb.possession,49,subject,a merchant,1,8,9,male,1.0,tertiary
37,1,prospered,15,24,2626,2635,24,8.0,10.0,2619.0,2621.0,,,,,verb.social,48,subject,a merchant,1,8,9,male,1.0,tertiary
38,1,prosper,11,18,2707,2714,24,4.0,6.0,2700.0,2702.0,,,,,verb.change,51,subject,a merchant,1,8,9,male,1.0,tertiary
38,2,bought,72,78,2768,2774,26,34.0,58.0,2730.0,2754.0,,,,,verb.possession,50,subject,the merchant,5,11,16,male,1.0,secondary
