sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
0,1,had,60,63,60,63,,27.0,55.0,27.0,55.0,3,64.0,75.0,64.0,75.0,,,,,verb.possession,1
0,3,blessed,111,118,111,118,"5,4",92.0,106.0,92.0,106.0,"2,6",119.0,165.0,119.0,165.0,,,,,verb.communication,1
0,4,made,137,141,137,141,6,124.0,129.0,124.0,129.0,2,142.0,165.0,142.0,165.0,,,,,verb.change,1
1,0,named,5,10,172,177,2,0.0,4.0,167.0,171.0,"7,6",11.0,14.0,178.0,181.0,,,,,verb.communication,1
1,2,christened,40,50,207,217,6,33.0,35.0,200.0,202.0,,,,,,,,,,verb.social,1
1,3,came,60,64,227,231,8,51.0,59.0,218.0,226.0,,65.0,75.0,232.0,242.0,,,,,verb.motion,1
1,4,seated,77,83,244,250,,,,,,8,84.0,91.0,251.0,258.0,92.0,117.0,,,verb.contact,1
1,6,meet,146,150,313,317,6,137.0,139.0,304.0,306.0,,151.0,168.0,318.0,335.0,,,,,verb.social,1
2,1,said,20,24,357,361,8,1.0,13.0,338.0,350.0,,,,,,,,,,verb.communication,1
2,4,make,67,71,404,408,8,60.0,61.0,397.0,398.0,"176,6",72.0,158.0,409.0,495.0,,,,,verb.change,1
3,0,turned,25,31,523,529,11,14.0,24.0,512.0,522.0,,,,,,,,,,verb.motion,1
4,1,became,20,26,565,571,12,0.0,7.0,545.0,552.0,,27.0,46.0,572.0,591.0,,,,,verb.change,1
5,1,passed,16,22,609,615,12,9.0,11.0,602.0,604.0,12,23.0,41.0,616.0,634.0,,,,,verb.motion,1
5,3,knocked,91,98,684,691,13,43.0,60.0,636.0,653.0,,,,,,,,,,verb.communication,1
5,4,said,104,108,697,701,13,43.0,60.0,636.0,653.0,"13,15,0",109.0,238.0,702.0,831.0,,,,,verb.communication,1
5,6,leading,131,138,724,731,13,114.0,123.0,707.0,716.0,,,,,,,,,,verb.motion,1
5,9,sent,148,152,741,745,13,114.0,138.0,707.0,731.0,"13,15",153.0,165.0,746.0,758.0,,,,,verb.motion,1
5,13,promised,230,238,823,831,15,222.0,225.0,815.0,818.0,,,,,,,,,,verb.communication,1
6,0,departed,21,29,854,862,16,5.0,20.0,838.0,853.0,,,,,,,,,,verb.motion,1
7,2,learned,58,65,921,928,0,49.0,57.0,912.0,920.0,,66.0,104.0,929.0,967.0,,,,,verb.cognition,1
7,3,love,69,73,932,936,0,49.0,57.0,912.0,920.0,,74.0,76.0,937.0,939.0,77.0,104.0,940.0,967.0,verb.emotion,1
8,0,grew,13,17,982,986,0,10.0,12.0,979.0,981.0,,18.0,31.0,987.0,1000.0,,,,,verb.change,1
9,1,try,17,20,1019,1022,0,1.0,2.0,1003.0,1004.0,0,21.0,31.0,1023.0,1033.0,32.0,44.0,1034.0,1046.0,verb.social,1
9,2,said,47,51,1049,1053,,,,,,0,52.0,54.0,1054.0,1056.0,,,,,verb.communication,1
9,4,like,80,84,1082,1086,"18,0",60.0,71.0,1062.0,1073.0,,85.0,94.0,1087.0,1096.0,,,,,verb.emotion,1
9,5,object,88,94,1090,1096,"18,0",60.0,71.0,1062.0,1073.0,,,,,,,,,,verb.communication,1
11,0,led,6,9,1148,1151,0,3.0,5.0,1145.0,1147.0,0,10.0,24.0,1152.0,1166.0,,,,,verb.motion,1
11,1,swung,42,47,1184,1189,0,3.0,5.0,1145.0,1147.0,0,48.0,55.0,1190.0,1197.0,56.0,71.0,1198.0,1213.0,verb.motion,1
11,2,rode,77,81,1219,1223,0,3.0,5.0,1145.0,1147.0,,,,,,,,,,verb.motion,1
12,0,rode,3,7,1252,1256,0,0.0,2.0,1249.0,1251.0,,8.0,17.0,1257.0,1266.0,,,,,verb.motion,1
12,2,covered,35,42,1284,1291,0,0.0,2.0,1249.0,1251.0,,43.0,63.0,1292.0,1312.0,65.0,121.0,1314.0,1370.0,verb.contact,1
12,3,saw,73,76,1322,1325,0,70.0,72.0,1319.0,1321.0,,77.0,121.0,1326.0,1370.0,,,,,verb.perception,1
13,0,Make,1,5,1407,1411,,,,,,22,6.0,28.0,1412.0,1434.0,,,,,verb.social,1
13,1,take,15,19,1421,1425,,,,,,22,20.0,28.0,1426.0,1434.0,,,,,verb.possession,1
14,2,do,25,27,1523,1525,22,13.0,17.0,1511.0,1515.0,,,,,,,,,,verb.creation,1
14,3,said,30,34,1528,1532,22,1.0,27.0,1499.0,1525.0,,35.0,38.0,1533.0,1536.0,,,,,verb.communication,1
14,4,fitted,46,52,1544,1550,22,35.0,44.0,1533.0,1542.0,,53.0,61.0,1551.0,1559.0,62.0,79.0,1560.0,1577.0,verb.contact,1
15,1,nuzzled,27,34,1657,1664,,0.0,13.0,1630.0,1643.0,23,35.0,50.0,1665.0,1680.0,51.0,84.0,1681.0,1714.0,verb.contact,1
16,0,rode,13,17,1767,1771,0,0.0,8.0,1754.0,1762.0,,,,,,,,,,verb.motion,1
16,1,spied,80,85,1834,1839,0,68.0,70.0,1822.0,1824.0,,86.0,169.0,1840.0,1923.0,,,,,verb.perception,1
17,0,Make,1,5,1926,1930,,,,,,22,6.0,28.0,1931.0,1953.0,,,,,verb.social,1
17,1,take,15,19,1940,1944,,,,,,22,20.0,28.0,1945.0,1953.0,,,,,verb.possession,1
17,2,said,31,35,1956,1960,,,,,,25,36.0,45.0,1961.0,1970.0,,,,,verb.communication,1
18,2,do,23,25,2036,2038,22,13.0,17.0,2026.0,2030.0,,,,,,,,,,verb.social,1
18,3,said,28,32,2041,2045,22,1.0,25.0,2014.0,2038.0,22,33.0,42.0,2046.0,2055.0,,,,,verb.communication,1
19,0,fitted,3,9,2060,2066,22,0.0,2.0,2057.0,2059.0,,10.0,18.0,2067.0,2075.0,19.0,36.0,2076.0,2093.0,verb.contact,1
22,1,tire,22,26,2371,2375,22,4.0,13.0,2353.0,2362.0,,,,,,,,,,verb.body,1
23,0,saw,9,12,2446,2449,22,6.0,8.0,2443.0,2445.0,,13.0,42.0,2450.0,2479.0,44.0,71.0,2481.0,2508.0,verb.perception,1
24,0,Make,1,5,2511,2515,,,,,,22,6.0,28.0,2516.0,2538.0,,,,,verb.social,1
24,1,take,15,19,2525,2529,,,,,,22,20.0,28.0,2530.0,2538.0,,,,,verb.possession,1
25,2,do,23,25,2616,2618,22,13.0,17.0,2606.0,2610.0,,,,,,,,,,verb.creation,1
25,3,answered,28,36,2621,2629,,,,,,22,37.0,46.0,2630.0,2639.0,,,,,verb.communication,1
26,3,gave,45,49,2805,2809,,4.0,44.0,2764.0,2804.0,"32,22",50.0,63.0,2810.0,2823.0,,,,,verb.communication,1
26,5,join,115,119,2875,2879,,4.0,43.0,2764.0,2803.0,"33,22",120.0,131.0,2880.0,2891.0,132.0,149.0,2892.0,2909.0,verb.social,1
27,0,rode,9,13,2920,2924,0,0.0,8.0,2911.0,2919.0,,14.0,16.0,2925.0,2927.0,17.0,22.0,2928.0,2933.0,verb.motion,1
28,1,announced,23,32,3001,3010,0,0.0,2.0,2978.0,2980.0,35,33.0,44.0,3011.0,3022.0,,,,,verb.communication,1
28,2,begged,50,56,3028,3034,0,0.0,2.0,2978.0,2980.0,"35,0,36",57.0,104.0,3035.0,3082.0,,,,,verb.communication,1
28,4,take,79,83,3057,3061,36,62.0,72.0,3040.0,3050.0,"35,0",84.0,87.0,3062.0,3065.0,,,,,verb.social,1
29,1,want,29,33,3113,3117,0,1.0,21.0,3085.0,3105.0,,,,,,,,,,verb.emotion,1
30,0,asked,0,5,3120,3125,,,,,,"38,35",6.0,72.0,3126.0,3192.0,,,,,verb.communication,1
30,2,look,36,40,3156,3160,,16.0,19.0,3136.0,3139.0,38,41.0,51.0,3161.0,3171.0,,,,,verb.perception,1
31,5,have,79,83,3273,3277,0,72.0,73.0,3266.0,3267.0,0,84.0,119.0,3278.0,3313.0,,,,,verb.possession,1
32,1,have,16,20,3332,3336,0,1.0,5.0,3317.0,3321.0,,,,,,,,,,verb.possession,1
32,2,said,23,27,3339,3343,0,1.0,20.0,3317.0,3336.0,35,28.0,36.0,3344.0,3352.0,,,,,verb.communication,1
32,6,liked,138,143,3454,3459,42,114.0,137.0,3430.0,3453.0,22,144.0,147.0,3460.0,3463.0,,,,,verb.emotion,1
32,7,praised,176,183,3492,3499,35,153.0,175.0,3469.0,3491.0,22,184.0,187.0,3500.0,3503.0,188.0,194.0,3504.0,3510.0,verb.communication,1
33,3,did,88,91,3600,3603,,20.0,29.0,3532.0,3541.0,0,92.0,105.0,3604.0,3617.0,106.0,117.0,3618.0,3629.0,verb.social,1
33,5,harm,109,113,3621,3625,,,,,,0,114.0,117.0,3626.0,3629.0,,,,,verb.body,1
34,0,thought,8,15,3638,3645,0,5.0,7.0,3635.0,3637.0,"0,179",29.0,113.0,3659.0,3743.0,,,,,verb.cognition,1
34,5,see,70,73,3700,3703,0,34.0,35.0,3664.0,3665.0,"0,179",74.0,113.0,3704.0,3743.0,,,,,verb.perception,1
34,7,rise,90,94,3720,3724,0,74.0,77.0,3704.0,3707.0,,,,,,,,,,verb.change,1
35,0,happened,7,15,3753,3761,,,,,,"15,35,48",16.0,110.0,3762.0,3856.0,,,,,verb.change,1
35,3,lost,55,59,3801,3805,35,48.0,50.0,3794.0,3796.0,"15,35,48",60.0,110.0,3806.0,3856.0,,,,,verb.possession,1
35,5,stolen,88,94,3834,3840,"15,35,48",60.0,69.0,3806.0,3815.0,,95.0,110.0,3841.0,3856.0,,,,,verb.possession,1
36,4,love,93,97,3951,3955,50,81.0,84.0,3939.0,3942.0,35,98.0,101.0,3956.0,3959.0,,,,,verb.emotion,1
37,0,longed,15,21,3976,3982,35,6.0,14.0,3967.0,3975.0,50,22.0,29.0,3983.0,3990.0,30.0,37.0,3991.0,3998.0,verb.emotion,1
37,1,spoke,49,54,4010,4015,35,6.0,14.0,3967.0,3975.0,"53,35",55.0,60.0,4016.0,4021.0,,,,,verb.communication,1
38,0,said,22,26,4071,4075,1,11.0,21.0,4060.0,4070.0,"179,1,181,182,35,0",29.0,176.0,4078.0,4225.0,,,,,verb.communication,1
38,4,boasting,92,100,4141,4149,0,74.0,82.0,4123.0,4131.0,"1,181,182,35,0",101.0,106.0,4150.0,4155.0,,,,,verb.communication,1
