clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Faithful,0,27,75,102,Faithful,male,1.0,primary
the youth/The youth,22,14,69,83,the youth,male,1.0,primary
the king/The king,35,33,44,77,the king,male,1.0,primary
the queen,50,18,36,54,the queen,female,1.0,secondary
the king/The king--his wife,98,2,13,15,the king's wife,female,1.0,tertiary
Faithful,7,3,8,11,Faithful,male,1.0,tertiary
the troll,182,9,0,9,the troll,unknown,0.0,tertiary
Faithful--my lord/My lord,179,4,2,6,Faithful's lord,unknown,0.0,tertiary
the horse,25,5,1,6,the horse,unknown,0.0,tertiary
a boy,6,1,5,6,a boy,male,1.0,tertiary
Unfaithful/But Unfaithful,1,3,3,6,Unfaithful,unknown,0.0,tertiary
the courageous youth,83,1,3,4,the courageous youth,male,1.0,tertiary
a couple of humble cottagers who had no children,2,1,3,4,a couple of humble cottagers who had no children,group/nonbinary,1.0,tertiary
Faithful--the two lions whom he had rescued,126,1,3,4,Faithful's two lions whom he had rescued,group/nonbinary,1.0,tertiary
a huldra,8,1,3,4,a huldra,female,1.0,tertiary
a strange old man--his queen,15,2,1,3,a strange old man's queen,female,1.0,tertiary
The boy,12,1,2,3,The boy,male,1.0,tertiary
the queen--her husband,90,2,1,3,the queen's husband,male,1.0,tertiary
"Faithful , on pain of death",142,1,2,3,"Faithful , on pain of death",male,1.0,tertiary
the king/The king--his servant,53,3,0,3,the king's servant,unknown,0.0,tertiary
a strange old man,13,1,2,3,a strange old man,male,1.0,tertiary
the king 's wife,156,1,1,2,the king 's wife,female,0.6,tertiary
a groom,178,2,0,2,a groom,unknown,0.0,tertiary
the youth/The youth--his deliverer,32,2,0,2,the youth's deliverer,unknown,0.0,tertiary
the huldra,11,2,0,2,the huldra,unknown,0.0,tertiary
the bold horseman,38,1,0,1,the bold horseman,unknown,0.0,tertiary
the ancient man,16,1,0,1,the ancient man,male,1.0,tertiary
the two doves,212,1,0,1,the two doves,unknown,0.0,tertiary
the man,4,1,0,1,the man,male,1.0,tertiary
the youth/The youth--My wise horse,208,1,0,1,the youth's wise horse,unknown,0.0,tertiary
the man 's wife,5,1,0,1,the man 's wife,female,0.5,tertiary
the colts of the troll,202,1,0,1,the colts of the troll,unknown,0.0,tertiary
the daring youth,134,1,0,1,the daring youth,unknown,0.0,tertiary
the colts,128,1,0,1,the colts,unknown,0.0,tertiary
the child,10,1,0,1,the child,unknown,0.0,tertiary
a present of a horse with many rare qualities,176,1,0,1,a present of a horse with many rare qualities,unknown,0.0,tertiary
the captive queen,81,1,0,1,the captive queen,female,1.0,tertiary
no children,3,1,0,1,no children,unknown,0.0,tertiary
"the youth/The youth--the troll , who had crept out of his castle , lying stretched out at the entrance to his cave",72,1,0,1,"the youth's troll , who had crept out of his castle , lying stretched out at the entrance to his cave",unknown,0.0,tertiary
Faithful--the wife of whom he had been robbed,57,1,0,1,Faithful's wife of whom he had been robbed,female,1.0,tertiary
Faithful--his parents,18,1,0,1,Faithful's parents,unknown,0.0,tertiary
the king/The king--your beautiful queen,181,1,0,1,the king's beautiful queen,female,1.0,tertiary
their preserver,23,1,0,1,their preserver,unknown,0.0,tertiary
their deliverer,27,1,0,1,their deliverer,unknown,0.0,tertiary
a troll,48,1,0,1,a troll,unknown,0.0,tertiary
the youth/The youth--his fellows,33,1,0,1,the youth's fellows,unknown,0.0,tertiary
the other servitors,45,1,0,1,the other servitors,unknown,0.0,tertiary
every one in the castle,42,1,0,1,every one in the castle,unknown,0.0,tertiary
queen,173,1,0,1,queen,female,1.0,tertiary
