sentence_id,event_id,temporal_rank
0,2,0
2,3,1
3,1,2
4,1,3
5,0,4
6,4,5
7,2,6
8,3,7
9,4,8
10,1,9
12,1,10
11,9,11
13,2,12
14,0,13
15,4,14
17,1,15
16,0,16
18,2,17
19,8,18
21,1,19
22,2,20
24,1,21
25,2,22
26,1,23
28,0,24
27,2,25
29,3,26
30,1,27
31,3,28
33,0,29
32,1,30
34,1,31
35,1,32
36,3,33
40,3,34
38,4,35
37,0,36
41,0,37
45,4,38
43,1,39
46,0,40
47,0,41
48,0,42
53,2,43
50,7,44
49,1,45
57,1,46
55,0,47
58,0,48
59,5,49
60,3,50
61,4,51
63,10,52
62,2,53
66,2,54
65,0,55
67,0,56
70,0,57
71,5,58
72,0,59
76,0,60
75,0,61
78,2,62
79,2,63
81,0,64
82,1,65
83,3,66
86,1,67
85,0,68
87,3,69
89,7,70
88,2,71
90,2,72
91,2,73
92,0,74
95,5,75
94,1,76
93,1,77
97,0,78
98,5,79
99,0,80
100,4,81
101,3,82
103,1,83
102,0,84
104,1,85
106,2,86
105,11,87
107,1,88
108,2,89
110,1,90
112,0,91
114,2,92
113,1,93
117,9,94
115,2,95
119,2,96
118,0,97
120,4,98
