coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
1,an old farmer,an old farmer,0,28,41,0
1,an old farmer,his,0,46,49,1
1,an old farmer,his,2,139,142,0
2,his wife,his wife,0,46,54,0
2,his wife,his wife,8,45,53,0
2,his wife,his wife,40,52,60,0
2,his wife,his wife,119,99,107,0
2,his wife,You,9,0,3,0
2,his wife,his wife,59,154,162,0
6,Their only neighbor,Their only neighbor,1,0,19,0
7,This badger,This badger,2,0,11,0
8,the farmer,I,8,56,57,0
8,the farmer,I,9,34,35,0
8,the farmer,his,10,53,56,0
8,the farmer,I,9,83,84,0
8,the farmer,he,10,13,15,0
8,the farmer,his,8,45,48,1
8,the farmer,his,10,84,87,0
8,the farmer,the farmer,13,134,144,1
8,the farmer,the farmer,66,154,164,0
8,the farmer,The farmer,60,0,10,0
8,the farmer,the farmer,8,26,36,0
8,the farmer,the farmer,2,59,69,0
8,the farmer,The farmer,7,0,10,0
8,the farmer,him,60,111,114,0
8,the farmer,his,60,118,121,0
8,the farmer,The farmer,6,0,10,0
8,the farmer,the farmer,61,24,34,0
8,the farmer,the farmer,2,122,132,0
8,the farmer,the farmer,63,224,234,0
8,the farmer,his,60,51,54,0
8,the farmer,the farmer,95,34,44,1
11,the badger,you,38,54,57,0
11,the badger,he,104,5,7,0
11,the badger,he,103,41,43,0
11,the badger,he,102,4,6,0
11,the badger,the badger,41,5,15,0
11,the badger,his,43,75,78,0
11,the badger,him,99,65,68,0
11,the badger,his,41,53,56,0
11,the badger,he,43,31,33,0
11,the badger,his,99,72,75,0
11,the badger,The badger,101,0,10,0
11,the badger,himself,41,37,44,0
11,the badger,I,38,0,1,0
11,the badger,The badger,111,0,10,0
11,the badger,him,37,118,121,0
11,the badger,his,114,180,183,0
11,the badger,the badger,114,153,163,0
11,the badger,him,113,49,52,0
11,the badger,He,113,0,2,0
11,the badger,his,112,43,46,0
11,the badger,the badger,112,26,36,0
11,the badger,the badger,99,26,36,0
11,the badger,him,108,130,133,0
11,the badger,his,108,61,64,0
11,the badger,The badger,108,0,10,0
11,the badger,the badger,36,17,27,0
11,the badger,the badger,107,41,51,0
11,the badger,the badger,106,50,60,0
11,the badger,The badger,37,0,10,0
11,the badger,he,37,66,68,0
11,the badger,you,37,170,173,0
11,the badger,the badger,98,25,35,0
11,the badger,the badger,89,14,24,0
11,the badger,his,97,54,57,0
11,the badger,he,82,46,48,0
11,the badger,the badger,82,20,30,0
11,the badger,the badger,80,83,93,0
11,the badger,The badger,78,0,10,0
11,the badger,the badger,77,51,61,0
11,the badger,The badger,72,0,10,0
11,the badger,his,82,58,61,0
11,the badger,the badger,71,93,103,0
11,the badger,his,66,51,54,1
11,the badger,The badger,66,0,10,0
11,the badger,you,64,32,35,0
11,the badger,the badger,61,116,126,0
11,the badger,he,63,204,206,0
11,the badger,the badger,62,67,77,0
11,the badger,the badger,70,26,36,0
11,the badger,he,97,75,77,0
11,the badger,him,83,30,33,0
11,the badger,you,87,13,16,0
11,the badger,The badger,96,0,10,0
11,the badger,He,94,0,2,0
11,the badger,his,93,104,107,0
11,the badger,the badger,93,42,52,0
11,the badger,The badger,92,0,10,0
11,the badger,he,91,113,115,0
11,the badger,you,84,24,27,0
11,the badger,him,91,88,91,0
11,the badger,the badger,91,19,29,0
11,the badger,him,89,177,180,1
11,the badger,his,89,38,41,0
11,the badger,He,32,0,2,0
11,the badger,the badger,88,72,82,0
11,the badger,your,87,47,51,0
11,the badger,him,91,64,67,0
11,the badger,the badger,31,66,76,0
11,the badger,him,30,55,58,0
11,the badger,He,31,0,2,0
11,the badger,him,114,254,257,0
11,the badger,the badger,117,154,164,0
11,the badger,you,19,215,218,0
11,the badger,you,19,127,130,0
11,the badger,he,31,53,55,0
11,the badger,you,19,69,72,0
11,the badger,your,19,15,19,0
11,the badger,you,19,7,10,0
11,the badger,him,13,10,13,0
11,the badger,he,12,64,66,0
11,the badger,his,12,32,35,0
11,the badger,he,11,188,190,0
11,the badger,he,11,110,112,0
11,the badger,he,11,38,40,0
11,the badger,The badger,11,0,10,0
11,the badger,his,3,39,42,0
11,the badger,The badger,3,0,10,0
11,the badger,his,114,200,203,0
11,the badger,the badger,26,29,39,0
11,the badger,you,19,118,121,0
11,the badger,the badger,63,121,131,0
11,the badger,him,29,126,129,0
11,the badger,his,28,69,72,0
11,the badger,him,30,24,27,0
11,the badger,he,29,75,77,0
11,the badger,himself,63,185,192,0
11,the badger,He,28,0,2,0
11,the badger,him,27,61,64,0
13,the good - natured farmer,he,6,122,124,0
13,the good - natured farmer,his,6,74,77,0
13,the good - natured farmer,his,7,42,45,1
13,the good - natured farmer,he,5,5,7,0
13,the good - natured farmer,he,4,3,5,0
13,the good - natured farmer,he,8,5,7,0
13,the good - natured farmer,the good-natured farmer,3,111,134,0
13,the good - natured farmer,he,6,85,87,0
16,his enemy,him,9,98,101,0
16,his enemy,him,9,24,27,0
16,his enemy,him,9,63,66,0
16,his enemy,him,7,65,68,0
16,his enemy,his enemy,7,42,51,0
16,his enemy,his enemy,117,166,175,0
27,the farmer 's old wife,the farmer's old wife,13,134,155,0
27,the farmer 's old wife,She,14,0,3,0
27,the farmer 's old wife,Her,15,0,3,0
27,the farmer 's old wife,she,15,92,95,0
27,the farmer 's old wife,her,15,147,150,0
174,Dear lady,your,22,21,25,1
174,Dear lady,Dear lady,16,1,10,0
174,Dear lady,you,16,36,39,0
174,Dear lady,you,22,46,49,0
174,Dear lady,your,16,84,88,0
174,Dear lady,you,17,6,9,0
174,Dear lady,you,17,29,32,0
174,Dear lady,you,18,45,48,0
174,Dear lady,You,21,0,3,0
174,Dear lady,you,22,3,6,0
174,Dear lady,you,24,3,6,0
174,Dear lady,You,20,104,107,0
28,the wily badger,the wily badger,16,18,33,0
28,the wily badger,My,18,0,2,0
28,the wily badger,I,18,29,30,0
28,the wily badger,me,17,14,16,0
29,the old woman,The old woman,30,0,13,0
29,the old woman,the old woman,31,97,110,0
29,the old woman,her,31,123,126,0
29,the old woman,her,26,59,62,0
29,the old woman,the old woman,37,29,42,0
29,the old woman,she,26,14,17,0
29,the old woman,The old woman,25,0,13,0
29,the old woman,her,29,22,25,0
29,the old woman,she,30,97,100,0
29,the old woman,her,32,15,18,0
29,the old woman,the old woman,19,36,49,0
29,the old woman,her,32,51,54,0
29,the old woman,my,19,158,160,1
29,the old woman,her,32,27,30,0
29,the old woman,She,27,0,3,0
29,the old woman,the old woman,114,45,58,0
29,the old woman,I,19,56,57,0
29,the old woman,she,29,98,101,0
29,the old woman,me,19,90,92,0
29,the old woman,I,19,101,102,0
29,the old woman,she,27,39,42,0
29,the old woman,I,19,147,148,0
175,my husband,he,19,192,194,0
175,my husband,his,22,71,74,0
175,my husband,my husband,19,158,168,0
177,your husband,your husband,22,21,33,0
32,any one,any one,25,73,80,0
34,the creature,the creature,29,47,59,0
38,the old farmer,his,119,99,102,1
38,the old farmer,the old farmer,37,73,87,0
38,the old farmer,he,119,150,152,0
38,the old farmer,The old farmer,39,0,14,0
38,the old farmer,his,39,32,35,0
38,the old farmer,he,119,22,24,0
38,the old farmer,the old farmer,117,119,133,0
38,the old farmer,He,120,0,2,0
38,the old farmer,The old farmer,118,0,14,0
38,the old farmer,the old farmer,120,104,118,0
38,the old farmer,him,120,34,37,0
38,the old farmer,his,120,48,51,0
38,the old farmer,the old farmer,32,85,99,0
38,the old farmer,his,118,41,44,0
38,the old farmer,He,119,0,2,0
38,the old farmer,his,39,70,73,0
38,the old farmer,the old farmer,116,36,50,0
39,the old man,the old man,63,256,267,0
39,the old man,him,59,130,133,0
39,the old man,The old man,44,0,11,0
39,the old man,he,50,108,110,0
39,the old man,his,34,23,26,0
39,the old man,He,49,0,2,0
39,the old man,him,58,17,20,0
39,the old man,He,35,0,2,0
39,the old man,The old man,58,0,11,0
39,the old man,his,57,134,137,1
39,the old man,himself,49,10,17,0
39,the old man,he,57,114,116,0
39,the old man,his,35,82,85,0
39,the old man,him,35,101,104,0
39,the old man,the old man,57,9,20,0
39,the old man,You,41,86,89,1
39,the old man,He,57,0,2,0
39,the old man,he,55,0,2,0
39,the old man,his,36,103,106,0
39,the old man,his,53,66,69,1
39,the old man,he,53,1,3,0
39,the old man,his,49,32,35,0
39,the old man,his,50,39,42,1
39,the old man,his,50,296,299,0
39,the old man,his,33,112,115,0
39,the old man,He,48,0,2,0
39,the old man,he,34,15,17,0
39,the old man,himself,50,211,218,0
39,the old man,the old man,59,95,106,0
39,the old man,he,47,14,16,0
39,the old man,he,59,138,140,0
39,the old man,he,33,54,56,0
39,the old man,He,45,0,2,0
39,the old man,he,46,76,78,0
39,the old man,he,45,29,31,0
39,the old man,his,33,27,30,0
39,the old man,The old man,33,0,11,0
39,the old man,his,59,154,157,1
39,the old man,he,46,40,42,0
39,the old man,he,46,10,12,0
39,the old man,he,33,64,66,0
41,the destructive badger,the destructive badger,33,136,158,0
44,the poor old woman,the poor old woman,36,63,81,0
51,The innocent man,The innocent man,40,0,16,0
51,The innocent man,him,40,97,100,0
51,The innocent man,his,40,52,55,1
178,You wife - eating old man,You wife-eating old man,41,86,109,0
58,his faithful old wife,his faithful old wife,50,39,60,0
62,his poor old woman,his poor old woman,53,66,84,0
65,his neighbor,his neighbor,57,134,146,0
67,the rabbit,him,102,41,44,0
67,the rabbit,he,102,27,29,0
67,the rabbit,the rabbit,102,13,23,0
67,the rabbit,the rabbit,105,40,50,0
67,the rabbit,the rabbit,103,19,29,0
67,the rabbit,he,101,179,181,0
67,the rabbit,his,101,122,125,0
67,the rabbit,his,101,108,111,0
67,the rabbit,he,102,59,61,0
67,the rabbit,himself,107,24,31,0
67,the rabbit,he,105,80,82,0
67,the rabbit,the rabbit,120,75,85,0
67,the rabbit,the rabbit,120,10,20,0
67,the rabbit,him,118,23,26,0
67,the rabbit,his,117,166,169,1
67,the rabbit,his,117,73,76,0
67,the rabbit,The rabbit,117,0,10,0
67,the rabbit,his,116,21,24,0
67,the rabbit,he,116,13,15,0
67,the rabbit,he,115,75,77,0
67,the rabbit,his,115,57,60,0
67,the rabbit,his,115,15,18,0
67,the rabbit,his,105,71,74,0
67,the rabbit,he,115,5,7,0
67,the rabbit,his,114,92,95,0
67,the rabbit,he,114,29,31,0
67,the rabbit,the rabbit,114,4,14,0
67,the rabbit,the rabbit,113,30,40,0
67,the rabbit,the rabbit,110,41,51,0
67,the rabbit,the rabbit,108,105,115,0
67,the rabbit,He,107,0,2,0
67,the rabbit,the rabbit,106,18,28,0
67,the rabbit,he,105,159,161,0
67,the rabbit,his,105,135,138,0
67,the rabbit,his,105,97,100,0
67,the rabbit,he,114,126,128,0
67,the rabbit,his,101,79,82,0
67,the rabbit,the rabbit,63,84,94,0
67,the rabbit,the rabbit,101,37,47,0
67,the rabbit,the rabbit,59,5,15,0
67,the rabbit,he,59,32,34,0
67,the rabbit,I,76,2,3,0
67,the rabbit,the rabbit,75,8,18,0
67,the rabbit,his,71,145,148,0
67,the rabbit,he,101,69,71,0
67,the rabbit,the rabbit,71,32,42,0
67,the rabbit,the rabbit,70,10,20,0
67,the rabbit,his,69,133,136,0
67,the rabbit,his,69,110,113,0
67,the rabbit,The rabbit,67,0,10,0
67,the rabbit,him,66,189,192,0
67,the rabbit,him,66,98,101,0
67,the rabbit,the rabbit,60,70,80,0
67,the rabbit,the rabbit,66,36,46,0
67,the rabbit,his,60,85,88,0
67,the rabbit,me,65,14,16,0
67,the rabbit,The rabbit,61,0,10,0
67,the rabbit,The rabbit,64,0,10,0
67,the rabbit,his,61,68,71,0
67,the rabbit,his,61,84,87,0
67,the rabbit,the rabbit,62,39,49,0
67,the rabbit,He,63,0,2,0
67,the rabbit,the rabbit,79,55,65,0
67,the rabbit,He,81,0,2,0
67,the rabbit,he,71,114,116,0
67,the rabbit,his,83,43,46,0
67,the rabbit,he,100,50,52,0
67,the rabbit,the rabbit,100,24,34,0
67,the rabbit,his,63,103,106,0
67,the rabbit,he,99,3,5,0
67,the rabbit,he,98,90,92,0
67,the rabbit,The rabbit,83,0,10,0
67,the rabbit,the rabbit,98,5,15,0
67,the rabbit,The rabbit,95,0,10,0
67,the rabbit,him,92,34,37,0
67,the rabbit,him,92,19,22,0
67,the rabbit,he,91,56,58,0
67,the rabbit,he,98,54,56,0
67,the rabbit,He,90,0,2,0
67,the rabbit,the rabbit,85,5,15,0
67,the rabbit,He,91,0,2,0
67,the rabbit,I,87,0,1,0
67,the rabbit,The rabbit,88,0,10,0
67,the rabbit,He,89,0,2,0
67,the rabbit,I,86,1,2,0
67,the rabbit,he,89,53,55,0
68,the wicked and deceitful badger,the wicked and deceitful badger,59,53,84,0
91,his friend,his friend,66,51,61,0
184,an unlucky fellow,an unlucky fellow,84,6,23,0
116,a poor helpless old woman who had trusted him,a poor helpless old woman who had trusted him,89,135,180,0
123,the farmer 's wife,the farmer's wife,95,34,51,0
137,the wicked badger,the wicked badger,105,183,200,0
173,good friends,good friends,120,151,163,0
