sentence_id,event_id,temporal_rank
1,1,0
2,1,1
3,2,2
7,1,3
6,0,4
4,4,5
11,1,6
17,1,7
19,0,8
21,2,9
20,1,10
24,2,11
25,1,12
26,2,13
29,0,14
28,3,15
30,0,16
31,1,17
32,3,18
35,1,19
33,3,20
36,2,21
37,1,22
39,1,23
38,1,24
40,4,25
41,0,26
42,2,27
43,1,28
44,0,29
45,2,30
46,1,31
47,4,32
48,0,33
49,2,34
50,0,35
53,0,36
54,4,37
55,1,38
56,1,39
57,0,40
59,6,41
58,1,42
61,1,43
60,3,44
63,1,45
62,2,46
65,0,47
64,2,48
66,0,49
67,4,50
69,0,51
68,2,52
71,0,53
73,4,54
74,3,55
75,0,56
77,0,57
79,6,58
80,3,59
82,4,60
81,0,61
84,1,62
83,1,63
86,0,64
87,3,65
89,0,66
90,2,67
92,0,68
91,2,69
95,0,70
100,2,71
96,1,72
101,1,73
102,0,74
103,2,75
105,1,76
104,3,77
106,0,78
110,1,79
113,2,80
115,1,81
114,2,82
116,1,83
117,1,84
118,1,85
119,2,86
120,2,87
121,0,88
123,3,89
125,4,90
