sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
4,1,cudgelling,verb.communication,1,1
4,2,came,verb.motion,13,1
4,3,offered,verb.communication,13,1
4,3,offered,verb.communication,13,13
4,5,tell,verb.communication,1,1
4,5,tell,verb.communication,1,13
5,4,receive,verb.perception,16,1
6,0,agreed,verb.communication,17,1
8,0,thought,verb.cognition,1,1
8,2,know,verb.cognition,1,16
9,1,relish,verb.emotion,1,1
9,2,losing,verb.possession,1,1
11,1,heard,verb.perception,1,23
11,4,sing,verb.creation,25,25
11,4,sing,verb.creation,25,1
11,4,sing,verb.creation,25,40
11,4,sing,verb.creation,25,2
11,4,sing,verb.creation,25,41
13,0,heard,verb.perception,1,1
14,0,knew,verb.cognition,1,16
17,0,flung,verb.contact,16,1
17,1,said,verb.communication,16,16
19,0,say,verb.communication,34,36
19,0,say,verb.communication,34,16
