sentence_id,event_id,temporal_rank
0,3,0
1,2,1
4,1,2
3,0,3
2,2,4
6,1,5
5,2,6
7,3,7
10,3,8
9,0,9
11,2,10
12,1,11
13,0,12
17,1,13
15,1,14
18,5,15
21,1,16
25,9,17
24,0,18
28,0,19
26,2,20
29,1,21
30,0,22
31,5,23
32,3,24
33,4,25
34,1,26
35,6,27
36,2,28
38,4,29
42,3,30
43,2,31
44,1,32
46,1,33
45,5,34
48,4,35
49,1,36
50,5,37
52,2,38
51,1,39
53,1,40
54,2,41
55,1,42
56,0,43
58,2,44
59,2,45
60,0,46
61,2,47
63,2,48
62,1,49
64,2,50
65,3,51
66,0,52
67,1,53
68,2,54
70,2,55
71,3,56
72,1,57
73,7,58
74,1,59
76,3,60
75,4,61
77,0,62
78,0,63
79,1,64
82,5,65
83,2,66
84,1,67
85,0,68
86,1,69
88,1,70
90,4,71
91,2,72
92,0,73
94,7,74
95,1,75
96,0,76
98,3,77
97,0,78
99,1,79
101,0,80
100,2,81
102,5,82
104,2,83
103,2,84
105,1,85
106,9,86
107,0,87
108,0,88
109,0,89
110,2,90
111,0,91
113,1,92
114,0,93
116,7,94
115,3,95
117,0,96
118,7,97
120,4,98
119,0,99
121,0,100
122,1,101
123,4,102
124,2,103
125,3,104
126,5,105
127,0,106
128,0,107
129,1,108
131,3,109
134,6,110
132,4,111
135,4,112
139,2,113
140,2,114
143,2,115
142,1,116
144,2,117
145,2,118
147,0,119
146,1,120
148,0,121
149,0,122
150,0,123
151,2,124
153,9,125
152,0,126
154,0,127
155,0,128
156,5,129
157,1,130
158,6,131
162,4,132
161,2,133
159,0,134
164,0,135
163,4,136
165,0,137
167,0,138
166,0,139
171,0,140
169,0,141
168,0,142
174,0,143
172,5,144
175,3,145
177,1,146
179,6,147
178,1,148
182,3,149
180,4,150
185,2,151
183,0,152
186,0,153
189,1,154
188,1,155
187,3,156
191,0,157
193,1,158
192,6,159
196,5,160
195,1,161
194,4,162
197,8,163
198,0,164
199,1,165
203,2,166
200,1,167
204,0,168
205,1,169
206,8,170
207,0,171
208,4,172
210,2,173
209,5,174
