sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
3,3,washed,65,71,212,218,0,43.0,58.0,190.0,205.0,,,,,verb.contact,True,0,subject,little children,1.0,1.0,2.0,group/nonbinary,1.0,tertiary
4,0,look,5,9,258,262,1,0.0,4.0,253.0,257.0,,,,,verb.perception,True,1,subject,little children's mothers,1.0,1.0,2.0,female,1.0,tertiary
5,5,make,103,107,409,413,3,95.0,96.0,401.0,402.0,,,,,verb.creation,True,2,subject,the flax,3.0,35.0,38.0,unknown,0.0,primary
7,1,know,24,28,486,490,3,9.0,11.0,471.0,473.0,,,,,verb.cognition,True,3,subject,the flax,3.0,35.0,38.0,unknown,0.0,primary
10,1,feel,24,28,647,651,34,0.0,19.0,623.0,642.0,,,,,verb.emotion,True,5,subject,No one in the world,1.0,0.0,1.0,unknown,0.0,tertiary
16,0,feel,2,6,964,968,3,0.0,1.0,962.0,963.0,,,,,verb.cognition,True,8,subject,the flax,3.0,35.0,38.0,unknown,0.0,primary
17,0,feel,2,6,990,994,3,0.0,1.0,988.0,989.0,,,,,verb.cognition,True,9,subject,the flax,3.0,35.0,38.0,unknown,0.0,primary
18,2,come,55,59,1077,1081,3,40.0,41.0,1062.0,1063.0,,,,,verb.change,True,11,subject,the flax,3.0,35.0,38.0,unknown,0.0,primary
19,2,pulled,62,68,1159,1165,4,14.0,25.0,1111.0,1122.0,89.0,111.0,1186.0,1208.0,verb.contact,True,10,subject,some people,1.0,0.0,1.0,unknown,0.0,tertiary
33,5,favored,47,54,2133,2140,3,32.0,33.0,2118.0,2119.0,,,,,verb.emotion,True,13,subject,the flax,3.0,35.0,38.0,unknown,0.0,primary
37,2,suffered,43,51,2337,2345,3,32.0,37.0,2326.0,2331.0,,,,,verb.cognition,True,12,subject,the flax,3.0,35.0,38.0,unknown,0.0,primary
41,0,had,7,10,2538,2541,3,5.0,6.0,2536.0,2537.0,39.0,55.0,2570.0,2586.0,verb.perception,True,15,subject,the flax,3.0,35.0,38.0,unknown,0.0,primary
