clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the merchant,30,19,71,90,the merchant,male,1.0,primary
the boy/The boy,6,11,39,50,the boy,male,1.0,secondary
"a poor woman , who lived in a wretched hut far away from the village--her little boy",3,1,25,26,"a poor woman , who lived in a wretched hut far away from the village's little boy",male,0.6612903225806451,tertiary
the people,61,4,10,14,the people,group/nonbinary,1.0,tertiary
the woman/The woman,11,4,4,8,the woman,female,1.0,tertiary
a woman with a bag on her back--a woman with a bag on her back,44,1,6,7,a woman with a bag on her back's woman with a bag on her back,female,1.0,tertiary
people,25,2,4,6,people,group/nonbinary,1.0,tertiary
"a poor woman , who lived in a wretched hut far away from the village's little boy--his mother",9,3,2,5,"a poor woman , who lived in a wretched hut far away from the village's little boy's mother",female,1.0,tertiary
all who were sitting at the table,58,1,4,5,all who were sitting at the table,group/nonbinary,1.0,tertiary
"a poor woman , who lived in a wretched hut far away from the village",0,1,3,4,"a poor woman , who lived in a wretched hut far away from the village",female,1.0,tertiary
the merchant--his servants,32,2,2,4,the merchant's servants,group/nonbinary,1.0,tertiary
the youth,93,2,1,3,the youth,unknown,0.0,tertiary
the scullion,42,3,0,3,the scullion,unknown,0.0,tertiary
the old woman,46,1,2,3,the old woman,female,1.0,tertiary
a merchant,26,1,1,2,a merchant,group/nonbinary,1.0,tertiary
a dunderhead,109,2,0,2,a dunderhead,unknown,0.0,tertiary
each guest,55,1,0,1,each guest,unknown,0.0,tertiary
man,64,1,0,1,man,male,1.0,tertiary
the boy/The boy--You fool,99,1,0,1,the boy's fool,unknown,0.0,tertiary
the folk,119,1,0,1,the folk,unknown,0.0,tertiary
poor fellow,101,1,0,1,poor fellow,unknown,0.0,tertiary
granny,115,1,0,1,granny,unknown,0.0,tertiary
the cook,28,1,0,1,the cook,unknown,0.0,tertiary
this one,103,1,0,1,this one,unknown,0.0,tertiary
the boy/The boy--His master,38,1,0,1,the boy's master,unknown,0.0,tertiary
the little fellow who carried wood and water,34,1,0,1,the little fellow who carried wood and water,unknown,0.0,tertiary
a fool,104,1,0,1,a fool,unknown,0.0,tertiary
the merchant--his daughter,94,1,0,1,the merchant's daughter,unknown,0.0,tertiary
