sentence_id,event_id,temporal_rank
1,0,0
1,3,1
1,4,2
2,0,3
2,3,4
2,2,5
2,1,6
2,7,7
2,8,8
2,13,9
2,11,10
2,10,11
3,1,12
3,4,13
4,1,14
4,0,15
6,2,16
7,0,17
9,1,18
10,2,19
10,0,20
10,4,21
13,3,22
11,3,23
11,1,24
14,0,25
14,1,26
16,2,27
15,0,28
17,0,29
18,0,30
19,3,31
20,0,32
20,1,33
23,0,34
22,4,35
24,6,36
24,2,37
24,8,38
24,0,39
25,3,40
27,4,41
26,1,42
28,1,43
29,5,44
29,6,45
30,2,46
31,2,47
32,0,48
32,1,49
32,4,50
32,2,51
33,0,52
34,1,53
34,3,54
35,2,55
35,3,56
35,4,57
35,6,58
36,1,59
36,3,60
37,0,61
38,1,62
39,0,63
41,4,64
41,5,65
43,1,66
42,0,67
43,3,68
43,7,69
43,5,70
43,10,71
44,3,72
44,1,73
44,4,74
46,0,75
46,1,76
51,1,77
48,0,78
47,0,79
51,2,80
51,3,81
52,0,82
51,6,83
52,1,84
52,3,85
52,4,86
52,5,87
52,7,88
54,1,89
53,0,90
54,3,91
54,4,92
54,6,93
55,0,94
56,2,95
56,0,96
56,3,97
57,2,98
58,1,99
58,3,100
58,4,101
59,8,102
58,7,103
59,9,104
59,1,105
59,7,106
60,0,107
60,2,108
60,4,109
60,3,110
62,1,111
61,1,112
64,2,113
64,0,114
65,2,115
65,0,116
65,3,117
65,9,118
65,6,119
66,0,120
66,1,121
66,2,122
67,0,123
67,2,124
68,0,125
67,3,126
68,1,127
68,2,128
69,2,129
69,0,130
69,3,131
70,1,132
70,2,133
74,3,134
70,3,135
75,0,136
76,1,137
75,1,138
77,2,139
79,2,140
79,1,141
82,0,142
81,3,143
82,1,144
82,2,145
83,0,146
84,0,147
84,2,148
85,0,149
85,1,150
85,2,151
86,5,152
86,3,153
86,1,154
87,2,155
87,1,156
88,2,157
88,1,158
89,1,159
89,3,160
90,0,161
90,3,162
90,4,163
91,1,164
90,6,165
91,3,166
92,0,167
92,1,168
94,1,169
95,1,170
95,3,171
