clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the fox/The fox,18,22,57,79,the fox,female,0.9583333333333334,primary
the wolf/The wolf,13,20,57,77,the wolf,male,1.0,primary
The person who goes down in the bucket,104,1,4,5,The person who goes down in the bucket,unknown,0.0,tertiary
The villagers,5,1,2,3,The villagers,group/nonbinary,1.0,tertiary
The two thieves,50,1,2,3,The two thieves,group/nonbinary,1.0,tertiary
the wolf/The wolf--his companion,41,2,1,3,the wolf's companion,male,1.0,tertiary
a rich man who makes in the summer enough cheeses to last him for the whole year--a rich man who makes in the summer enough cheeses to last him for the whole year,94,1,2,3,a rich man who makes in the summer enough cheeses to last him for the whole year's rich man who makes in the summer enough cheeses to last him for the whole year,male,1.0,tertiary
the fox/The fox--my babies,108,1,1,2,the fox's babies,unknown,0.0,tertiary
neighbour,84,1,0,1,neighbour,unknown,0.0,tertiary
my poor babies,83,1,0,1,my poor babies,unknown,0.0,tertiary
suspicious one,105,1,0,1,suspicious one,unknown,0.0,tertiary
her husband,77,1,0,1,her husband,male,1.0,tertiary
a fox,103,1,0,1,a fox,unknown,0.0,tertiary
a woman,102,1,0,1,a woman,female,1.0,tertiary
a schoolmaster,81,1,0,1,a schoolmaster,unknown,0.0,tertiary
comrade,101,1,0,1,comrade,unknown,0.0,tertiary
each other,35,1,0,1,each other,unknown,0.0,tertiary
a person of your talents,23,1,0,1,a person of your talents,unknown,0.0,tertiary
your host,99,1,0,1,your host,unknown,0.0,tertiary
the children,98,1,0,1,the children,unknown,0.0,tertiary
"quiet , hard - working folk , who toiled in the fields all day , and in the evening set out for home when the bell began to ring in the little church",6,1,0,1,"quiet , hard - working folk , who toiled in the fields all day , and in the evening set out for home when the bell began to ring in the little church",unknown,0.0,tertiary
the mother,92,1,0,1,the mother,female,1.0,tertiary
a poor mother,90,1,0,1,a poor mother,female,1.0,tertiary
the hungriest,26,1,0,1,the hungriest,unknown,0.0,tertiary
the cleverest people,25,1,0,1,the cleverest people,unknown,0.0,tertiary
traitor,109,1,0,1,traitor,unknown,0.0,tertiary
