sentence_id,event_id,temporal_rank
1,0,0
1,2,1
2,0,2
2,6,3
2,4,4
3,3,5
3,1,6
4,2,7
6,5,8
6,3,9
6,6,10
6,7,11
7,2,12
8,1,13
8,0,14
8,2,15
11,0,16
8,3,17
14,3,18
14,1,19
15,1,20
16,2,21
18,4,22
18,0,23
20,0,24
20,4,25
20,1,26
21,3,27
22,0,28
24,0,29
24,2,30
25,0,31
25,1,32
25,2,33
26,2,34
26,0,35
26,3,36
27,2,37
27,0,38
29,1,39
29,2,40
29,3,41
29,4,42
30,0,43
31,0,44
34,2,45
34,3,46
34,4,47
34,5,48
35,0,49
35,4,50
35,2,51
36,5,52
36,2,53
36,6,54
38,0,55
37,2,56
38,2,57
40,1,58
38,3,59
41,0,60
41,1,61
43,1,62
43,2,63
44,0,64
44,1,65
44,2,66
46,1,67
47,1,68
47,2,69
48,1,70
48,0,71
52,1,72
48,2,73
53,0,74
56,1,75
57,0,76
58,1,77
57,1,78
58,3,79
61,0,80
59,3,81
63,1,82
62,2,83
62,0,84
65,2,85
66,0,86
66,1,87
67,1,88
66,3,89
67,2,90
68,2,91
68,0,92
69,0,93
69,1,94
70,1,95
69,2,96
72,0,97
71,2,98
74,0,99
74,1,100
74,2,101
75,2,102
75,0,103
76,0,104
79,1,105
77,0,106
76,1,107
79,2,108
79,3,109
81,0,110
80,2,111
80,0,112
84,0,113
84,1,114
85,0,115
87,0,116
86,0,117
87,1,118
87,2,119
89,3,120
89,8,121
90,5,122
91,0,123
91,1,124
91,3,125
92,0,126
92,1,127
92,2,128
92,4,129
93,0,130
93,1,131
94,0,132
95,0,133
96,1,134
95,1,135
97,0,136
97,1,137
98,1,138
98,5,139
98,4,140
98,2,141
99,0,142
102,2,143
103,0,144
105,0,145
104,2,146
107,2,147
106,1,148
107,4,149
107,3,150
109,1,151
110,0,152
110,1,153
111,0,154
112,1,155
112,2,156
112,3,157
112,4,158
113,0,159
113,1,160
114,1,161
115,2,162
115,0,163
115,3,164
116,0,165
116,1,166
116,4,167
118,0,168
116,5,169
118,1,170
118,2,171
118,3,172
119,0,173
119,1,174
119,3,175
119,5,176
120,0,177
120,1,178
121,0,179
121,1,180
121,2,181
122,1,182
123,3,183
123,1,184
124,2,185
124,4,186
125,0,187
125,1,188
125,2,189
126,0,190
127,0,191
129,0,192
128,2,193
127,1,194
129,2,195
130,0,196
130,2,197
131,3,198
131,0,199
132,0,200
133,0,201
134,0,202
134,2,203
135,2,204
135,0,205
135,4,206
135,3,207
136,0,208
137,0,209
136,1,210
137,2,211
139,1,212
140,0,213
140,4,214
140,2,215
141,2,216
142,0,217
143,0,218
143,1,219
144,0,220
144,3,221
144,1,222
144,4,223
146,1,224
145,0,225
147,0,226
147,1,227
149,0,228
149,3,229
149,1,230
150,1,231
151,1,232
150,4,233
152,0,234
154,0,235
156,1,236
154,2,237
157,0,238
157,1,239
157,4,240
158,0,241
159,0,242
159,2,243
160,1,244
160,0,245
160,2,246
160,7,247
162,0,248
162,4,249
163,1,250
165,2,251
166,0,252
166,1,253
167,0,254
168,0,255
168,1,256
169,0,257
169,1,258
169,2,259
172,2,260
172,5,261
172,4,262
174,1,263
175,0,264
175,1,265
175,2,266
176,1,267
177,0,268
179,3,269
177,1,270
180,0,271
180,5,272
180,2,273
181,1,274
181,2,275
185,1,276
185,0,277
182,0,278
186,0,279
186,1,280
187,0,281
187,1,282
188,2,283
188,5,284
