sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,2,had,60,63,60,63,0,15.0,32.0,15.0,32.0,,,,,verb.possession,1,subject,a regular student,1.0,0.0,1.0,unknown,0.0,tertiary
2,1,had,64,67,246,249,4,54.0,56.0,236.0,238.0,92.0,134.0,274.0,316.0,verb.possession,0,subject,A goblin,1.0,1.0,2.0,male,1.0,tertiary
3,1,afford,19,25,337,343,5,0.0,12.0,318.0,330.0,,,,,verb.consumption,2,subject,the huckster,14.0,4.0,18.0,male,1.0,tertiary
4,0,came,24,28,455,459,9,12.0,23.0,443.0,454.0,43.0,102.0,474.0,533.0,verb.motion,3,subject,The student,14.0,19.0,33.0,male,1.0,secondary
4,1,buy,68,71,499,502,9,12.0,23.0,443.0,454.0,,,,,verb.possession,5,subject,The student,14.0,19.0,33.0,male,1.0,secondary
5,0,had,4,7,538,541,9,1.0,3.0,535.0,537.0,,,,,verb.possession,4,subject,The student,14.0,19.0,33.0,male,1.0,secondary
5,2,came,41,45,575,579,9,38.0,40.0,572.0,574.0,,,,,verb.motion,6,subject,The student,14.0,19.0,33.0,male,1.0,secondary
6,0,obtained,3,11,592,600,9,0.0,2.0,589.0,591.0,,,,,verb.possession,8,subject,The student,14.0,19.0,33.0,male,1.0,secondary
6,1,wished,20,26,609,615,9,12.0,16.0,601.0,605.0,,,,,verb.cognition,7,subject,The student,14.0,19.0,33.0,male,1.0,secondary
6,2,nodded,63,69,652,658,13,37.0,62.0,626.0,651.0,83.0,89.0,672.0,678.0,verb.communication,10,subject,the huckster's wife,1.0,0.0,1.0,female,1.0,tertiary
6,2,nodded,63,69,652,658,5,37.0,62.0,626.0,651.0,83.0,89.0,672.0,678.0,verb.communication,10,subject,the huckster,14.0,4.0,18.0,male,1.0,tertiary
7,3,had,83,86,763,766,15,71.0,74.0,751.0,754.0,,,,,verb.possession,9,subject,The huckster 's wife,3.0,9.0,12.0,female,1.0,tertiary
8,0,nodded,12,18,806,812,9,0.0,11.0,794.0,805.0,,,,,verb.communication,11,subject,The student,14.0,19.0,33.0,male,1.0,secondary
8,1,turned,31,37,825,831,9,28.0,30.0,822.0,824.0,,,,,verb.motion,13,subject,The student,14.0,19.0,33.0,male,1.0,secondary
8,2,leave,41,46,835,840,9,28.0,30.0,822.0,824.0,,,,,verb.motion,14,subject,The student,14.0,19.0,33.0,male,1.0,secondary
8,3,stopped,62,69,856,863,9,0.0,11.0,794.0,805.0,,,,,verb.motion,15,subject,The student,14.0,19.0,33.0,male,1.0,secondary
12,0,gave,3,7,1108,1112,5,1.0,2.0,1106.0,1107.0,,,,,verb.possession,16,subject,the huckster,14.0,4.0,18.0,male,1.0,tertiary
13,1,have,11,15,1165,1169,9,1.0,4.0,1155.0,1158.0,25.0,49.0,1179.0,1203.0,verb.possession,18,subject,The student,14.0,19.0,33.0,male,1.0,secondary
14,1,said,17,21,1223,1227,9,1.0,14.0,1207.0,1220.0,,,,,verb.communication,19,subject,The student,14.0,19.0,33.0,male,1.0,secondary
16,1,eat,7,10,1288,1291,9,1.0,2.0,1282.0,1283.0,31.0,45.0,1312.0,1326.0,verb.consumption,21,subject,The student,14.0,19.0,33.0,male,1.0,secondary
18,1,understand,50,60,1425,1435,9,46.0,49.0,1421.0,1424.0,,,,,verb.cognition,20,subject,The student,14.0,19.0,33.0,male,1.0,secondary
19,1,laughed,96,103,1577,1584,9,62.0,95.0,1543.0,1576.0,,,,,verb.body,23,subject,The student,14.0,19.0,33.0,male,1.0,secondary
19,1,laughed,96,103,1577,1584,5,62.0,95.0,1543.0,1576.0,,,,,verb.body,23,subject,the huckster,14.0,4.0,18.0,male,1.0,tertiary
20,0,felt,21,25,1636,1640,7,0.0,10.0,1615.0,1625.0,,,,,verb.emotion,24,subject,The goblin,16.0,46.0,62.0,male,1.0,primary
20,2,venture,57,64,1672,1679,23,42.0,49.0,1657.0,1664.0,,,,,verb.communication,25,subject,any man,1.0,0.0,1.0,male,1.0,tertiary
20,3,say,68,71,1683,1686,23,42.0,49.0,1657.0,1664.0,,,,,verb.communication,26,subject,any man,1.0,0.0,1.0,male,1.0,tertiary
21,2,stepped,94,101,1855,1862,7,83.0,93.0,1844.0,1854.0,,,,,verb.motion,28,subject,The goblin,16.0,46.0,62.0,male,1.0,primary
21,3,slept,152,157,1913,1918,5,132.0,151.0,1893.0,1912.0,,,,,verb.body,27,subject,the huckster,14.0,4.0,18.0,male,1.0,tertiary
21,3,slept,152,157,1913,1918,15,132.0,151.0,1893.0,1912.0,,,,,verb.body,27,subject,The huckster 's wife,3.0,9.0,12.0,female,1.0,tertiary
21,6,want,218,222,1979,1983,15,185.0,190.0,1946.0,1951.0,,,,,verb.emotion,29,subject,The huckster 's wife,3.0,9.0,12.0,female,1.0,tertiary
22,0,placed,31,37,2016,2022,7,28.0,30.0,2013.0,2015.0,,,,,verb.contact,30,subject,The goblin,16.0,46.0,62.0,male,1.0,primary
22,1,received,68,76,2053,2061,7,0.0,54.0,1985.0,2039.0,,,,,verb.perception,31,subject,The goblin,16.0,46.0,62.0,male,1.0,primary
22,3,express,110,117,2095,2102,7,0.0,54.0,1985.0,2039.0,144.0,183.0,2129.0,2168.0,verb.communication,33,subject,The goblin,16.0,46.0,62.0,male,1.0,primary
24,0,laid,11,15,2316,2320,7,0.0,10.0,2305.0,2315.0,,,,,verb.contact,32,subject,The goblin,16.0,46.0,62.0,male,1.0,primary
25,1,asked,24,29,2414,2419,7,1.0,18.0,2391.0,2408.0,,,,,verb.communication,35,subject,The goblin,16.0,46.0,62.0,male,1.0,primary
25,3,know,48,52,2438,2442,9,37.0,40.0,2427.0,2430.0,,,,,verb.cognition,34,subject,The student,14.0,19.0,33.0,male,1.0,secondary
26,0,know,13,17,2473,2477,7,11.0,12.0,2471.0,2472.0,,,,,verb.cognition,36,subject,The goblin,16.0,46.0,62.0,male,1.0,primary
26,1,replied,20,27,2480,2487,7,1.0,12.0,2461.0,2472.0,,,,,verb.communication,37,subject,The goblin,16.0,46.0,62.0,male,1.0,primary
28,1,venture,10,17,2603,2610,7,4.0,5.0,2597.0,2598.0,,,,,verb.cognition,38,subject,The goblin,16.0,46.0,62.0,male,1.0,primary
