sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
0,1,named,verb.communication,7,2
3,0,loved,verb.emotion,12,7
3,0,loved,verb.emotion,7,7
3,1,thought,verb.cognition,12,13
3,1,thought,verb.cognition,12,12
3,1,thought,verb.cognition,7,13
3,1,thought,verb.cognition,7,12
6,0,made,verb.change,15,15
6,2,meet,verb.social,15,16
6,2,meet,verb.social,15,15
7,0,found,verb.cognition,15,17
7,0,found,verb.cognition,15,15
7,2,took,verb.cognition,15,17
8,1,looking,verb.perception,15,17
8,2,wondering,verb.communication,15,17
8,2,wondering,verb.communication,15,18
8,4,think,verb.cognition,18,17
13,2,saw,verb.perception,25,25
14,4,see,verb.perception,26,26
17,1,said,verb.communication,4,27
17,1,said,verb.communication,27,27
19,1,replied,verb.communication,27,28
29,0,lost,verb.possession,27,27
30,2,threw,verb.contact,27,27
30,3,declaring,verb.communication,27,27
31,1,asked,verb.communication,2,2
31,4,do,verb.social,2,2
32,1,let,verb.social,2,2
32,1,let,verb.social,2,19
32,2,touch,verb.contact,19,2
32,3,pushed,verb.contact,2,19
33,1,leave,verb.cognition,38,19
35,0,asked,verb.communication,40,27
36,1,told,verb.communication,40,27
36,6,lying,verb.contact,27,27
38,0,loved,verb.emotion,40,27
39,0,asked,verb.communication,40,27
39,5,relieve,verb.body,40,27
41,0,know,verb.cognition,27,40
41,0,know,verb.cognition,27,27
43,0,know,verb.cognition,27,5
43,0,know,verb.cognition,27,40
43,2,give,verb.possession,40,5
43,2,give,verb.possession,40,40
44,2,cried,verb.communication,238,27
44,2,cried,verb.communication,40,27
44,2,cried,verb.communication,27,27
46,1,looked,verb.perception,27,40
46,2,thought,verb.cognition,51,27
49,0,remembered,verb.cognition,40,54
49,0,remembered,verb.cognition,40,55
50,0,asked,verb.communication,40,57
50,0,asked,verb.communication,40,40
51,1,said,verb.communication,40,40
54,2,send,verb.motion,40,241
56,4,send,verb.contact,40,243
56,4,send,verb.contact,40,40
58,2,told,verb.communication,40,40
58,2,told,verb.communication,40,27
58,4,taken,verb.body,27,27
59,2,take,verb.cognition,27,38
60,8,recover,verb.body,27,27
61,1,gain,verb.possession,63,63
61,1,gain,verb.possession,63,64
62,1,escape,verb.motion,38,66
62,1,escape,verb.motion,38,38
64,0,sent,verb.motion,40,241
66,1,believing,verb.cognition,76,17
66,1,believing,verb.cognition,76,76
67,2,rose,verb.motion,76,76
69,3,loved,verb.emotion,80,27
72,2,thought,verb.cognition,3,17
72,2,thought,verb.cognition,3,3
74,2,see,verb.perception,27,27
76,0,determined,verb.cognition,88,88
76,1,have,verb.possession,88,88
80,3,had,verb.possession,27,92
81,1,answered,verb.communication,236,90
81,1,answered,verb.communication,248,90
81,1,answered,verb.communication,27,90
83,1,admire,verb.emotion,18,248
85,0,ate,verb.consumption,27,248
88,2,married,verb.social,248,248
88,2,married,verb.social,248,252
89,0,returned,verb.motion,248,252
91,0,knew,verb.cognition,27,96
91,0,knew,verb.cognition,27,27
91,2,deceived,verb.social,96,27
91,2,deceived,verb.social,27,27
92,0,rose,verb.motion,27,27
93,0,hid,verb.perception,27,27
94,0,asked,verb.communication,27,96
94,0,asked,verb.communication,27,100
94,0,asked,verb.communication,27,27
94,7,visit,verb.social,27,100
94,7,visit,verb.social,27,27
95,2,seen,verb.perception,27,100
96,2,think,verb.cognition,40,57
96,2,think,verb.cognition,40,40
100,3,allow,verb.social,27,109
107,0,knew,verb.cognition,27,2
107,0,knew,verb.cognition,27,3
107,5,visit,verb.social,3,2
108,0,felt,verb.cognition,27,2
108,0,felt,verb.cognition,27,96
108,0,felt,verb.cognition,27,27
108,3,given,verb.possession,27,2
108,3,given,verb.possession,27,96
108,3,given,verb.possession,27,27
109,0,hurried,verb.motion,27,116
111,1,see,verb.perception,27,254
111,1,see,verb.perception,27,27
112,0,know,verb.cognition,27,256
112,0,know,verb.cognition,27,27
113,2,kill,verb.contact,256,27
114,0,hateth,verb.emotion,256,27
115,0,worshipped,verb.cognition,116,116
115,0,worshipped,verb.cognition,116,119
117,0,saw,verb.cognition,116,119
117,2,heard,verb.perception,116,119
117,4,shield,verb.competition,116,119
119,1,defend,verb.competition,116,116
119,1,defend,verb.competition,116,119
120,1,have,verb.possession,6,119
120,1,have,verb.possession,119,119
120,4,lock,verb.contact,116,119
121,1,get,verb.change,6,119
124,0,knew,verb.cognition,38,66
124,0,knew,verb.cognition,38,38
124,0,knew,verb.cognition,38,127
125,0,consented,verb.communication,38,128
125,0,consented,verb.communication,38,38
125,1,allowed,verb.social,38,128
125,1,allowed,verb.social,38,38
125,2,lock,verb.contact,128,38
126,3,commanded,verb.communication,3,131
126,3,commanded,verb.communication,3,38
126,3,commanded,verb.communication,3,132
127,0,told,verb.communication,131,38
129,2,tied,verb.contact,137,63
130,1,sent,verb.motion,137,137
130,2,seek,verb.possession,137,140
130,2,seek,verb.possession,137,137
132,1,speak,verb.communication,27,261
132,1,speak,verb.communication,27,27
134,5,said,verb.communication,2,143
134,5,said,verb.communication,143,143
141,1,say,verb.communication,38,38
141,1,say,verb.communication,38,263
143,0,told,verb.communication,38,38
143,0,told,verb.communication,38,149
143,0,told,verb.communication,38,148
143,2,said,verb.communication,38,38
143,4,say,verb.communication,38,38
143,4,say,verb.communication,38,149
144,0,attended,verb.contact,151,38
145,0,knew,verb.cognition,154,157
146,2,taken,verb.body,63,63
147,1,heard,verb.perception,63,3
147,2,told,verb.communication,63,116
148,2,release,verb.contact,63,162
148,2,release,verb.contact,63,63
151,0,knew,verb.cognition,63,38
151,0,knew,verb.cognition,63,3
159,0,asked,verb.communication,167,63
160,4,trust,verb.emotion,167,63
162,1,told,verb.communication,63,167
163,0,saw,verb.perception,167,2
163,2,looking,verb.perception,2,2
165,0,said,verb.communication,167,167
166,1,looked,verb.perception,167,38
171,0,opened,verb.body,2,2
172,2,tell,verb.communication,2,175
174,3,clapped,verb.contact,2,2
174,4,crying,verb.communication,2,63
175,2,know,verb.cognition,2,2
175,2,know,verb.cognition,2,63
175,3,loves,verb.emotion,63,2
178,0,loved,verb.emotion,63,165
180,2,meet,verb.social,162,63
180,2,meet,verb.social,63,63
181,3,bring,verb.creation,162,63
183,1,said,verb.communication,2,162
183,1,said,verb.communication,2,63
183,1,said,verb.communication,63,162
183,1,said,verb.communication,63,63
185,0,find,verb.creation,63,162
187,2,welcome,verb.communication,162,63
188,1,see,verb.perception,63,162
188,1,see,verb.perception,63,63
188,2,threw,verb.contact,63,162
188,2,threw,verb.contact,63,63
189,0,kissed,verb.contact,63,162
190,0,forgot,verb.cognition,63,63
190,0,forgot,verb.cognition,63,187
190,2,followed,verb.motion,63,63
190,2,followed,verb.motion,187,63
190,4,watching,verb.social,63,187
190,4,watching,verb.social,187,187
192,0,knew,verb.cognition,162,2
192,0,knew,verb.cognition,162,162
196,1,answered,verb.communication,63,63
197,2,brought,verb.creation,63,63
201,0,became,verb.change,175,191
204,3,look,verb.perception,3,3
208,1,say,verb.communication,27,234
210,1,given,verb.possession,90,3
210,1,given,verb.possession,90,27
210,3,answered,verb.communication,90,90
210,3,answered,verb.communication,3,90
210,3,answered,verb.communication,27,90
212,1,laughed,verb.communication,3,27
214,1,stabbed,verb.contact,27,3
215,0,heard,verb.perception,27,3
216,2,answered,verb.communication,90,90
219,0,asked,verb.communication,27,96
219,0,asked,verb.communication,27,27
219,5,see,verb.social,27,17
219,5,see,verb.social,27,27
225,0,ran,verb.motion,38,212
225,0,ran,verb.motion,38,38
225,0,ran,verb.motion,38,213
225,0,ran,verb.motion,38,27
228,0,see,verb.perception,38,38
228,0,see,verb.perception,38,254
229,0,know,verb.cognition,38,38
229,0,know,verb.cognition,38,275
230,1,try,verb.social,275,38
230,1,try,verb.social,275,275
230,2,kill,verb.contact,275,38
230,3,tried,verb.social,275,38
230,4,kill,verb.contact,275,38
238,0,saw,verb.perception,3,17
238,0,saw,verb.perception,3,3
238,6,meet,verb.motion,3,3
241,0,brought,verb.contact,3,3
242,5,stepped,verb.motion,175,66
242,5,stepped,verb.motion,175,3
243,1,looking,verb.perception,3,27
245,2,answered,verb.communication,27,27
246,2,noticed,verb.perception,225,27
246,4,allow,verb.communication,27,27
249,1,shut,verb.contact,27,27
250,2,caught,verb.contact,27,27
251,1,made,verb.change,27,227
251,1,made,verb.change,27,27
254,0,buried,verb.contact,227,27
254,2,forgotten,verb.cognition,229,27
