sentence_id,event_id,temporal_rank
0,1,0
2,1,1
3,0,2
4,0,3
6,2,4
8,1,5
7,2,6
11,2,7
13,3,8
14,0,9
15,1,10
17,0,11
19,3,12
22,1,13
21,0,14
23,1,15
24,2,16
25,1,17
27,1,18
26,2,19
28,2,20
29,0,21
30,2,22
31,1,23
32,2,24
35,0,25
33,1,26
38,0,27
36,1,28
39,0,29
40,3,30
41,0,31
43,4,32
42,0,33
44,2,34
46,1,35
45,3,36
47,2,37
49,2,38
48,0,39
50,0,40
52,0,41
51,1,42
54,2,43
55,1,44
56,4,45
57,1,46
59,1,47
58,2,48
61,1,49
60,8,50
62,1,51
64,0,52
65,2,53
66,0,54
67,2,55
72,2,56
69,3,57
68,2,58
74,1,59
75,0,60
76,0,61
77,0,62
78,1,63
80,0,64
81,1,65
84,1,66
83,2,67
88,2,68
85,0,69
89,0,70
90,0,71
91,0,72
93,0,73
92,1,74
95,2,75
94,0,76
96,2,77
97,0,78
98,4,79
99,0,80
100,3,81
102,1,82
101,0,83
103,0,84
104,0,85
105,0,86
107,0,87
108,0,88
109,0,89
111,2,90
110,1,91
112,0,92
114,0,93
113,2,94
115,0,95
117,2,96
118,2,97
119,1,98
120,4,99
124,0,100
121,1,101
125,2,102
127,3,103
126,3,104
129,2,105
130,1,106
131,1,107
132,1,108
133,6,109
134,5,110
135,2,111
136,3,112
138,1,113
139,2,114
140,0,115
141,3,116
143,4,117
144,0,118
146,2,119
145,0,120
147,2,121
149,3,122
148,0,123
151,0,124
152,2,125
156,1,126
153,1,127
157,1,128
158,4,129
159,0,130
160,5,131
162,1,132
161,0,133
164,2,134
163,2,135
165,0,136
166,1,137
167,1,138
169,2,139
168,1,140
170,1,141
171,0,142
172,2,143
175,3,144
174,4,145
176,0,146
178,0,147
177,1,148
180,2,149
181,3,150
182,0,151
183,1,152
186,0,153
185,0,154
187,2,155
188,2,156
189,0,157
190,3,158
191,1,159
192,2,160
197,2,161
196,1,162
201,0,163
202,0,164
204,3,165
206,0,166
207,1,167
208,1,168
209,0,169
210,3,170
214,1,171
212,1,172
215,0,173
216,2,174
217,1,175
218,0,176
219,0,177
222,0,178
220,0,179
223,4,180
225,0,181
227,0,182
228,1,183
229,0,184
233,1,185
230,2,186
238,1,187
236,2,188
239,1,189
241,0,190
240,1,191
242,5,192
244,1,193
243,1,194
245,2,195
246,4,196
247,0,197
250,2,198
249,1,199
251,3,200
254,2,201
