sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
0,1,had,verb.possession,2,3
1,1,called,verb.communication,4,1
1,1,called,verb.communication,3,1
3,1,met,verb.motion,5,9
3,1,met,verb.motion,5,5
3,2,wished,verb.emotion,9,5
3,3,said,verb.communication,5,9
3,3,said,verb.communication,5,5
3,9,have,verb.consumption,9,5
4,0,replied,verb.communication,10,9
4,0,replied,verb.communication,10,10
4,1,give,verb.possession,10,9
4,1,give,verb.possession,10,10
4,3,have,verb.possession,10,10
5,0,go,verb.motion,9,9
7,2,made,verb.social,5,5
7,3,cut,verb.contact,5,5
8,1,gave,verb.possession,14,7
8,1,gave,verb.possession,14,14
8,1,gave,verb.possession,14,17
8,1,gave,verb.possession,7,7
8,1,gave,verb.possession,7,14
8,1,gave,verb.possession,7,17
9,0,met,verb.motion,14,18
9,0,met,verb.motion,14,14
9,1,begged,verb.communication,18,14
10,1,said,verb.communication,14,18
10,1,said,verb.communication,14,14
10,2,give,verb.possession,14,18
10,3,deprive,verb.cognition,14,14
12,0,overtook,verb.emotion,14,14
12,3,cut,verb.contact,14,14
13,0,said,verb.communication,1,1
13,0,said,verb.communication,1,94
14,0,answered,verb.communication,1,1
14,0,answered,verb.communication,1,96
14,0,answered,verb.communication,1,95
14,0,answered,verb.communication,21,1
14,0,answered,verb.communication,21,96
14,0,answered,verb.communication,21,95
14,2,injured,verb.body,1,95
14,2,injured,verb.body,96,95
14,2,injured,verb.body,95,95
17,0,begged,verb.communication,1,1
17,0,begged,verb.communication,1,21
18,1,hurt,verb.body,1,1
19,0,gave,verb.possession,1,1
19,0,gave,verb.possession,7,1
20,1,met,verb.motion,1,1
20,1,met,verb.motion,1,25
20,2,greeted,verb.communication,25,1
20,3,said,verb.communication,25,1
20,3,said,verb.communication,25,25
24,4,said,verb.communication,27,1
24,4,said,verb.communication,27,97
24,4,said,verb.communication,27,27
24,6,bring,verb.motion,27,1
24,9,share,verb.possession,1,1
24,9,share,verb.possession,1,97
29,2,took,verb.contact,1,1
30,0,had,verb.possession,30,32
33,3,take,verb.change,34,34
35,1,touched,verb.contact,36,37
35,1,touched,verb.contact,36,36
38,1,imagine,verb.creation,40,40
39,0,sprang,verb.motion,40,39
40,1,touched,verb.contact,40,40
40,1,touched,verb.contact,40,39
42,0,tucked,verb.contact,1,1
43,2,left,verb.motion,39,39
44,0,met,verb.motion,39,44
44,1,saw,verb.perception,44,45
44,2,cried,verb.communication,44,42
44,2,cried,verb.communication,44,98
47,0,caught,verb.contact,44,46
47,2,draw,verb.contact,46,46
48,0,touched,verb.contact,44,44
48,0,touched,verb.contact,44,46
48,3,run,verb.motion,44,47
48,3,run,verb.motion,44,39
53,1,caught,verb.contact,44,44
53,5,coming,verb.motion,51,51
54,2,begged,verb.communication,44,44
54,2,begged,verb.communication,44,51
54,2,begged,verb.communication,44,48
54,4,rescue,verb.social,51,44
54,4,rescue,verb.social,51,48
55,1,touch,verb.contact,51,51
55,1,touch,verb.contact,51,48
55,4,running,verb.motion,39,1
56,0,came,verb.motion,51,56
58,7,stop,verb.social,60,60
59,3,told,verb.communication,1,1
59,3,told,verb.communication,1,66
59,3,told,verb.communication,59,1
59,3,told,verb.communication,59,66
59,3,told,verb.communication,65,1
59,3,told,verb.communication,65,66
59,5,find,verb.possession,1,66
60,0,bethought,verb.cognition,1,1
60,0,bethought,verb.cognition,1,67
60,3,help,verb.social,1,1
60,3,help,verb.social,67,1
61,3,saw,verb.perception,1,69
62,0,asked,verb.communication,1,69
62,3,answered,verb.communication,70,70
62,5,know,verb.cognition,70,70
62,7,quench,verb.change,70,70
65,0,think,verb.cognition,1,1
65,0,think,verb.cognition,1,70
65,2,help,verb.social,1,70
65,3,said,verb.communication,1,1
65,3,said,verb.communication,70,1
66,2,drink,verb.consumption,70,70
67,0,took,verb.motion,1,70
68,0,asked,verb.communication,1,1
68,0,asked,verb.communication,1,63
68,1,felt,verb.emotion,59,1
68,1,felt,verb.emotion,59,59
68,1,felt,verb.emotion,59,78
68,1,felt,verb.emotion,59,77
68,3,called,verb.communication,77,1
68,3,called,verb.communication,77,59
68,3,called,verb.communication,77,78
68,4,carrying,verb.motion,1,59
68,4,carrying,verb.motion,1,78
69,0,required,verb.communication,59,1
72,0,declare,verb.cognition,80,80
72,3,draw,verb.contact,80,80
73,1,said,verb.communication,1,80
73,7,brought,verb.motion,1,59
73,7,brought,verb.motion,1,80
74,1,given,verb.communication,59,59
77,4,have,verb.possession,80,84
78,1,found,verb.perception,1,1
78,1,found,verb.perception,1,80
78,1,found,verb.perception,1,113
78,3,shared,verb.consumption,1,1
80,0,gave,verb.possession,80,1
80,4,felt,verb.cognition,59,59
80,4,felt,verb.cognition,59,78
80,6,refuse,verb.possession,59,59
80,6,refuse,verb.possession,59,78
