clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Gray Eagle,0,13,31,44,Gray Eagle,male,1.0,primary
Peepi/little Peepi/Brother Peepi,2,9,25,34,Peepi,male,1.0,primary
the family,12,1,17,18,the family,group/nonbinary,1.0,secondary
the family--their elder brother,16,1,13,14,the family's elder brother,male,1.0,secondary
The little Pigeon - Hawk,4,1,8,9,The little Pigeon - Hawk,male,1.0,tertiary
the second brother/The second brother,31,2,6,8,the second brother,male,1.0,tertiary
Gray Eagle--his brothers,39,2,5,7,Gray Eagle's brothers,male,1.0,tertiary
The travelers,23,1,4,5,The travelers,group/nonbinary,1.0,tertiary
Brothers/brothers,75,2,3,5,Brothers,male,1.0,tertiary
the White Owl/White Owl,3,4,0,4,the White Owl,unknown,0.0,tertiary
The young brood,8,1,2,3,The young brood,group/nonbinary,1.0,tertiary
One of the sisters,27,1,2,3,One of the sisters,female,1.0,tertiary
that man,67,1,2,3,that man,male,1.0,tertiary
the Gray Eagle,52,1,1,2,the Gray Eagle,unknown,0.0,tertiary
the other three,21,1,1,2,the other three,group/nonbinary,1.0,tertiary
each other,71,2,0,2,each other,unknown,0.0,tertiary
this pirate,84,1,1,2,this pirate,male,1.0,tertiary
"the three brothers who remained , mounting to the very peak of the tree",25,1,1,2,"the three brothers who remained , mounting to the very peak of the tree",male,1.0,tertiary
the youngest,41,1,1,2,the youngest,unknown,0.0,tertiary
the owl,51,1,0,1,the owl,unknown,0.0,tertiary
the intruder,47,1,0,1,the intruder,unknown,0.0,tertiary
all who are in want or sickness,68,1,0,1,all who are in want or sickness,unknown,0.0,tertiary
The little Pigeon - Hawk--his sister,49,1,0,1,The little Pigeon - Hawk's sister,female,1.0,tertiary
the Master of Life,66,1,0,1,the Master of Life,unknown,0.0,tertiary
the housekeeper,50,1,0,1,the housekeeper,unknown,0.0,tertiary
"the two nest - mates , who had just returned from the South , where they had been wintering",57,1,0,1,"the two nest - mates , who had just returned from the South , where they had been wintering",unknown,0.0,tertiary
the household,26,1,0,1,the household,unknown,0.0,tertiary
the Gray Eagle--my little brother,86,1,0,1,the Gray Eagle's little brother,male,1.0,tertiary
our enemies,87,1,0,1,our enemies,unknown,0.0,tertiary
the tyrant,88,1,0,1,the tyrant,unknown,0.0,tertiary
Spring,5,1,0,1,Spring,unknown,0.0,tertiary
the four brothers,54,1,0,1,the four brothers,male,1.0,tertiary
company,44,1,0,1,company,unknown,0.0,tertiary
a mate,60,1,0,1,a mate,unknown,0.0,tertiary
sisters,55,1,0,1,sisters,female,1.0,tertiary
Gray Eagle--his brother,46,1,0,1,Gray Eagle's brother,male,1.0,tertiary
five of whom were still too young to fly,7,1,0,1,five of whom were still too young to fly,unknown,0.0,tertiary
this greedy bush - ranger,85,1,0,1,this greedy bush - ranger,unknown,0.0,tertiary
the other three--their wounded brother,22,1,0,1,the other three's wounded brother,male,1.0,tertiary
parents,9,1,0,1,parents,unknown,0.0,tertiary
the eldest,10,1,0,1,the eldest,unknown,0.0,tertiary
Gray Eagle--the only one whose feathers had become stout enough to enable him to leave the nest,11,1,0,1,Gray Eagle's only one whose feathers had become stout enough to enable him to leave the nest,unknown,0.0,tertiary
the little household,13,1,0,1,the little household,unknown,0.0,tertiary
the children,15,1,0,1,the children,unknown,0.0,tertiary
a father,77,1,0,1,a father,male,1.0,tertiary
a mother,78,1,0,1,a mother,female,1.0,tertiary
their wounded nest,19,1,0,1,their wounded nest,unknown,0.0,tertiary
the sisters,28,1,0,1,the sisters,female,1.0,tertiary
the villain,83,1,0,1,the villain,unknown,0.0,tertiary
physician,32,1,0,1,physician,unknown,0.0,tertiary
the second brother/The second brother--his patient,34,1,0,1,the second brother's patient,unknown,0.0,tertiary
the house - keeper,35,1,0,1,the house - keeper,unknown,0.0,tertiary
Doctor Falcon,1,1,0,1,Doctor Falcon,unknown,0.0,tertiary
Gray Eagle--his youngest brother,36,1,0,1,Gray Eagle's youngest brother,male,1.0,tertiary
a foolish young fellow,37,1,0,1,a foolish young fellow,unknown,0.0,tertiary
provender,79,1,0,1,provender,unknown,0.0,tertiary
Peepi/little Peepi/Brother Peepi--my brothers,80,1,0,1,Peepi's brothers,male,1.0,tertiary
their wounded elder brother,72,1,0,1,their wounded elder brother,male,1.0,tertiary
