sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
2,2,thought,19,26,233,240,13,4.0,7.0,218.0,221.0,"14,10",27.0,83.0,241.0,297.0,,,,,verb.cognition,1
3,1,sigh,41,45,340,344,"14,10",22.0,32.0,321.0,331.0,14,56.0,64.0,355.0,363.0,65.0,91.0,364.0,390.0,verb.body,1
3,2,shake,50,55,349,354,"14,10",22.0,32.0,321.0,331.0,14,56.0,64.0,355.0,363.0,65.0,91.0,364.0,390.0,verb.body,1
3,3,looked,78,84,377,383,14,74.0,77.0,373.0,376.0,10,85.0,91.0,384.0,390.0,,,,,verb.perception,1
10,0,loved,9,14,760,765,23,0.0,8.0,751.0,759.0,,15.0,33.0,766.0,784.0,35.0,127.0,786.0,878.0,verb.emotion,1
10,2,chasing,35,42,786,793,23,0.0,8.0,751.0,759.0,,43.0,54.0,794.0,805.0,,,,,verb.motion,1
10,3,plucking,59,67,810,818,23,0.0,8.0,751.0,759.0,,68.0,80.0,819.0,831.0,,,,,verb.contact,1
10,4,sitting,98,105,849,856,23,0.0,8.0,751.0,759.0,23,106.0,127.0,857.0,878.0,,,,,verb.contact,1
11,0,saw,19,22,899,902,"14,10",8.0,18.0,888.0,898.0,"26,3,25",23.0,128.0,903.0,1008.0,,,,,verb.perception,1
11,3,getting,107,114,987,994,"14,10",8.0,18.0,888.0,898.0,26,115.0,128.0,995.0,1008.0,,,,,verb.change,1
11,4,sighed,134,140,1014,1020,14,130.0,133.0,1010.0,1013.0,,,,,,,,,,verb.body,1
11,5,said,145,149,1025,1029,14,130.0,133.0,1010.0,1013.0,"159,14,158",151.0,268.0,1031.0,1148.0,,,,,verb.communication,1
11,8,see,236,239,1116,1119,159,231.0,235.0,1111.0,1115.0,158,240.0,268.0,1120.0,1148.0,,,,,verb.perception,1
12,0,laughed,16,23,1167,1174,3,4.0,10.0,1155.0,1161.0,,,,,,,,,,verb.body,1
13,0,grew,19,23,1195,1199,"14,10",8.0,18.0,1184.0,1194.0,,24.0,36.0,1200.0,1212.0,,,,,verb.change,1
13,2,saying,116,122,1292,1298,14,68.0,71.0,1244.0,1247.0,14,133.0,169.0,1309.0,1345.0,,,,,verb.communication,1
13,4,have,140,144,1316,1320,14,133.0,134.0,1309.0,1310.0,,145.0,169.0,1321.0,1345.0,,,,,verb.possession,1
14,1,say,12,15,1359,1362,161,0.0,6.0,1347.0,1353.0,"162,14,158",16.0,68.0,1363.0,1415.0,,,,,verb.communication,1
14,3,comes,50,55,1397,1402,162,41.0,49.0,1388.0,1396.0,,,,,,,,,,verb.motion,1
14,4,seek,59,63,1406,1410,162,41.0,49.0,1388.0,1396.0,158,64.0,68.0,1411.0,1415.0,,,,,verb.social,1
