sentence_id,event_id,temporal_rank
0,1,0
1,0,1
2,0,2
2,2,3
3,1,4
2,3,5
4,3,6
3,2,7
5,0,8
5,2,9
6,1,10
9,2,11
10,0,12
10,4,13
10,1,14
11,1,15
11,3,16
11,2,17
11,4,18
12,4,19
13,1,20
13,2,21
14,1,22
15,0,23
14,3,24
16,0,25
17,1,26
16,2,27
18,0,28
18,1,29
19,1,30
19,4,31
19,2,32
20,0,33
19,5,34
21,0,35
21,2,36
21,4,37
21,3,38
21,5,39
21,6,40
22,3,41
22,4,42
23,0,43
24,7,44
24,4,45
25,0,46
25,1,47
25,2,48
28,1,49
26,1,50
30,2,51
31,1,52
31,2,53
32,0,54
32,3,55
32,5,56
32,6,57
33,0,58
33,1,59
34,1,60
34,0,61
34,4,62
34,2,63
35,3,64
35,1,65
35,6,66
36,1,67
36,3,68
38,0,69
38,4,70
38,1,71
39,0,72
40,0,73
40,1,74
42,0,75
40,3,76
43,0,77
43,1,78
45,1,79
44,1,80
46,1,81
47,0,82
47,2,83
47,3,84
47,4,85
48,0,86
48,1,87
48,2,88
48,3,89
49,1,90
52,0,91
52,1,92
53,0,93
54,0,94
56,1,95
54,1,96
56,3,97
59,2,98
57,2,99
57,1,100
60,1,101
61,0,102
62,1,103
62,3,104
64,0,105
62,5,106
65,1,107
66,1,108
67,2,109
66,4,110
68,0,111
68,4,112
68,1,113
69,2,114
69,0,115
70,3,116
70,2,117
74,2,118
75,0,119
75,1,120
77,4,121
76,1,122
78,0,123
78,2,124
78,1,125
81,0,126
82,0,127
82,1,128
83,0,129
83,1,130
84,3,131
84,5,132
84,7,133
85,0,134
85,1,135
86,0,136
88,0,137
87,1,138
89,1,139
91,0,140
90,1,141
91,1,142
92,0,143
92,1,144
92,3,145
92,2,146
92,4,147
93,4,148
93,3,149
93,2,150
94,0,151
94,1,152
95,0,153
95,2,154
95,1,155
96,1,156
96,0,157
97,1,158
97,0,159
98,1,160
97,2,161
99,1,162
99,2,163
101,0,164
99,3,165
103,0,166
105,0,167
108,0,168
109,1,169
108,3,170
109,3,171
109,2,172
109,5,173
110,1,174
113,0,175
112,2,176
113,3,177
114,4,178
114,5,179
114,6,180
115,0,181
116,1,182
117,0,183
119,1,184
119,0,185
120,1,186
121,0,187
124,3,188
123,1,189
125,1,190
125,0,191
126,1,192
127,1,193
128,0,194
128,1,195
130,3,196
132,5,197
132,4,198
132,2,199
133,0,200
133,1,201
134,0,202
134,2,203
134,3,204
135,0,205
136,1,206
136,2,207
136,4,208
138,3,209
138,4,210
139,0,211
139,1,212
140,0,213
140,1,214
