sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
1,0,had,14,17,98,101,8,0.0,3.0,84.0,87.0,,,,,verb.possession,0,subject,"a sinister old couple , who lived out under the open sky",1.0,3.0,4.0,group/nonbinary,1.0,tertiary
2,0,died,13,17,184,188,11,5.0,12.0,176.0,183.0,,,,,verb.change,1,subject,the man,1.0,1.0,2.0,male,1.0,tertiary
2,1,died,45,49,216,220,11,36.0,44.0,207.0,215.0,,,,,verb.change,2,subject,the man,1.0,1.0,2.0,male,1.0,tertiary
2,1,died,45,49,216,220,12,36.0,44.0,207.0,215.0,,,,,verb.change,2,subject,the man's wife,1.0,0.0,1.0,female,1.0,tertiary
3,2,divided,27,34,254,261,8,4.0,16.0,231.0,243.0,,,,,verb.contact,3,subject,"a sinister old couple , who lived out under the open sky",1.0,3.0,4.0,group/nonbinary,1.0,tertiary
4,0,took,14,18,277,281,14,3.0,13.0,266.0,276.0,,,,,verb.contact,4,subject,the oldest,1.0,0.0,1.0,unknown,0.0,tertiary
4,1,took,52,56,315,319,15,41.0,51.0,304.0,314.0,,,,,verb.social,5,subject,the second,1.0,0.0,1.0,unknown,0.0,tertiary
4,2,had,94,97,357,360,2,81.0,93.0,344.0,356.0,,,,,verb.possession,6,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
5,1,take,10,14,382,386,2,0.0,2.0,372.0,374.0,,,,,verb.contact,7,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
5,3,ask,45,48,417,420,8,32.0,36.0,404.0,408.0,,,,,verb.communication,8,subject,"a sinister old couple , who lived out under the open sky",1.0,3.0,4.0,group/nonbinary,1.0,tertiary
5,4,wanted,64,70,436,442,2,61.0,63.0,433.0,435.0,,,,,verb.emotion,10,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
6,3,loaned,56,62,510,516,3,49.0,51.0,503.0,505.0,,,,,verb.possession,9,subject,Brother Peter,4.0,5.0,9.0,male,1.0,tertiary
6,4,said,72,76,526,530,3,1.0,69.0,455.0,523.0,,,,,verb.communication,12,subject,Brother Peter,4.0,5.0,9.0,male,1.0,tertiary
7,0,gets,14,18,550,554,4,1.0,13.0,537.0,549.0,36.0,68.0,572.0,604.0,verb.change,11,subject,Brother Paul,4.0,6.0,10.0,male,1.0,tertiary
8,1,do,18,20,623,625,2,13.0,14.0,618.0,619.0,,,,,verb.social,14,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
10,0,scratched,7,16,688,697,2,4.0,6.0,685.0,687.0,,,,,verb.contact,13,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
10,1,stroked,29,36,710,717,2,4.0,6.0,685.0,687.0,,,,,verb.contact,15,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
11,3,help,18,22,824,828,2,13.0,14.0,819.0,820.0,27.0,30.0,833.0,836.0,verb.social,17,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
11,8,help,65,69,871,875,2,60.0,61.0,866.0,867.0,74.0,77.0,880.0,883.0,verb.social,16,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
14,1,following,55,64,1071,1080,2,47.0,54.0,1063.0,1070.0,,,,,verb.motion,18,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
15,0,turned,21,27,1102,1108,2,18.0,20.0,1099.0,1101.0,,,,,verb.motion,19,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
15,2,see,52,55,1133,1136,2,18.0,20.0,1099.0,1101.0,,,,,verb.cognition,20,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
18,1,go,15,17,1461,1463,2,4.0,7.0,1450.0,1453.0,,,,,verb.motion,22,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
20,8,polishing,151,160,1714,1723,2,133.0,136.0,1696.0,1699.0,,,,,verb.contact,25,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
21,1,deliver,9,16,1803,1810,23,1.0,2.0,1795.0,1796.0,,,,,verb.communication,27,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
21,2,ask,47,50,1841,1844,23,1.0,2.0,1795.0,1796.0,,,,,verb.communication,29,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
21,4,care,78,82,1872,1876,23,59.0,71.0,1853.0,1865.0,,,,,verb.emotion,28,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
21,4,care,78,82,1872,1876,136,59.0,71.0,1853.0,1865.0,,,,,verb.emotion,28,subject,The cat's lord king,3.0,3.0,6.0,male,1.0,tertiary
21,5,have,86,90,1880,1884,23,59.0,71.0,1853.0,1865.0,,,,,verb.change,30,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
21,5,have,86,90,1880,1884,136,59.0,71.0,1853.0,1865.0,,,,,verb.change,30,subject,The cat's lord king,3.0,3.0,6.0,male,1.0,tertiary
21,7,said,121,125,1915,1919,2,1.0,118.0,1795.0,1912.0,,,,,verb.communication,33,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
21,7,said,121,125,1915,1919,23,1.0,118.0,1795.0,1912.0,,,,,verb.communication,33,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
21,7,said,121,125,1915,1919,136,1.0,118.0,1795.0,1912.0,,,,,verb.communication,33,subject,The cat's lord king,3.0,3.0,6.0,male,1.0,tertiary
22,1,make,14,18,1943,1947,2,5.0,7.0,1934.0,1936.0,62.0,134.0,1991.0,2063.0,verb.cognition,32,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
22,4,visit,110,115,2039,2044,2,78.0,80.0,2007.0,2009.0,,,,,verb.social,31,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
23,2,said,46,50,2111,2115,138,1.0,43.0,2066.0,2108.0,,,,,verb.communication,35,subject,a proud and powerful lord,1.0,0.0,1.0,unknown,0.0,tertiary
23,2,said,46,50,2111,2115,137,1.0,43.0,2066.0,2108.0,,,,,verb.communication,35,subject,This Ebe,3.0,8.0,11.0,male,1.0,tertiary
23,4,make,72,76,2137,2141,137,65.0,67.0,2130.0,2132.0,,,,,verb.creation,34,subject,This Ebe,3.0,8.0,11.0,male,1.0,tertiary
24,1,said,61,65,2222,2226,26,1.0,58.0,2162.0,2219.0,,,,,verb.communication,37,subject,the king,24.0,60.0,84.0,male,1.0,primary
24,1,said,61,65,2222,2226,139,1.0,58.0,2162.0,2219.0,,,,,verb.communication,37,subject,the king's greatest lord in all your land and kingdom,1.0,0.0,1.0,unknown,0.0,tertiary
24,1,said,61,65,2222,2226,137,1.0,58.0,2162.0,2219.0,,,,,verb.communication,37,subject,This Ebe,3.0,8.0,11.0,male,1.0,tertiary
24,2,asked,117,122,2278,2283,26,89.0,107.0,2250.0,2268.0,,,,,verb.communication,36,subject,the king,24.0,60.0,84.0,male,1.0,primary
24,3,learned,127,134,2288,2295,26,124.0,126.0,2285.0,2287.0,,,,,verb.cognition,38,subject,the king,24.0,60.0,84.0,male,1.0,primary
25,2,obliged,25,32,2335,2342,26,15.0,16.0,2325.0,2326.0,,,,,verb.communication,39,subject,the king,24.0,60.0,84.0,male,1.0,primary
25,3,said,35,39,2345,2349,26,1.0,32.0,2311.0,2342.0,,,,,verb.communication,41,subject,the king,24.0,60.0,84.0,male,1.0,primary
25,3,said,35,39,2345,2349,137,1.0,32.0,2311.0,2342.0,,,,,verb.communication,41,subject,This Ebe,3.0,8.0,11.0,male,1.0,tertiary
25,4,sent,57,61,2367,2371,26,54.0,56.0,2364.0,2366.0,,,,,verb.motion,42,subject,the king,24.0,60.0,84.0,male,1.0,primary
26,0,looked,8,14,2424,2430,2,4.0,7.0,2420.0,2423.0,,,,,verb.perception,43,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
26,1,paid,29,33,2445,2449,2,4.0,7.0,2420.0,2423.0,,,,,verb.communication,45,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
27,3,loaned,55,61,2527,2533,3,48.0,50.0,2520.0,2522.0,,,,,verb.possession,44,subject,Brother Peter,4.0,5.0,9.0,male,1.0,tertiary
27,4,gets,87,91,2559,2563,4,74.0,86.0,2546.0,2558.0,109.0,141.0,2581.0,2613.0,verb.possession,46,subject,Brother Paul,4.0,6.0,10.0,male,1.0,tertiary
30,0,scratched,14,23,2710,2719,26,11.0,13.0,2707.0,2709.0,,,,,verb.contact,47,subject,the king,24.0,60.0,84.0,male,1.0,primary
30,1,stroked,37,44,2733,2740,26,11.0,13.0,2707.0,2709.0,,,,,verb.contact,49,subject,the king,24.0,60.0,84.0,male,1.0,primary
30,4,raised,107,113,2803,2809,23,84.0,87.0,2780.0,2783.0,123.0,133.0,2819.0,2829.0,verb.motion,51,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
31,3,help,20,24,2851,2855,23,13.0,14.0,2844.0,2845.0,29.0,32.0,2860.0,2863.0,verb.social,53,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
31,8,help,69,73,2900,2904,23,62.0,63.0,2893.0,2894.0,78.0,81.0,2909.0,2912.0,verb.social,52,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
33,1,see,32,35,3025,3028,26,14.0,16.0,3007.0,3009.0,,,,,verb.perception,56,subject,the king,24.0,60.0,84.0,male,1.0,primary
35,1,gone,14,18,3125,3129,23,6.0,9.0,3117.0,3120.0,,,,,verb.motion,55,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
35,2,came,69,73,3180,3184,23,65.0,68.0,3176.0,3179.0,,,,,verb.motion,57,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
36,0,found,10,15,3220,3225,23,6.0,9.0,3216.0,3219.0,,,,,verb.possession,58,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
37,1,sat,48,51,3299,3302,23,44.0,47.0,3295.0,3298.0,,,,,verb.contact,59,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
38,1,go,15,17,3379,3381,2,4.0,7.0,3368.0,3371.0,,,,,verb.motion,60,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
38,2,want,26,30,3390,3394,23,24.0,25.0,3388.0,3389.0,,,,,verb.emotion,61,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
38,4,scratch,46,53,3410,3417,23,39.0,40.0,3403.0,3404.0,,,,,verb.contact,62,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
38,5,drive,73,78,3437,3442,23,39.0,40.0,3403.0,3404.0,83.0,106.0,3447.0,3470.0,verb.motion,65,subject,The cat,12.0,30.0,42.0,female,1.0,secondary
40,2,do,21,23,3508,3510,36,0.0,7.0,3487.0,3494.0,,,,,verb.social,64,subject,The elk,1.0,0.0,1.0,unknown,0.0,tertiary
40,3,save,33,37,3520,3524,36,0.0,7.0,3487.0,3494.0,,,,,verb.possession,63,subject,The elk,1.0,0.0,1.0,unknown,0.0,tertiary
40,7,stood,160,165,3647,3652,2,133.0,154.0,3620.0,3641.0,183.0,204.0,3670.0,3691.0,verb.contact,66,subject,Ebe,20.0,29.0,49.0,male,1.0,secondary
