sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
11,1,prayed,verb.communication,6,28
11,1,prayed,verb.communication,6,6
12,0,sat,verb.contact,6,6
15,1,closed,verb.contact,6,6
15,2,saw,verb.perception,6,30
16,0,asked,verb.communication,6,6
19,3,said,verb.communication,32,32
19,3,said,verb.communication,32,94
19,3,said,verb.communication,32,6
19,6,visit,verb.social,32,6
19,6,visit,verb.social,94,6
21,0,beheld,verb.perception,6,6
22,0,saw,verb.perception,6,34
22,0,saw,verb.perception,6,33
24,1,raised,verb.motion,35,35
25,1,meet,verb.social,6,35
25,2,invited,verb.communication,6,35
28,1,staring,verb.perception,41,35
29,1,said,verb.communication,41,41
30,6,encourages,verb.communication,41,35
30,6,encourages,verb.communication,41,41
30,7,ask,verb.communication,41,35
31,1,know,verb.cognition,41,35
31,1,know,verb.cognition,41,41
31,2,wish,verb.emotion,35,41
31,3,save,verb.social,35,41
32,3,answered,verb.communication,6,6
33,1,help,verb.social,41,35
33,4,place,verb.contact,41,41
34,0,said,verb.communication,41,96
34,0,said,verb.communication,41,41
35,1,excited,verb.emotion,96,98
36,0,destroyed,verb.contact,99,96
36,0,destroyed,verb.contact,99,100
36,0,destroyed,verb.contact,7,96
36,0,destroyed,verb.contact,7,100
37,2,hide,verb.perception,41,101
37,2,hide,verb.perception,101,101
39,1,wished,verb.emotion,7,105
39,1,wished,verb.emotion,7,96
39,3,destroy,verb.contact,7,105
39,3,destroy,verb.contact,7,96
40,2,sent,verb.motion,9,106
40,2,sent,verb.motion,107,106
45,2,wedded,verb.social,41,113
45,2,wedded,verb.social,41,10
47,2,returned,verb.motion,41,116
47,2,returned,verb.motion,41,41
48,0,wished,verb.emotion,41,41
48,0,wished,verb.emotion,109,41
49,1,promised,verb.communication,41,118
49,1,promised,verb.communication,41,41
49,2,remain,verb.change,41,118
49,2,remain,verb.change,41,41
49,3,made,verb.social,41,41
49,3,made,verb.social,41,109
49,4,comply,verb.social,41,41
49,4,comply,verb.social,41,109
50,2,obliged,verb.communication,41,116
52,3,seeking,verb.social,122,124
52,3,seeking,verb.social,122,122
52,5,try,verb.social,124,41
52,5,try,verb.social,122,41
52,5,try,verb.social,123,41
52,6,force,verb.social,124,41
52,6,force,verb.social,122,41
52,6,force,verb.social,123,41
54,0,knew,verb.cognition,5,5
54,0,knew,verb.cognition,5,41
54,0,knew,verb.cognition,5,109
56,1,wanted,verb.emotion,5,41
56,1,wanted,verb.emotion,127,41
56,2,carry,verb.contact,5,41
56,2,carry,verb.contact,127,41
57,0,encountered,verb.motion,41,129
57,0,encountered,verb.motion,41,5
58,4,attempt,verb.social,5,41
58,5,drag,verb.contact,5,41
59,2,beg,verb.communication,41,133
59,2,beg,verb.communication,41,41
59,2,beg,verb.communication,41,109
59,3,lend,verb.possession,109,133
59,3,lend,verb.possession,109,41
59,3,lend,verb.possession,109,109
60,1,help,verb.social,109,41
61,0,answered,verb.communication,6,135
61,0,answered,verb.communication,6,109
62,5,compelled,verb.communication,109,137
64,2,came,verb.motion,138,6
68,2,thanked,verb.communication,44,6
69,1,sighed,verb.body,6,6
72,3,glimpse,verb.perception,6,48
74,0,said,verb.communication,49,44
74,0,said,verb.communication,49,49
74,0,said,verb.communication,49,144
77,2,send,verb.motion,6,6
79,2,see,verb.communication,50,51
79,2,see,verb.communication,50,6
79,2,see,verb.communication,6,51
79,2,see,verb.communication,6,6
81,0,appointed,verb.communication,6,11
81,0,appointed,verb.communication,6,51
81,0,appointed,verb.communication,6,56
81,0,appointed,verb.communication,6,55
81,0,appointed,verb.communication,6,6
81,1,wrote,verb.creation,6,6
84,1,came,verb.motion,60,60
85,1,questioned,verb.communication,60,60
85,1,questioned,verb.communication,60,149
85,1,questioned,verb.communication,60,151
85,1,questioned,verb.communication,60,152
85,2,replied,verb.communication,60,60
85,2,replied,verb.communication,60,149
85,2,replied,verb.communication,60,151
85,2,replied,verb.communication,60,152
85,3,saw,verb.perception,60,60
85,3,saw,verb.perception,60,149
85,3,saw,verb.perception,60,151
85,3,saw,verb.perception,60,152
85,5,approached,verb.motion,149,60
85,6,said,verb.communication,149,60
85,6,said,verb.communication,149,151
85,6,said,verb.communication,149,152
85,9,given,verb.possession,60,151
85,9,given,verb.possession,152,151
86,3,asked,verb.communication,151,60
86,4,call,verb.communication,60,60
87,0,followed,verb.motion,60,60
88,2,said,verb.communication,44,11
88,2,said,verb.communication,44,156
88,2,said,verb.communication,44,152
88,2,said,verb.communication,44,56
88,2,said,verb.communication,44,60
88,2,said,verb.communication,60,11
88,2,said,verb.communication,60,156
88,2,said,verb.communication,60,152
88,2,said,verb.communication,60,56
88,2,said,verb.communication,60,60
88,3,thank,verb.communication,60,156
88,3,thank,verb.communication,60,60
88,3,thank,verb.communication,60,152
89,2,beaten,verb.competition,11,156
90,3,beg,verb.communication,60,161
90,3,beg,verb.communication,60,60
90,3,beg,verb.communication,60,152
90,4,send,verb.motion,152,161
90,4,send,verb.motion,152,60
93,1,heard,verb.perception,6,6
93,6,thought,verb.cognition,6,6
94,0,chose,verb.cognition,6,11
94,0,chose,verb.cognition,6,61
94,0,chose,verb.cognition,6,12
94,0,chose,verb.cognition,6,6
94,1,take,verb.social,61,11
94,1,take,verb.social,6,11
97,2,bring,verb.contact,66,6
98,0,informed,verb.communication,37,64
98,0,informed,verb.communication,37,6
104,0,began,verb.change,71,71
104,1,breathe,verb.body,71,71
104,2,came,verb.motion,71,71
104,2,came,verb.motion,72,71
105,0,questioned,verb.communication,72,71
105,1,told,verb.communication,71,162
