sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
4,1,erected,32.0,39.0,299.0,306.0,18,0.0,26.0,267.0,293.0,,40.0,48.0,307.0,315.0,49.0,78.0,316.0,345.0,verb.creation,1,True
6,2,named,74.0,79.0,492.0,497.0,,47.0,59.0,465.0,477.0,5,80.0,88.0,498.0,506.0,,,,,verb.communication,1,True
11,4,pardoned,91.0,99.0,1091.0,1099.0,"28,6",71.0,81.0,1071.0,1081.0,,,,,,,,,,verb.social,1,True
12,0,sat,39.0,42.0,1140.0,1143.0,6,36.0,38.0,1137.0,1139.0,6,43.0,66.0,1144.0,1167.0,,,,,verb.contact,1,True
13,0,felt,17.0,21.0,1203.0,1207.0,6,14.0,16.0,1200.0,1202.0,,22.0,44.0,1208.0,1230.0,,,,,verb.body,1,True
15,2,saw,41.0,44.0,1324.0,1327.0,6,38.0,40.0,1321.0,1323.0,30,45.0,74.0,1328.0,1357.0,,,,,verb.perception,1,True
16,0,asked,11.0,16.0,1505.0,1510.0,6,0.0,10.0,1494.0,1504.0,6,17.0,20.0,1511.0,1514.0,,,,,verb.communication,1,True
18,2,performing,43.0,53.0,1614.0,1624.0,6,23.0,24.0,1594.0,1595.0,,54.0,63.0,1625.0,1634.0,64.0,78.0,1635.0,1649.0,verb.creation,1,True
19,1,came,36.0,40.0,1688.0,1692.0,32,10.0,35.0,1662.0,1687.0,,44.0,53.0,1696.0,1705.0,,,,,verb.motion,1,True
20,0,rose,11.0,15.0,1783.0,1787.0,6,0.0,10.0,1772.0,1782.0,,,,,,,,,,verb.motion,1,True
21,0,beheld,3.0,9.0,1792.0,1798.0,6,0.0,2.0,1789.0,1791.0,6,10.0,90.0,1799.0,1879.0,,,,,verb.perception,1,True
22,0,saw,12.0,15.0,1893.0,1896.0,6,9.0,11.0,1890.0,1892.0,"34,33",16.0,135.0,1897.0,2016.0,,,,,verb.perception,1,True
24,0,entered,16.0,23.0,2135.0,2142.0,37,5.0,15.0,2124.0,2134.0,,24.0,32.0,2143.0,2151.0,,,,,verb.motion,1,True
25,2,invited,40.0,47.0,2225.0,2232.0,6,0.0,10.0,2185.0,2195.0,35,48.0,51.0,2233.0,2236.0,,,,,verb.communication,1,True
27,2,entertained,41.0,52.0,2397.0,2408.0,6,0.0,10.0,2356.0,2366.0,,53.0,61.0,2409.0,2417.0,62.0,86.0,2418.0,2442.0,verb.emotion,1,True
28,0,sat,16.0,19.0,2460.0,2463.0,41,4.0,15.0,2448.0,2459.0,,,,,,,,,,verb.contact,1,True
29,1,said,18.0,22.0,2560.0,2564.0,41,5.0,8.0,2547.0,2550.0,41,38.0,92.0,2580.0,2634.0,,,,,verb.communication,1,True
30,4,pass,46.0,50.0,2682.0,2686.0,41,40.0,42.0,2676.0,2678.0,,51.0,80.0,2687.0,2716.0,,,,,verb.communication,1,True
31,2,wish,30.0,34.0,2789.0,2793.0,35,26.0,29.0,2785.0,2788.0,41,35.0,45.0,2794.0,2804.0,,,,,verb.emotion,1,True
32,3,answered,35.0,43.0,2842.0,2850.0,6,1.0,32.0,2808.0,2839.0,6,44.0,54.0,2851.0,2861.0,,,,,verb.communication,1,True
33,4,place,38.0,43.0,2901.0,2906.0,41,20.0,21.0,2883.0,2884.0,41,44.0,50.0,2907.0,2913.0,51.0,67.0,2914.0,2930.0,verb.contact,1,True
34,0,said,12.0,16.0,2945.0,2949.0,41,0.0,11.0,2933.0,2944.0,"96,41",19.0,98.0,2952.0,3031.0,,,,,verb.communication,1,True
35,1,excited,46.0,53.0,3079.0,3086.0,96,32.0,45.0,3065.0,3078.0,98,54.0,73.0,3087.0,3106.0,,,,,verb.emotion,1,True
36,0,destroyed,29.0,38.0,3137.0,3146.0,"99,7",0.0,21.0,3108.0,3129.0,"96,100",39.0,54.0,3147.0,3162.0,55.0,62.0,3163.0,3170.0,verb.contact,1,True
37,2,hide,28.0,32.0,3200.0,3204.0,"41,101",0.0,12.0,3172.0,3184.0,101,33.0,43.0,3205.0,3215.0,,,,,verb.perception,1,True
38,0,wanted,42.0,48.0,3259.0,3265.0,"102,96,7",18.0,41.0,3235.0,3258.0,,49.0,113.0,3266.0,3330.0,,,,,verb.emotion,1,True
