coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
1,a good old man who had a wen like a tennis - ball growing out of his right cheek,a good old man who had a wen like a tennis-ball growing out of his right cheek,0,33,111,0
1,a good old man who had a wen like a tennis - ball growing out of his right cheek,his,0,96,99,1
2,the old man,you,64,6,9,0
2,the old man,your,64,36,40,0
2,the old man,you,65,10,13,0
2,the old man,the old man,65,26,37,0
2,the old man,he,66,28,30,0
2,the old man,he,68,78,80,0
2,the old man,him,68,132,135,0
2,the old man,his,68,139,142,0
2,the old man,the old man,69,6,17,0
2,the old man,his,69,31,34,0
2,the old man,his,108,40,43,0
2,the old man,him,107,214,217,1
2,the old man,the old man,71,31,42,0
2,the old man,he,71,62,64,0
2,the old man,the old man,73,83,94,0
2,the old man,The old man,75,0,11,0
2,the old man,He,76,0,2,0
2,the old man,he,76,35,37,0
2,the old man,he,77,5,7,0
2,the old man,him,77,48,51,0
2,the old man,he,77,53,55,0
2,the old man,his,77,95,98,0
2,the old man,the old man,63,30,41,0
2,the old man,I,63,12,13,0
2,the old man,him,60,20,23,0
2,the old man,him,77,144,147,0
2,the old man,he,46,17,19,0
2,the old man,himself,46,35,42,0
2,the old man,The old man,47,0,11,0
2,the old man,his,47,28,31,0
2,the old man,he,47,66,68,0
2,the old man,his,47,117,120,0
2,the old man,the old man,53,5,16,0
2,the old man,his,53,30,33,0
2,the old man,you,53,68,71,0
2,the old man,your,53,86,90,0
2,the old man,you,61,11,14,0
2,the old man,him,54,92,95,0
2,the old man,him,55,20,23,0
2,the old man,I,55,38,39,0
2,the old man,your,55,74,78,1
2,the old man,I,56,0,1,0
2,the old man,I,56,7,8,0
2,the old man,your,56,29,33,0
2,the old man,his,107,44,47,0
2,the old man,You,58,1,4,0
2,the old man,Your,59,0,4,0
2,the old man,The old man,60,0,11,0
2,the old man,The old man,55,0,11,0
2,the old man,himself,77,196,203,0
2,the old man,his,78,10,13,0
2,the old man,his,45,42,45,0
2,the old man,the old man,94,104,115,0
2,the old man,he,94,127,129,0
2,the old man,he,95,12,14,0
2,the old man,you,97,5,8,0
2,the old man,you,98,7,10,0
2,the old man,you,98,23,26,0
2,the old man,The old man,99,0,11,0
2,the old man,his,99,36,39,0
2,the old man,he,100,4,6,0
2,the old man,He,101,0,2,0
2,the old man,him,88,159,162,0
2,the old man,he,101,53,55,0
2,the old man,his,101,104,107,0
2,the old man,he,101,135,137,0
2,the old man,he,101,156,158,0
2,the old man,he,102,91,93,0
2,the old man,the old man,103,8,19,0
2,the old man,Your,103,43,47,0
2,the old man,you,105,13,16,0
2,the old man,you,105,33,36,0
2,the old man,You,106,0,3,0
2,the old man,he,107,17,19,0
2,the old man,his,101,82,85,0
2,the old man,He,78,0,2,0
2,the old man,his,88,140,143,1
2,the old man,his,88,89,92,0
2,the old man,his,78,64,67,0
2,the old man,his,78,97,100,0
2,the old man,The old man,80,0,11,0
2,the old man,He,81,0,2,0
2,the old man,his,81,10,13,0
2,the old man,his,81,62,65,0
2,the old man,He,82,0,2,0
2,the old man,he,82,21,23,0
2,the old man,he,82,61,63,0
2,the old man,He,83,0,2,0
2,the old man,he,88,102,104,0
2,the old man,his,83,9,12,1
2,the old man,He,84,0,2,0
2,the old man,he,84,43,45,0
2,the old man,he,85,43,45,0
2,the old man,his,85,97,100,0
2,the old man,his,85,150,153,0
2,the old man,He,87,0,2,0
2,the old man,his,87,70,73,0
2,the old man,he,87,90,92,0
2,the old man,He,88,0,2,0
2,the old man,his,88,42,45,1
2,the old man,him,83,68,71,0
2,the old man,His,45,0,3,0
2,the old man,my,56,52,54,0
2,the old man,he,107,69,71,0
2,the old man,The old man,18,0,11,0
2,the old man,he,16,16,18,0
2,the old man,the old man,29,5,16,0
2,the old man,himself,29,20,27,0
2,the old man,I,30,1,2,0
2,the old man,He,16,0,2,0
2,the old man,the old man,31,16,27,0
2,the old man,himself,15,129,136,0
2,the old man,the old man,15,96,107,0
2,the old man,the old man,14,12,23,0
2,the old man,he,13,80,82,0
2,the old man,he,13,33,35,0
2,the old man,he,12,8,10,0
2,the old man,he,24,37,39,0
2,the old man,the old man,33,8,19,0
2,the old man,He,11,0,2,0
2,the old man,the old man,35,8,19,0
2,the old man,he,18,35,37,0
2,the old man,himself,35,23,30,0
2,the old man,he,18,80,82,0
2,the old man,his,18,236,239,0
2,the old man,he,24,49,51,0
2,the old man,his,24,57,60,0
2,the old man,his,21,36,39,0
2,the old man,him,25,16,19,0
2,the old man,he,21,9,11,0
2,the old man,his,20,69,72,1
2,the old man,his,20,43,46,0
2,the old man,he,19,66,68,0
2,the old man,him,19,57,60,0
2,the old man,him,25,43,46,0
2,the old man,his,19,24,27,1
2,the old man,he,26,3,5,0
2,the old man,himself,26,13,20,0
2,the old man,he,27,6,8,0
2,the old man,he,27,58,60,0
2,the old man,He,19,0,2,0
2,the old man,he,27,88,90,0
2,the old man,his,18,110,113,0
2,the old man,his,10,32,35,0
2,the old man,The old man,24,0,11,0
