sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
2,0,had,verb.possession,9,10
3,2,grew,verb.change,13,11
4,4,have,verb.possession,13,14
4,5,thought,verb.cognition,13,13
4,5,thought,verb.cognition,13,16
5,0,said,verb.communication,17,13
7,2,came,verb.change,21,14
9,1,named,verb.communication,28,1
9,3,named,verb.communication,29,2
10,0,thought,verb.cognition,1,32
10,0,thought,verb.cognition,1,27
10,0,thought,verb.cognition,2,32
10,0,thought,verb.cognition,2,27
12,0,thought,verb.cognition,34,33
13,1,said,verb.communication,1,17
13,1,said,verb.communication,1,37
13,1,said,verb.communication,1,38
13,1,said,verb.communication,1,1
13,4,have,verb.perception,1,17
14,3,befool,verb.social,40,17
22,1,like,verb.emotion,1,17
22,2,have,verb.consumption,1,17
24,1,have,verb.perception,1,1
33,3,have,verb.consumption,2,14
33,4,said,verb.communication,2,2
33,4,said,verb.communication,14,2
36,2,brought,verb.motion,2,17
40,1,said,verb.communication,183,1
40,1,said,verb.communication,183,183
40,3,have,verb.possession,1,183
44,3,have,verb.consumption,3,184
44,4,said,verb.communication,3,3
44,4,said,verb.communication,184,3
47,0,go,verb.motion,3,60
47,0,go,verb.motion,3,3
52,3,have,verb.possession,3,61
53,1,begged,verb.communication,3,3
53,3,let,verb.social,39,3
53,3,let,verb.social,3,3
53,4,go,verb.motion,3,3
54,0,asked,verb.communication,3,3
58,0,said,verb.communication,185,3
59,0,said,verb.communication,186,66
63,1,give,verb.possession,3,186
63,4,stand,verb.contact,186,17
63,7,said,verb.communication,17,3
63,7,said,verb.communication,186,3
63,7,said,verb.communication,3,3
66,1,came,verb.motion,67,17
66,1,came,verb.motion,3,17
70,2,made,verb.communication,3,17
71,0,saw,verb.perception,3,17
76,1,wants,verb.emotion,189,3
76,2,buy,verb.possession,189,3
85,1,like,verb.emotion,3,194
85,1,like,verb.emotion,3,3
85,2,see,verb.perception,3,194
85,2,see,verb.perception,3,3
85,3,fool,verb.social,3,194
86,1,fool,verb.social,3,195
89,0,put,verb.contact,3,3
91,1,spoken,verb.communication,3,67
91,3,began,verb.change,67,67
91,4,breaking,verb.contact,67,67
91,5,smashing,verb.contact,67,67
92,2,paid,verb.possession,3,67
94,2,buy,verb.possession,3,196
94,4,fool,verb.social,196,14
95,0,began,verb.change,17,17
95,0,began,verb.change,17,3
95,1,talking,verb.communication,17,3
96,1,sell,verb.possession,3,17
102,0,supposed,verb.cognition,3,3
104,0,gave,verb.possession,17,3
104,1,gave,verb.possession,3,17
106,0,began,verb.change,17,86
106,0,began,verb.change,17,3
106,1,see,verb.cognition,17,86
106,1,see,verb.cognition,17,3
109,3,marry,verb.social,3,14
110,1,hawed,verb.body,17,17
110,2,scratched,verb.body,17,17
112,1,befooled,verb.communication,3,17
113,1,give,verb.possession,17,3
115,1,think,verb.cognition,3,93
115,1,think,verb.cognition,3,3
115,3,fool,verb.social,3,93
119,1,befool,verb.communication,3,93
119,4,have,verb.possession,3,14
120,3,have,verb.possession,3,3
121,1,thought,verb.cognition,17,17
121,1,thought,verb.cognition,17,3
121,3,rid,verb.possession,17,3
122,2,like,verb.emotion,93,103
123,2,armed,verb.competition,93,105
123,2,armed,verb.competition,93,93
123,2,armed,verb.competition,93,106
123,4,give,verb.possession,93,3
128,0,put,verb.contact,3,3
134,2,told,verb.communication,115,93
134,2,told,verb.communication,115,118
134,2,told,verb.communication,115,3
135,0,went,verb.motion,119,119
145,1,learned,verb.cognition,3,17
145,1,learned,verb.cognition,3,122
145,1,learned,verb.cognition,3,124
145,1,learned,verb.cognition,3,125
147,1,learned,verb.cognition,93,93
147,1,learned,verb.cognition,93,200
147,3,get,verb.change,93,200
152,1,tell,verb.communication,128,93
152,1,tell,verb.communication,128,130
152,4,give,verb.possession,93,132
155,1,give,verb.possession,119,3
158,1,give,verb.possession,119,3
158,5,learn,verb.cognition,3,3
159,1,paid,verb.possession,119,119
161,0,flung,verb.contact,3,3
161,0,flung,verb.contact,3,137
161,4,see,verb.cognition,140,119
161,6,going,verb.social,119,119
162,0,came,verb.motion,3,17
162,1,laid,verb.contact,3,119
163,0,saw,verb.perception,17,3
163,1,bit,verb.contact,17,17
164,2,fooled,verb.social,3,119
168,1,left,verb.cognition,3,119
170,3,saw,verb.cognition,17,119
170,6,brought,verb.contact,119,119
171,1,marry,verb.social,3,14
173,1,marry,verb.social,3,14
178,3,have,verb.possession,3,14
178,6,pick,verb.contact,3,14
179,1,think,verb.cognition,3,3
184,1,understand,verb.cognition,3,3
185,1,thought,verb.cognition,17,17
185,1,thought,verb.cognition,17,3
185,3,rid,verb.possession,17,3
185,5,seen,verb.perception,17,14
185,7,pick,verb.cognition,17,161
185,7,pick,verb.cognition,17,14
189,2,taking,verb.possession,3,3
191,0,saw,verb.perception,17,17
191,0,saw,verb.perception,17,3
191,1,coming,verb.motion,3,17
196,2,like,verb.emotion,3,14
196,4,find,verb.possession,3,14
198,2,known,verb.cognition,3,14
198,5,told,verb.communication,3,14
200,0,knew,verb.cognition,171,3
202,0,looked,verb.perception,172,172
203,6,fanning,verb.body,61,14
203,7,slapping,verb.contact,61,14
203,8,chafing,verb.contact,61,14
204,1,said,verb.communication,14,3
206,2,set,verb.cognition,17,3
206,4,let,verb.social,17,17
206,4,let,verb.social,17,14
206,4,let,verb.social,17,3
206,5,marry,verb.social,3,14
