sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"Caro lives in the dog house, Bravo in the stable, Putte with the stableman, Murre a little here and a little there, and Kuckeliku lives in the hen house, that is his kingdom. ",lives,BEFORE,"He cannot read yet, but he can do many other things. ",read,8,10,1,1
"He cannot read yet, but he can do many other things. ",read,BEFORE,"He cannot read yet, but he can do many other things. ",do,10,10,1,3
"He cannot read yet, but he can do many other things. ",do,BEFORE,"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",turn,10,11,3,1
"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",turn,AFTER,"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",stand,11,11,1,2
"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",stand,AFTER,"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",ride,11,11,2,3
"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",ride,BEFORE,"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",throw,11,11,3,4
"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",throw,AFTER,"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",play,11,11,4,5
"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",play,BEFORE,"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",eat,11,11,5,6
"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",eat,BEFORE,"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",drink,11,11,6,7
"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",drink,BEFORE,"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",tear,11,11,7,8
"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",tear,BEFORE,"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",wear,11,12,8,1
"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",wear,BEFORE,"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",break,12,12,1,2
"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",break,BEFORE,"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",throw,12,12,2,3
"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",throw,BEFORE,"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",draw,12,12,3,4
"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",draw,BEFORE,"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",walk,12,12,4,5
"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",walk,BEFORE,"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",eat,12,12,5,6
"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",eat,AFTER,"For the rest he has a good heart but a bad memory, and forgets his father's and his mother's admonitions. ",has,12,13,6,0
"For the rest he has a good heart but a bad memory, and forgets his father's and his mother's admonitions. ",has,BEFORE,"For the rest he has a good heart but a bad memory, and forgets his father's and his mother's admonitions. ",forgets,13,13,0,1
"For the rest he has a good heart but a bad memory, and forgets his father's and his mother's admonitions. ",forgets,BEFORE,"He so often gets into trouble and meets with adventures, as you shall hear, but first of all I must tell you how brave he was and how he hunted wolves. ",meets,13,14,1,1
"He so often gets into trouble and meets with adventures, as you shall hear, but first of all I must tell you how brave he was and how he hunted wolves. ",meets,BEFORE,"He so often gets into trouble and meets with adventures, as you shall hear, but first of all I must tell you how brave he was and how he hunted wolves. ",tell,14,14,1,5
"He so often gets into trouble and meets with adventures, as you shall hear, but first of all I must tell you how brave he was and how he hunted wolves. ",tell,AFTER,"He so often gets into trouble and meets with adventures, as you shall hear, but first of all I must tell you how brave he was and how he hunted wolves. ",hunted,14,14,5,7
"He so often gets into trouble and meets with adventures, as you shall hear, but first of all I must tell you how brave he was and how he hunted wolves. ",hunted,BEFORE,"Once in the spring, a little before Midsummer, Walter heard that there were a great many wolves in the wood, and that pleased him. ",heard,14,15,7,0
"Once in the spring, a little before Midsummer, Walter heard that there were a great many wolves in the wood, and that pleased him. ",heard,BEFORE,"Once in the spring, a little before Midsummer, Walter heard that there were a great many wolves in the wood, and that pleased him. ",pleased,15,15,0,2
"Once in the spring, a little before Midsummer, Walter heard that there were a great many wolves in the wood, and that pleased him. ",pleased,AFTER,"He was wonderfully brave when he was in the midst of his companions or at home with his brothers and sister, then he used often to say 'One wolf is nothing, there ought to be at least four.' ",used,15,16,2,2
"He was wonderfully brave when he was in the midst of his companions or at home with his brothers and sister, then he used often to say 'One wolf is nothing, there ought to be at least four.' ",used,BEFORE,"He was wonderfully brave when he was in the midst of his companions or at home with his brothers and sister, then he used often to say 'One wolf is nothing, there ought to be at least four.' ",say,16,16,2,3
"He was wonderfully brave when he was in the midst of his companions or at home with his brothers and sister, then he used often to say 'One wolf is nothing, there ought to be at least four.' ",say,BEFORE,"When he wrestled with Klas Bogenstrom or Frithiof Waderfelt and struck them in the back, he would say 'That is what I shall do to a wolf!' ",wrestled,16,17,3,0
"When he wrestled with Klas Bogenstrom or Frithiof Waderfelt and struck them in the back, he would say 'That is what I shall do to a wolf!' ",wrestled,BEFORE,"When he wrestled with Klas Bogenstrom or Frithiof Waderfelt and struck them in the back, he would say 'That is what I shall do to a wolf!' ",struck,17,17,0,1
"When he wrestled with Klas Bogenstrom or Frithiof Waderfelt and struck them in the back, he would say 'That is what I shall do to a wolf!' ",struck,BEFORE,"When he wrestled with Klas Bogenstrom or Frithiof Waderfelt and struck them in the back, he would say 'That is what I shall do to a wolf!' ",say,17,17,1,3
"When he wrestled with Klas Bogenstrom or Frithiof Waderfelt and struck them in the back, he would say 'That is what I shall do to a wolf!' ",say,BEFORE,"When he wrestled with Klas Bogenstrom or Frithiof Waderfelt and struck them in the back, he would say 'That is what I shall do to a wolf!' ",do,17,17,3,6
"When he wrestled with Klas Bogenstrom or Frithiof Waderfelt and struck them in the back, he would say 'That is what I shall do to a wolf!' ",do,AFTER,When he shot arrows at Jonas and they rattled against his sheepskin coat he would say: 'That is how I should shoot you if you were a wolf!' ,shot,17,18,6,0
When he shot arrows at Jonas and they rattled against his sheepskin coat he would say: 'That is how I should shoot you if you were a wolf!' ,shot,BEFORE,When he shot arrows at Jonas and they rattled against his sheepskin coat he would say: 'That is how I should shoot you if you were a wolf!' ,rattled,18,18,0,1
When he shot arrows at Jonas and they rattled against his sheepskin coat he would say: 'That is how I should shoot you if you were a wolf!' ,rattled,BEFORE,When he shot arrows at Jonas and they rattled against his sheepskin coat he would say: 'That is how I should shoot you if you were a wolf!' ,say,18,18,1,3
When he shot arrows at Jonas and they rattled against his sheepskin coat he would say: 'That is how I should shoot you if you were a wolf!' ,say,AFTER,When he shot arrows at Jonas and they rattled against his sheepskin coat he would say: 'That is how I should shoot you if you were a wolf!' ,shoot,18,18,3,6
When he shot arrows at Jonas and they rattled against his sheepskin coat he would say: 'That is how I should shoot you if you were a wolf!' ,shoot,BEFORE,"Indeed, some thought that the brave boy boasted a little. ",thought,18,19,6,0
"Indeed, some thought that the brave boy boasted a little. ",thought,AFTER,"Indeed, some thought that the brave boy boasted a little. ",boasted,19,19,0,1
"Indeed, some thought that the brave boy boasted a little. ",boasted,BEFORE,One must indeed believe him since he said so himself. ,believe,19,20,1,1
One must indeed believe him since he said so himself. ,believe,AFTER,One must indeed believe him since he said so himself. ,said,20,20,1,2
One must indeed believe him since he said so himself. ,said,BEFORE,"So Jonas and Lena used to say of him 'Look, there goes Walter, who shoots the wolves.' ",say,20,21,2,1
"So Jonas and Lena used to say of him 'Look, there goes Walter, who shoots the wolves.' ",say,AFTER,"So Jonas and Lena used to say of him 'Look, there goes Walter, who shoots the wolves.' ",shoots,21,21,1,4
"So Jonas and Lena used to say of him 'Look, there goes Walter, who shoots the wolves.' ",shoots,BEFORE,"And other boys and girls would say 'Look, there goes brave Walter, who is brave enough to fight with four.' ",say,21,22,4,1
"And other boys and girls would say 'Look, there goes brave Walter, who is brave enough to fight with four.' ",say,AFTER,"And other boys and girls would say 'Look, there goes brave Walter, who is brave enough to fight with four.' ",goes,22,22,1,3
"And other boys and girls would say 'Look, there goes brave Walter, who is brave enough to fight with four.' ",goes,BEFORE,"There was no one so fully convinced of this as Walter himself, and one day he prepared himself for a real wolf hunt. ",prepared,22,23,3,1
"There was no one so fully convinced of this as Walter himself, and one day he prepared himself for a real wolf hunt. ",prepared,BEFORE,"He took with him his drum, which had holes in one end since the time he had climbed up on it to reach a cluster of rowan berries, and his tin sabre, which was a little broken, because he had with incredible courage fought his way through a whole unfriendly army of gooseberry bushes. ",took,23,24,1,0
"He took with him his drum, which had holes in one end since the time he had climbed up on it to reach a cluster of rowan berries, and his tin sabre, which was a little broken, because he had with incredible courage fought his way through a whole unfriendly army of gooseberry bushes. ",took,AFTER,"He took with him his drum, which had holes in one end since the time he had climbed up on it to reach a cluster of rowan berries, and his tin sabre, which was a little broken, because he had with incredible courage fought his way through a whole unfriendly army of gooseberry bushes. ",fought,24,24,0,8
"He took with him his drum, which had holes in one end since the time he had climbed up on it to reach a cluster of rowan berries, and his tin sabre, which was a little broken, because he had with incredible courage fought his way through a whole unfriendly army of gooseberry bushes. ",fought,BEFORE,"He took with him his drum, which had holes in one end since the time he had climbed up on it to reach a cluster of rowan berries, and his tin sabre, which was a little broken, because he had with incredible courage fought his way through a whole unfriendly army of gooseberry bushes. ",reach,24,24,8,4
"He took with him his drum, which had holes in one end since the time he had climbed up on it to reach a cluster of rowan berries, and his tin sabre, which was a little broken, because he had with incredible courage fought his way through a whole unfriendly army of gooseberry bushes. ",reach,BEFORE,"He did not forget to arm himself quite to the teeth with his pop-gun, his bow, and his air-pistol. ",forget,24,25,4,1
"He did not forget to arm himself quite to the teeth with his pop-gun, his bow, and his air-pistol. ",forget,AFTER,"He did not forget to arm himself quite to the teeth with his pop-gun, his bow, and his air-pistol. ",arm,25,25,1,2
"He did not forget to arm himself quite to the teeth with his pop-gun, his bow, and his air-pistol. ",arm,AFTER,"He had a burnt cork in his pocket to blacken his moustache, and a red cock's feather to put in his cap to make himself look fierce. ",had,25,26,2,0
"He had a burnt cork in his pocket to blacken his moustache, and a red cock's feather to put in his cap to make himself look fierce. ",had,BEFORE,"He had a burnt cork in his pocket to blacken his moustache, and a red cock's feather to put in his cap to make himself look fierce. ",blacken,26,26,0,2
"He had a burnt cork in his pocket to blacken his moustache, and a red cock's feather to put in his cap to make himself look fierce. ",blacken,BEFORE,"He had a burnt cork in his pocket to blacken his moustache, and a red cock's feather to put in his cap to make himself look fierce. ",put,26,26,2,3
"He had a burnt cork in his pocket to blacken his moustache, and a red cock's feather to put in his cap to make himself look fierce. ",put,BEFORE,"He had a burnt cork in his pocket to blacken his moustache, and a red cock's feather to put in his cap to make himself look fierce. ",make,26,26,3,4
"He had a burnt cork in his pocket to blacken his moustache, and a red cock's feather to put in his cap to make himself look fierce. ",make,BEFORE,"He had a burnt cork in his pocket to blacken his moustache, and a red cock's feather to put in his cap to make himself look fierce. ",look,26,26,4,5
"He had a burnt cork in his pocket to blacken his moustache, and a red cock's feather to put in his cap to make himself look fierce. ",look,AFTER,"He had besides in his trouser pocket a clasp knife with a bone handle, to cut off the ears of the wolves as soon as he had killed them. ",killed,26,27,5,3
"He had besides in his trouser pocket a clasp knife with a bone handle, to cut off the ears of the wolves as soon as he had killed them. ",killed,BEFORE,He thought it would be cruel to do that while they were still living. ,thought,27,28,3,0
He thought it would be cruel to do that while they were still living. ,thought,BEFORE,"It was such a good thing that Jonas was going with corn to the mill, for Walter got a seat on the load, while Caro ran barking beside them. ",got,28,29,0,3
"It was such a good thing that Jonas was going with corn to the mill, for Walter got a seat on the load, while Caro ran barking beside them. ",got,AFTER,"It was such a good thing that Jonas was going with corn to the mill, for Walter got a seat on the load, while Caro ran barking beside them. ",ran,29,29,3,4
"It was such a good thing that Jonas was going with corn to the mill, for Walter got a seat on the load, while Caro ran barking beside them. ",ran,BEFORE,"It was such a good thing that Jonas was going with corn to the mill, for Walter got a seat on the load, while Caro ran barking beside them. ",barking,29,29,4,5
"It was such a good thing that Jonas was going with corn to the mill, for Walter got a seat on the load, while Caro ran barking beside them. ",barking,BEFORE,As soon as they came to the wood Walter looked cautiously around him to see perchance there was a wolf in the bushe. ,looked,29,30,5,1
As soon as they came to the wood Walter looked cautiously around him to see perchance there was a wolf in the bushe. ,looked,BEFORE,He did not omit to ask Jonas if wolves were afraid of a drum. ,omit,30,31,1,1
He did not omit to ask Jonas if wolves were afraid of a drum. ,omit,BEFORE,He did not omit to ask Jonas if wolves were afraid of a drum. ,ask,31,31,1,2
He did not omit to ask Jonas if wolves were afraid of a drum. ,ask,BEFORE,Thereupon Walter began to beat his drum with all his might while they were going through the wood. ,began,31,33,2,0
Thereupon Walter began to beat his drum with all his might while they were going through the wood. ,began,BEFORE,Thereupon Walter began to beat his drum with all his might while they were going through the wood. ,beat,33,33,0,1
Thereupon Walter began to beat his drum with all his might while they were going through the wood. ,beat,BEFORE,When they came to the mill Walter immediately asked if there had been any wolves in the neighbourhood lately. ,came,33,34,1,0
When they came to the mill Walter immediately asked if there had been any wolves in the neighbourhood lately. ,came,BEFORE,When they came to the mill Walter immediately asked if there had been any wolves in the neighbourhood lately. ,asked,34,34,0,1
When they came to the mill Walter immediately asked if there had been any wolves in the neighbourhood lately. ,asked,BEFORE,"yes,' said the miller, 'last night the wolves have eaten our fattest ram there by the kiln not far from here.' ",said,34,36,1,0
"yes,' said the miller, 'last night the wolves have eaten our fattest ram there by the kiln not far from here.' ",said,BEFORE,"said Walter, 'do you think that there were many?' ",said,36,38,0,0
"said Walter, 'do you think that there were many?' ",said,AFTER,"said Walter, 'do you think that there were many?' ",think,38,38,0,2
"said Walter, 'do you think that there were many?' ",think,BEFORE,"'We don't know,' answered the miller. ",answered,38,39,2,2
