sentence_id,text,start,end
0,A little back from the high road there stands a house which is called 'Hemgard.' ,0,81
1,"Perhaps you remember the two beautiful mountain ash trees by the reddish-brown palings, and the high gate. ",81,188
2,"Or you remember the garden with the beautiful barberry bushes which are always the first to become grown in spring, and which in summer are weighed down with their beautiful berries. ",188,371
3,Behind the garden there is a hedge with tall aspens which rustle in the morning wind. ,371,457
4,"Behind the hedge is a road, behind the road is a wood, and behind the wood the wide world. ",457,548
5,"But on the other side of the garden there is a lake, and beyond the lake is a village, and all around stretch meadows and fields, now yellow, now green. ",548,701
6,"In the pretty house, which has white window-frames, a neat porch and clean steps, which are always strewn with finely-cut juniper leaves, Walter's parents live. ",701,862
7,"His brother Frederick, his sister Lotta, old Lena, Jonah, Caro and Bravo, Putte and Murre, and Kuckeliku. ",862,968
8,"Caro lives in the dog house, Bravo in the stable, Putte with the stableman, Murre a little here and a little there, and Kuckeliku lives in the hen house, that is his kingdom. ",968,1143
9,"Walter is six years old, and he must soon begin to go to school. ",1143,1208
10,"He cannot read yet, but he can do many other things. ",1208,1261
11,"He can turn cartwheels, stand on his head, ride see-saw, throw snowballs, play ball, crow like a cock, eat bread and butter and drink sour milk, and tear his trousers. ",1261,1429
12,"He can wear holes in his elbows, break the crockery in pieces, throw balls through the windowpanes, draw old men on important papers, walk over the flower-beds, eat himself sick with gooseberries, and be well after a whipping. ",1429,1656
13,"For the rest he has a good heart but a bad memory, and forgets his father's and his mother's admonitions. ",1656,1762
14,"He so often gets into trouble and meets with adventures, as you shall hear, but first of all I must tell you how brave he was and how he hunted wolves. ",1762,1914
15,"Once in the spring, a little before Midsummer, Walter heard that there were a great many wolves in the wood, and that pleased him. ",1914,2045
16,"He was wonderfully brave when he was in the midst of his companions or at home with his brothers and sister, then he used often to say 'One wolf is nothing, there ought to be at least four.' ",2045,2236
17,"When he wrestled with Klas Bogenstrom or Frithiof Waderfelt and struck them in the back, he would say 'That is what I shall do to a wolf!' ",2236,2375
18,When he shot arrows at Jonas and they rattled against his sheepskin coat he would say: 'That is how I should shoot you if you were a wolf!' ,2375,2515
19,"Indeed, some thought that the brave boy boasted a little. ",2515,2573
20,One must indeed believe him since he said so himself. ,2573,2627
21,"So Jonas and Lena used to say of him 'Look, there goes Walter, who shoots the wolves.' ",2627,2714
22,"And other boys and girls would say 'Look, there goes brave Walter, who is brave enough to fight with four.' ",2714,2822
23,"There was no one so fully convinced of this as Walter himself, and one day he prepared himself for a real wolf hunt. ",2822,2939
24,"He took with him his drum, which had holes in one end since the time he had climbed up on it to reach a cluster of rowan berries, and his tin sabre, which was a little broken, because he had with incredible courage fought his way through a whole unfriendly army of gooseberry bushes. ",2939,3223
25,"He did not forget to arm himself quite to the teeth with his pop-gun, his bow, and his air-pistol. ",3223,3322
26,"He had a burnt cork in his pocket to blacken his moustache, and a red cock's feather to put in his cap to make himself look fierce. ",3322,3454
27,"He had besides in his trouser pocket a clasp knife with a bone handle, to cut off the ears of the wolves as soon as he had killed them. ",3454,3590
28,He thought it would be cruel to do that while they were still living. ,3590,3660
29,"It was such a good thing that Jonas was going with corn to the mill, for Walter got a seat on the load, while Caro ran barking beside them. ",3660,3800
30,As soon as they came to the wood Walter looked cautiously around him to see perchance there was a wolf in the bushe. ,3800,3917
31,He did not omit to ask Jonas if wolves were afraid of a drum. ,3917,3979
32,'Of course they are' (that is understood) said Jonas. ,3979,4033
33,Thereupon Walter began to beat his drum with all his might while they were going through the wood. ,4033,4132
34,When they came to the mill Walter immediately asked if there had been any wolves in the neighbourhood lately. ,4132,4242
35,'Alas! ,4242,4249
36,"yes,' said the miller, 'last night the wolves have eaten our fattest ram there by the kiln not far from here.' ",4249,4360
37,'Ah!' ,4360,4366
38,"said Walter, 'do you think that there were many?' ",4366,4416
39,"'We don't know,' answered the miller. ",4416,4454
40,"'Oh, it is all the same,' said Walter. ",4454,4493
41,'I only asked so that I should know if I should take Jonas with me.' ,4493,4562
42,"'I could manage very well alone with three, but if there were more, I might not have time to kill them all before they ran away.' ",4562,4692
43,"'In Walter's place I should go quite alone, it is more manly,' said Jonas. ",4692,4767
44,"'No, it is better for you to come too,' said Walter. ",4767,4820
45,'Perhaps there are many.' ,4820,4846
46,"'No, I have not time,' said Jonas, 'and besides, there are sure not to be more than three. ",4846,4937
47,Walter can manage them very well alone.' ,4937,4978
48,"'Yes,' said Walter, 'certainly I could. ",4978,5018
49,"But, you see, Jonas, it might happen that one of them might bite me in the back, and I should have more trouble in killing them. ",5018,5147
50,"If I only knew that there were not more than two I should not mind, for them I should take one in each hand and give them a good shaking, like Susanna once shook me.' ",5147,5314
51,"'I certainly think that there will not be more than two,' said Jonas, 'there are never more than two when they slay children and rams. ",5314,5449
52,Walter can very well shake them without me.' ,5449,5494
