coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
1,Hemgard,Hemgard,0,71,78,0
2,Walter/Dear Walter,he,86,11,13,0
2,Walter/Dear Walter,Walter,85,75,81,0
2,Walter/Dear Walter,I,85,54,55,0
2,Walter/Dear Walter,me,85,18,20,0
2,Walter/Dear Walter,He,83,0,2,0
2,Walter/Dear Walter,him,82,34,37,0
2,Walter/Dear Walter,his,86,28,31,0
2,Walter/Dear Walter,he,82,14,16,0
2,Walter/Dear Walter,his,79,15,18,0
2,Walter/Dear Walter,he,79,7,9,0
2,Walter/Dear Walter,he,78,41,43,0
2,Walter/Dear Walter,I,78,19,20,0
2,Walter/Dear Walter,I,78,1,2,0
2,Walter/Dear Walter,Walter,77,13,19,0
2,Walter/Dear Walter,Walter,81,0,6,0
2,Walter/Dear Walter,Walter,91,0,6,0
2,Walter/Dear Walter,I,92,13,14,0
2,Walter/Dear Walter,my,92,20,22,0
2,Walter/Dear Walter,you,105,33,36,0
2,Walter/Dear Walter,you,105,3,6,0
2,Walter/Dear Walter,you,104,25,28,0
2,Walter/Dear Walter,his,104,5,8,0
2,Walter/Dear Walter,I,101,30,31,0
2,Walter/Dear Walter,I,101,7,8,0
2,Walter/Dear Walter,he,100,9,11,0
2,Walter/Dear Walter,himself,99,76,83,0
2,Walter/Dear Walter,Walter,99,66,72,0
2,Walter/Dear Walter,he,94,41,43,0
2,Walter/Dear Walter,he,94,15,17,0
2,Walter/Dear Walter,he,93,10,12,0
2,Walter/Dear Walter,he,92,38,40,0
2,Walter/Dear Walter,me,92,33,35,0
2,Walter/Dear Walter,him,76,14,17,0
2,Walter/Dear Walter,he,75,26,28,0
2,Walter/Dear Walter,himself,74,59,66,0
2,Walter/Dear Walter,Walter,74,30,36,0
2,Walter/Dear Walter,me,61,26,28,0
2,Walter/Dear Walter,him,57,46,49,0
2,Walter/Dear Walter,I,57,33,34,0
2,Walter/Dear Walter,he,57,23,25,0
2,Walter/Dear Walter,He,57,0,2,0
2,Walter/Dear Walter,his,56,95,98,0
2,Walter/Dear Walter,him,56,78,81,0
2,Walter/Dear Walter,my,56,58,60,0
2,Walter/Dear Walter,him,56,41,44,0
2,Walter/Dear Walter,I,56,28,29,0
2,Walter/Dear Walter,me,55,28,30,0
2,Walter/Dear Walter,I,54,8,9,0
2,Walter/Dear Walter,me,53,112,114,0
2,Walter/Dear Walter,Walter,53,28,34,0
2,Walter/Dear Walter,Walter,52,0,6,0
2,Walter/Dear Walter,Walter,61,56,62,0
2,Walter/Dear Walter,you,105,81,84,0
2,Walter/Dear Walter,I,62,41,42,0
2,Walter/Dear Walter,my,62,109,111,0
2,Walter/Dear Walter,you,74,11,14,0
2,Walter/Dear Walter,I,73,54,55,0
2,Walter/Dear Walter,me,73,10,12,0
2,Walter/Dear Walter,Walter,72,46,52,0
2,Walter/Dear Walter,him,70,59,62,0
2,Walter/Dear Walter,Walter,70,13,19,0
2,Walter/Dear Walter,his,69,85,88,0
2,Walter/Dear Walter,I,69,37,38,0
2,Walter/Dear Walter,I,69,0,1,0
2,Walter/Dear Walter,I,68,30,31,0
2,Walter/Dear Walter,Walter,68,21,27,0
2,Walter/Dear Walter,Walter,67,30,36,0
2,Walter/Dear Walter,Walter,64,102,108,0
2,Walter/Dear Walter,Walter,64,13,19,0
2,Walter/Dear Walter,Walter,63,63,69,0
2,Walter/Dear Walter,he,62,86,88,0
2,Walter/Dear Walter,I,106,5,6,0
2,Walter/Dear Walter,Walter,106,37,43,0
2,Walter/Dear Walter,he,106,52,54,0
2,Walter/Dear Walter,he,150,34,36,0
2,Walter/Dear Walter,him,150,29,32,0
2,Walter/Dear Walter,Walter,149,24,30,0
2,Walter/Dear Walter,Walter,145,60,66,0
2,Walter/Dear Walter,me,145,38,40,0
2,Walter/Dear Walter,he,145,24,26,0
2,Walter/Dear Walter,he,145,12,14,0
2,Walter/Dear Walter,he,141,31,33,0
2,Walter/Dear Walter,Walter,141,6,12,0
2,Walter/Dear Walter,Walter,138,9,15,0
2,Walter/Dear Walter,he,137,0,2,0
2,Walter/Dear Walter,him,135,103,106,0
2,Walter/Dear Walter,he,135,85,87,0
2,Walter/Dear Walter,Walter,135,45,51,0
2,Walter/Dear Walter,his,135,20,23,0
2,Walter/Dear Walter,your,150,40,44,1
2,Walter/Dear Walter,he,134,5,7,0
2,Walter/Dear Walter,your,150,57,61,1
2,Walter/Dear Walter,Walter,152,5,11,0
2,Walter/Dear Walter,Dear Walter,166,1,12,0
2,Walter/Dear Walter,you,165,5,8,0
2,Walter/Dear Walter,I,162,8,9,0
2,Walter/Dear Walter,I,160,1,2,0
2,Walter/Dear Walter,he,159,28,30,0
2,Walter/Dear Walter,Walter,159,1,7,0
2,Walter/Dear Walter,Walter,158,91,97,0
2,Walter/Dear Walter,him,158,78,81,0
2,Walter/Dear Walter,I,158,47,48,0
2,Walter/Dear Walter,he,157,0,2,0
2,Walter/Dear Walter,Walter,155,0,6,0
2,Walter/Dear Walter,Walter,152,114,120,0
2,Walter/Dear Walter,him,152,84,87,0
2,Walter/Dear Walter,Walter,152,52,58,0
2,Walter/Dear Walter,his,152,17,20,0
2,Walter/Dear Walter,he,151,15,17,0
2,Walter/Dear Walter,me,50,162,164,0
2,Walter/Dear Walter,Walter,133,0,6,0
2,Walter/Dear Walter,his,129,66,69,0
2,Walter/Dear Walter,he,114,48,50,0
2,Walter/Dear Walter,Walter,114,28,34,0
2,Walter/Dear Walter,he,112,76,78,0
2,Walter/Dear Walter,himself,112,54,61,0
2,Walter/Dear Walter,he,112,40,42,0
2,Walter/Dear Walter,me,112,18,20,0
2,Walter/Dear Walter,his,111,70,73,0
2,Walter/Dear Walter,his,111,45,48,0
2,Walter/Dear Walter,him,111,36,39,0
2,Walter/Dear Walter,himself,110,72,79,0
2,Walter/Dear Walter,Walter,110,62,68,0
2,Walter/Dear Walter,I,110,1,2,0
2,Walter/Dear Walter,he,108,26,28,0
2,Walter/Dear Walter,He,108,0,2,0
2,Walter/Dear Walter,he,107,4,6,0
2,Walter/Dear Walter,Walter,116,9,15,0
2,Walter/Dear Walter,Walter,132,26,32,0
2,Walter/Dear Walter,his,117,57,60,0
2,Walter/Dear Walter,He,118,0,2,0
2,Walter/Dear Walter,Walter,129,51,57,0
2,Walter/Dear Walter,him,127,40,43,0
2,Walter/Dear Walter,he,127,6,8,0
2,Walter/Dear Walter,he,126,75,77,0
2,Walter/Dear Walter,his,126,56,59,0
2,Walter/Dear Walter,He,126,0,2,0
2,Walter/Dear Walter,He,125,0,2,0
2,Walter/Dear Walter,he,124,32,34,0
2,Walter/Dear Walter,him,124,27,30,0
2,Walter/Dear Walter,Walter,123,5,11,0
2,Walter/Dear Walter,him,122,58,61,0
2,Walter/Dear Walter,he,122,27,29,0
2,Walter/Dear Walter,Walter,121,0,6,0
2,Walter/Dear Walter,him,120,19,22,0
2,Walter/Dear Walter,he,118,18,20,0
2,Walter/Dear Walter,his,117,84,87,0
2,Walter/Dear Walter,I,50,77,78,0
2,Walter/Dear Walter,I,62,9,10,0
2,Walter/Dear Walter,his,26,23,26,0
2,Walter/Dear Walter,Walter,23,47,53,0
2,Walter/Dear Walter,himself,23,54,61,0
2,Walter/Dear Walter,he,23,75,77,0
2,Walter/Dear Walter,himself,23,87,94,0
2,Walter/Dear Walter,He,24,0,2,0
2,Walter/Dear Walter,him,24,13,16,0
2,Walter/Dear Walter,his,24,17,20,0
2,Walter/Dear Walter,he,24,69,71,0
2,Walter/Dear Walter,his,24,134,137,0
2,Walter/Dear Walter,he,24,184,186,0
2,Walter/Dear Walter,his,24,222,225,0
2,Walter/Dear Walter,He,25,0,2,0
2,Walter/Dear Walter,himself,25,25,32,0
2,Walter/Dear Walter,his,25,57,60,0
2,Walter/Dear Walter,Walter,22,59,65,0
2,Walter/Dear Walter,his,25,70,73,0
2,Walter/Dear Walter,He,26,0,2,0
2,Walter/Dear Walter,his,26,45,48,0
2,Walter/Dear Walter,his,26,95,98,0
2,Walter/Dear Walter,himself,26,111,118,0
2,Walter/Dear Walter,He,27,0,2,0
2,Walter/Dear Walter,his,27,18,21,0
2,Walter/Dear Walter,he,27,116,118,0
2,Walter/Dear Walter,He,28,0,2,0
2,Walter/Dear Walter,Walter,29,73,79,0
2,Walter/Dear Walter,Walter,30,33,39,0
2,Walter/Dear Walter,him,30,65,68,0
2,Walter/Dear Walter,He,31,0,2,0
2,Walter/Dear Walter,Walter,33,10,16,0
2,Walter/Dear Walter,his,33,31,34,0
2,Walter/Dear Walter,his,25,83,86,0
2,Walter/Dear Walter,his,33,49,52,0
2,Walter/Dear Walter,I,50,49,50,0
2,Walter/Dear Walter,him,21,33,36,0
2,Walter/Dear Walter,he,10,24,26,0
