sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
3,0,knew,verb.cognition,8,8
3,0,knew,verb.cognition,10,8
11,0,hired,verb.possession,19,19
11,0,hired,verb.possession,19,21
11,0,hired,verb.possession,19,22
16,0,sent,verb.communication,29,30
16,0,sent,verb.communication,29,29
16,0,sent,verb.communication,29,31
16,1,visit,verb.social,30,29
16,1,visit,verb.social,30,31
16,1,visit,verb.social,29,29
16,1,visit,verb.social,29,31
19,0,entered,verb.motion,32,28
19,3,poured,verb.consumption,36,36
19,4,presented,verb.possession,36,32
19,4,presented,verb.possession,36,36
20,2,took,verb.social,32,32
20,3,ordered,verb.communication,32,32
20,3,ordered,verb.communication,32,38
20,3,ordered,verb.communication,32,39
20,3,ordered,verb.communication,32,3
20,3,ordered,verb.communication,37,32
20,3,ordered,verb.communication,37,38
20,3,ordered,verb.communication,37,39
20,3,ordered,verb.communication,37,3
20,4,escort,verb.motion,38,32
20,4,escort,verb.motion,39,32
20,4,escort,verb.motion,3,32
21,1,kept,verb.consumption,41,38
22,0,smiled,verb.body,38,41
22,1,made,verb.social,38,38
23,3,turn,verb.motion,38,38
23,5,point,verb.communication,38,38
24,1,whispered,verb.communication,38,38
24,1,whispered,verb.communication,38,41
27,1,had,verb.possession,41,1
27,1,had,verb.possession,41,45
27,1,had,verb.possession,41,44
28,1,said,verb.communication,92,41
30,2,tell,verb.communication,92,93
30,2,tell,verb.communication,92,92
31,0,told,verb.communication,46,44
31,3,mentioned,verb.communication,46,47
31,3,mentioned,verb.communication,46,41
31,5,made,verb.social,47,41
33,0,turned,verb.motion,47,47
34,1,meant,verb.cognition,47,47
34,1,meant,verb.cognition,47,41
34,2,say,verb.communication,47,47
34,2,say,verb.communication,47,41
34,5,go,verb.motion,41,47
35,1,roused,verb.body,41,41
35,4,control,verb.social,41,41
36,1,said,verb.communication,41,28
39,4,carry,verb.contact,1,41
42,3,said,verb.communication,49,49
42,3,said,verb.communication,49,104
43,0,gave,verb.possession,50,49
45,1,carried,verb.contact,51,50
50,0,looked,verb.perception,3,50
50,1,seized,verb.contact,3,50
51,0,knew,verb.cognition,50,50
51,3,understand,verb.cognition,50,50
53,0,told,verb.communication,50,1
53,0,told,verb.communication,50,50
53,2,helped,verb.social,1,50
58,1,made,verb.change,4,109
64,0,looked,verb.perception,50,1
66,0,asked,verb.communication,1,3
68,0,took,verb.motion,1,1
68,0,took,verb.motion,1,63
68,0,took,verb.motion,1,3
70,0,hid,verb.motion,50,3
71,0,discovered,verb.cognition,28,71
71,0,discovered,verb.cognition,28,72
71,0,discovered,verb.cognition,28,28
71,6,said,verb.communication,28,113
75,1,informed,verb.communication,79,63
75,1,informed,verb.communication,79,77
75,1,informed,verb.communication,28,63
75,1,informed,verb.communication,28,77
75,1,informed,verb.communication,77,63
75,1,informed,verb.communication,77,77
76,3,told,verb.communication,82,63
76,3,told,verb.communication,50,63
78,1,reproach,verb.communication,28,3
81,0,ordered,verb.communication,28,1
81,0,ordered,verb.communication,28,85
81,1,surround,verb.competition,85,50
82,0,drew,verb.motion,1,1
83,0,looked,verb.perception,1,1
86,0,ran,verb.motion,1,1
86,0,ran,verb.motion,89,1
86,0,ran,verb.motion,90,1
87,0,looked,verb.perception,1,1
