clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
The princess/the princess,14,27,102,129,The princess,female,1.0,primary
the king/The king,22,12,36,48,the king,male,1.0,secondary
the gooseherd,31,12,20,32,the gooseherd,male,1.0,tertiary
the lad/The lad,33,7,20,27,the lad,male,1.0,tertiary
the poor princess,105,4,10,14,the poor princess,female,1.0,tertiary
one came who was a king in his own country--one came who was a king in his own country,10,1,12,13,one came who was a king in his own country's came who was a king in his own country,male,1.0,tertiary
a stout lad about the place,19,1,7,8,a stout lad about the place,male,1.0,tertiary
the poor princess--her husband,117,1,6,7,the poor princess's husband,male,1.0,tertiary
a princess who was as pretty as a picture,1,1,5,6,a princess who was as pretty as a picture,female,1.0,tertiary
all the folks,50,2,4,6,all the folks,group/nonbinary,1.0,tertiary
two tall soldiers,138,1,3,4,two tall soldiers,group/nonbinary,1.0,tertiary
this one,5,4,0,4,this one,unknown,0.0,tertiary
the cook,130,3,0,3,the cook,unknown,0.0,tertiary
folks,86,2,0,2,folks,unknown,0.0,tertiary
a kerchief,36,2,0,2,a kerchief,unknown,0.0,tertiary
The princess/the princess--her maids,58,1,1,2,The princess's maids,group/nonbinary,1.0,tertiary
dear,27,2,0,2,dear,unknown,0.0,tertiary
women,66,2,0,2,women,female,1.0,tertiary
a tipsy countryman,112,1,1,2,a tipsy countryman,male,1.0,tertiary
the king/The king--his wife,136,1,0,1,the king's wife,female,1.0,tertiary
somebody who stood near,148,1,0,1,somebody who stood near,unknown,0.0,tertiary
a Jew,102,1,0,1,a Jew,unknown,0.0,tertiary
a lass for a wife who could neither brew nor bake nor boil blue beans,103,1,0,1,a lass for a wife who could neither brew nor bake nor boil blue beans,female,1.0,tertiary
a wife who could neither brew nor bake nor boil blue beans,104,1,0,1,a wife who could neither brew nor bake nor boil blue beans,female,1.0,tertiary
the tipsy countryman,153,1,0,1,the tipsy countryman,unknown,0.0,tertiary
a fellow driving swine,121,1,0,1,a fellow driving swine,unknown,0.0,tertiary
a left - handed wife,169,1,0,1,a left - handed wife,female,1.0,tertiary
The princess/the princess--her good man,142,1,0,1,The princess's good man,male,1.0,tertiary
the princess in the way,122,1,0,1,the princess in the way,female,1.0,tertiary
the drove,124,1,0,1,the drove,unknown,0.0,tertiary
the lass who had been chopping the wood and drawing the water for the cook that day,139,1,0,1,the lass who had been chopping the wood and drawing the water for the cook that day,unknown,0.0,tertiary
the minister,94,1,0,1,the minister,unknown,0.0,tertiary
the fellow,76,1,0,1,the fellow,unknown,0.0,tertiary
the gooseherd over yonder,84,1,0,1,the gooseherd over yonder,unknown,0.0,tertiary
The princess/the princess--her women,45,1,0,1,The princess's women,female,1.0,tertiary
a sweetheart,3,1,0,1,a sweetheart,unknown,0.0,tertiary
a fine one at that,13,1,0,1,a fine one at that,unknown,0.0,tertiary
the prince,15,1,0,1,the prince,male,1.0,tertiary
not a soul,17,1,0,1,not a soul,unknown,0.0,tertiary
one of the maids,29,1,0,1,one of the maids,unknown,0.0,tertiary
the maids,30,1,0,1,the maids,unknown,0.0,tertiary
a saucy one,34,1,0,1,a saucy one,unknown,0.0,tertiary
everybody,49,1,0,1,everybody,unknown,0.0,tertiary
somebody,82,1,0,1,somebody,unknown,0.0,tertiary
real little men,65,1,0,1,real little men,male,1.0,tertiary
the little men,67,1,0,1,the little men,male,1.0,tertiary
one another,69,1,0,1,one another,unknown,0.0,tertiary
lads who came a - wooing,2,1,0,1,lads who came a - wooing,unknown,0.0,tertiary
a poor gooseherd,77,1,0,1,a poor gooseherd,unknown,0.0,tertiary
The princess/the princess--all of her maidens,80,1,0,1,The princess's of her maidens,female,1.0,tertiary
The princess/the princess--her maidens,81,1,0,1,The princess's maidens,female,1.0,tertiary
the king/The king--my own sweetheart,175,1,0,1,the king's own sweetheart,unknown,0.0,tertiary
