sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
2,0,had,verb.possession,3,4
3,2,teaze,verb.emotion,5,3
3,3,asking,verb.communication,5,3
4,0,grew,verb.change,3,3
4,0,grew,verb.change,3,101
4,1,exclaimed,verb.communication,3,3
4,1,exclaimed,verb.communication,3,101
5,3,saw,verb.perception,11,11
5,3,saw,verb.perception,11,8
5,3,saw,verb.perception,8,11
5,3,saw,verb.perception,8,8
5,7,cursed,verb.communication,12,102
5,7,cursed,verb.communication,12,12
7,0,suppose,verb.cognition,13,103
7,5,see,verb.cognition,13,103
8,3,replied,verb.communication,1,14
8,3,replied,verb.communication,103,14
8,3,replied,verb.communication,106,14
8,3,replied,verb.communication,14,14
9,3,said,verb.communication,17,107
9,3,said,verb.communication,17,14
9,6,put,verb.contact,14,107
18,1,got,verb.possession,1,1
18,2,said,verb.communication,1,1
18,2,said,verb.communication,1,2
19,2,trouble,verb.social,1,2
24,3,lost,verb.possession,33,33
24,8,sent,verb.communication,33,34
24,8,sent,verb.communication,33,33
26,0,desired,verb.emotion,36,37
26,1,ask,verb.communication,37,38
27,3,undertake,verb.communication,1,1
27,3,undertake,verb.communication,1,36
27,4,show,verb.perception,1,1
27,4,show,verb.perception,1,36
27,6,give,verb.possession,36,1
27,9,have,verb.possession,1,1
29,3,write,verb.creation,36,36
31,0,saw,verb.perception,47,47
31,0,saw,verb.perception,47,48
31,0,saw,verb.perception,36,47
31,0,saw,verb.perception,36,48
31,4,meet,verb.motion,47,48
31,5,threw,verb.contact,47,47
31,5,threw,verb.contact,47,48
32,1,told,verb.communication,48,50
32,1,told,verb.communication,48,48
32,4,obliged,verb.communication,48,48
32,5,give,verb.possession,48,48
35,0,minded,verb.emotion,1,48
35,1,sat,verb.contact,1,48
35,1,sat,verb.contact,48,48
35,2,played,verb.creation,1,48
35,2,played,verb.creation,48,48
36,2,lost,verb.possession,54,54
36,5,wondering,verb.communication,54,54
36,7,find,verb.possession,54,54
37,1,told,verb.communication,54,54
37,1,told,verb.communication,54,59
37,1,told,verb.communication,54,60
38,1,looking,verb.perception,35,1
38,1,looking,verb.perception,35,35
38,2,saw,verb.perception,35,1
39,0,asked,verb.communication,37,1
43,0,told,verb.communication,37,1
43,3,wanted,verb.emotion,37,114
43,4,show,verb.perception,114,114
44,3,show,verb.perception,115,1
44,5,promise,verb.communication,115,1
44,5,promise,verb.communication,115,115
44,6,give,verb.possession,115,1
44,6,give,verb.possession,115,115
45,1,gave,verb.possession,36,1
46,2,reached,verb.motion,36,36
47,0,had,verb.possession,36,120
47,6,kissed,verb.contact,36,36
48,0,asked,verb.communication,120,36
48,4,told,verb.communication,36,120
48,4,told,verb.communication,36,36
48,6,lost,verb.possession,36,36
49,0,told,verb.communication,36,120
49,0,told,verb.communication,36,36
49,3,obliged,verb.communication,36,36
49,4,pledge,verb.communication,36,36
49,5,give,verb.possession,36,36
49,7,felt,verb.emotion,36,120
49,7,felt,verb.emotion,36,36
50,0,comforted,verb.emotion,52,36
50,1,said,verb.communication,52,1
50,1,said,verb.communication,52,52
50,1,said,verb.communication,52,36
50,1,said,verb.communication,52,125
50,6,fetch,verb.contact,36,52
50,7,bore,verb.emotion,52,52
50,7,bore,verb.emotion,52,125
51,1,herd,verb.contact,1,1
52,2,sent,verb.communication,1,1
52,2,sent,verb.communication,1,18
52,3,telling,verb.communication,1,1
52,3,telling,verb.communication,1,18
52,3,telling,verb.communication,1,132
52,3,telling,verb.communication,18,1
52,3,telling,verb.communication,18,18
52,3,telling,verb.communication,18,132
52,8,bring,verb.contact,1,132
53,2,thought,verb.cognition,18,1
54,0,mounted,verb.contact,1,1
54,2,let,verb.social,1,135
55,1,let,verb.social,1,65
57,1,rejoiced,verb.emotion,136,136
57,1,rejoiced,verb.emotion,136,137
59,1,charged,verb.competition,1,1
59,1,charged,verb.competition,1,142
59,7,given,verb.possession,1,1
59,12,pay,verb.possession,50,142
59,12,pay,verb.possession,36,142
60,0,coaxed,verb.communication,36,50
60,0,coaxed,verb.communication,36,36
60,1,entreated,verb.communication,36,50
60,1,entreated,verb.communication,36,36
60,3,save,verb.social,50,142
60,3,save,verb.social,36,142
61,0,dressed,verb.body,52,52
61,1,gave,verb.possession,52,52
61,1,gave,verb.possession,52,152
61,1,gave,verb.possession,48,52
61,1,gave,verb.possession,48,152
62,1,took,verb.social,1,1
63,1,expected,verb.cognition,36,142
64,4,got,verb.motion,142,1
68,1,given,verb.communication,71,1
68,1,given,verb.communication,71,73
68,1,given,verb.communication,71,142
69,0,saw,verb.perception,47,1
69,0,saw,verb.perception,36,1
70,0,considered,verb.communication,47,47
70,2,given,verb.communication,47,47
71,0,made,verb.change,47,1
71,4,sat,verb.contact,1,47
72,2,feared,verb.emotion,52,1
72,2,feared,verb.emotion,52,47
72,4,kiss,verb.contact,1,47
72,5,told,verb.communication,1,47
73,0,begged,verb.communication,1,1
73,0,begged,verb.communication,1,115
73,0,begged,verb.communication,1,81
73,1,place,verb.contact,115,1
73,1,place,verb.contact,115,81
73,2,desire,verb.emotion,115,81
74,3,creep,verb.motion,1,1
77,6,released,verb.body,1,1
78,1,washed,verb.contact,88,1
78,1,washed,verb.contact,36,1
79,0,saw,verb.perception,47,1
79,0,saw,verb.perception,47,47
79,0,saw,verb.perception,36,1
79,0,saw,verb.perception,36,47
79,4,bestowed,verb.possession,115,1
79,4,bestowed,verb.possession,115,115
80,1,visit,verb.social,1,1
80,1,visit,verb.social,1,18
80,1,visit,verb.social,7,1
80,1,visit,verb.social,7,18
80,3,recognize,verb.perception,13,18
