sentence_id,event_id,temporal_rank
2,0,0
1,3,1
3,3,2
4,0,3
5,7,4
7,7,5
6,0,6
8,3,7
11,0,8
9,3,9
12,3,10
13,0,11
14,2,12
15,2,13
16,2,14
17,1,15
18,2,16
24,3,17
22,0,18
19,1,19
25,0,20
27,10,21
26,1,22
28,0,23
29,3,24
30,5,25
31,0,26
33,1,27
32,1,28
35,1,29
34,5,30
36,2,31
37,1,32
38,0,33
40,1,34
39,0,35
41,1,36
43,0,37
44,5,38
45,1,39
46,0,40
47,4,41
48,4,42
49,0,43
50,5,44
51,1,45
53,4,46
52,8,47
54,4,48
55,1,49
56,2,50
57,1,51
59,10,52
58,2,53
60,0,54
61,1,55
62,1,56
63,0,57
67,2,58
64,4,59
68,1,60
70,2,61
69,0,62
71,4,63
72,5,64
73,2,65
74,3,66
75,2,67
76,4,68
77,2,69
78,1,70
79,4,71
81,1,72
80,0,73
82,0,74
