clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Jamie/Jamie Freel,5,44,96,140,Jamie,male,1.0,primary
the lady/The lady,61,6,32,38,the lady,female,1.0,tertiary
The young lady/the young lady,60,6,28,34,The young lady,female,1.0,tertiary
Jamie/Jamie Freel--his mother,14,9,12,21,Jamie's mother,female,1.0,tertiary
the old woman,78,3,13,16,the old woman,female,1.0,tertiary
the elfin troop,46,1,12,13,the elfin troop,group/nonbinary,1.0,tertiary
The poor girl/the poor girl,82,2,9,11,The poor girl,female,1.0,tertiary
The old gentleman/the old gentleman,112,3,8,11,The old gentleman,male,1.0,tertiary
the little folk,67,1,7,8,the little folk,group/nonbinary,1.0,tertiary
The old lady/the old lady,117,2,6,8,The old lady,female,1.0,tertiary
mother,141,6,1,7,mother,female,1.0,tertiary
a beautiful young lady,146,1,6,7,a beautiful young lady,female,1.0,tertiary
The gentleman that lives here,165,1,6,7,The gentleman that lives here,male,1.0,tertiary
Mother,12,2,5,7,Mother,female,1.0,tertiary
dear father,176,2,4,6,dear father,male,1.0,tertiary
the lady/The lady--my father,160,3,2,5,the lady's father,male,1.0,tertiary
The poor girl/the poor girl--my mother,178,1,4,5,The poor girl's mother,female,1.0,tertiary
The poor girl/the poor girl--My poor wife,179,1,3,4,The poor girl's poor wife,female,1.0,tertiary
the son,84,1,3,4,the son,unknown,0.0,tertiary
the tiny woman,92,1,3,4,the tiny woman,female,1.0,tertiary
a lady,147,3,1,4,a lady,female,1.0,tertiary
The parents,124,1,3,4,The parents,group/nonbinary,1.0,tertiary
Jamie man,144,1,3,4,Jamie man,male,1.0,tertiary
The young lady's mother--my Gracie,185,1,3,4,The young lady's mother's Gracie,female,1.0,tertiary
The old gentleman/the old gentleman--my daughter/My daughter,175,3,1,4,The old gentleman's daughter,unknown,0.0,tertiary
the little woman,94,1,2,3,the little woman,female,1.0,tertiary
the mother/The mother,116,3,0,3,the mother,female,1.0,tertiary
a tiny woman,70,1,2,3,a tiny woman,female,1.0,tertiary
no daughter,166,3,0,3,no daughter,unknown,0.0,tertiary
The young lady/the young lady--her mother,119,1,2,3,The young lady's mother,female,1.0,tertiary
the company,39,1,2,3,the company,group/nonbinary,1.0,tertiary
