clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
The jelly fish/the jelly fish,87,34,104,138,The jelly fish,male,1.0,primary
the monkey/The monkey,107,25,57,82,the monkey,male,1.0,secondary
The Dragon King/the Dragon King,27,16,9,25,The Dragon King,male,1.0,tertiary
The doctor/the doctor,65,13,11,24,The doctor,male,1.0,tertiary
the King/The King,40,6,17,23,the King,male,1.0,tertiary
Mr. Monkey,11,3,16,19,Mr. Monkey,unknown,0.0,tertiary
Mr. Jelly Fish,12,1,16,17,Mr. Jelly Fish,unknown,0.0,tertiary
a wonderful King,16,1,15,16,a wonderful King,male,1.0,tertiary
The poor monkey,142,1,13,14,The poor monkey,male,1.0,tertiary
the reluctant jelly fish,95,1,8,9,the reluctant jelly fish,unknown,0.0,tertiary
the cunning monkey,150,1,7,8,the cunning monkey,unknown,0.0,tertiary
the chief steward/The chief steward,86,5,1,6,the chief steward,unknown,0.0,tertiary
a wonderful King--a young Dragon Princess who would be his bride,35,1,4,5,a wonderful King's young Dragon Princess who would be his bride,female,1.0,tertiary
a wonderful King--his bride,36,3,1,4,a wonderful King's bride,female,1.0,tertiary
the Queen,68,3,1,4,the Queen,female,1.0,tertiary
the silly jelly fish,141,1,3,4,the silly jelly fish,unknown,0.0,tertiary
the King/The King--his precious bride,61,1,3,4,the King's precious bride,female,1.0,tertiary
the bride,43,2,1,3,the bride,female,1.0,tertiary
the perplexed jelly fish,93,1,2,3,the perplexed jelly fish,unknown,0.0,tertiary
Monkeys,9,2,1,3,Monkeys,group/nonbinary,1.0,tertiary
Rin Jin,7,3,0,3,Rin Jin,unknown,0.0,tertiary
the Dragon Queen,59,2,1,3,the Dragon Queen,female,1.0,tertiary
the stupid jelly fish,130,1,2,3,the stupid jelly fish,unknown,0.0,tertiary
the sly monkey,164,1,2,3,the sly monkey,male,1.0,tertiary
the King/The King--his chief steward,85,1,1,2,the King's chief steward,male,1.0,tertiary
kurage,10,2,0,2,kurage,unknown,0.0,tertiary
a wonderful King--his fish retainers,32,1,1,2,a wonderful King's fish retainers,group/nonbinary,1.0,tertiary
monkeys,91,2,0,2,monkeys,unknown,0.0,tertiary
The servants of the Palace,193,1,1,2,The servants of the Palace,group/nonbinary,1.0,tertiary
the creature,228,1,1,2,the creature,male,1.0,tertiary
The Dragon King/the Dragon King--his descendants,200,1,1,2,The Dragon King's descendants,group/nonbinary,1.0,tertiary
the servants,63,2,0,2,the servants,unknown,0.0,tertiary
the Dragon King of the Sea/the Dragon King,8,2,0,2,the Dragon King of the Sea,male,1.0,tertiary
the King/The King--your innumerable servants,212,1,0,1,the King's innumerable servants,unknown,0.0,tertiary
a clever animal,144,1,0,1,a clever animal,unknown,0.0,tertiary
"the jelly fish , who knew very little of anatomy",127,1,0,1,"the jelly fish , who knew very little of anatomy",unknown,0.0,tertiary
the bridegroom,54,1,0,1,the bridegroom,unknown,0.0,tertiary
the monkey/The monkey--his hearer,135,1,0,1,the monkey's hearer,unknown,0.0,tertiary
each other,53,1,0,1,each other,unknown,0.0,tertiary
a wife,31,1,0,1,a wife,female,1.0,tertiary
the ruler of all sea creatures both great and small,18,1,0,1,the ruler of all sea creatures both great and small,unknown,0.0,tertiary
guide,242,1,0,1,guide,unknown,0.0,tertiary
the Dragon Queen of the Sea,254,1,0,1,the Dragon Queen of the Sea,female,1.0,tertiary
the Dragon King of the Sea,17,1,0,1,the Dragon King of the Sea,male,1.0,tertiary
Each fish,50,1,0,1,Each fish,unknown,0.0,tertiary
the old doctor,175,1,0,1,the old doctor,unknown,0.0,tertiary
"The poor jelly fish , humiliated and horrified beyond all words",191,1,0,1,"The poor jelly fish , humiliated and horrified beyond all words",unknown,0.0,tertiary
The train of bearers who carried the bride 's possessions to her new home,45,1,0,1,The train of bearers who carried the bride 's possessions to her new home,unknown,0.0,tertiary
Mr. monkey,245,1,0,1,Mr. monkey,unknown,0.0,tertiary
one of the servants of the Dragon King,232,1,0,1,one of the servants of the Dragon King,male,1.0,tertiary
the servants of the Dragon King,233,1,0,1,the servants of the Dragon King,male,1.0,tertiary
The monkeys,209,1,0,1,The monkeys,unknown,0.0,tertiary
the fish doctor,62,1,0,1,the fish doctor,unknown,0.0,tertiary
ambassadors,33,1,0,1,ambassadors,unknown,0.0,tertiary
the nurses,64,1,0,1,the nurses,unknown,0.0,tertiary
the little shrimps,42,1,0,1,the little shrimps,unknown,0.0,tertiary
a servant of the Dragon King,219,1,0,1,a servant of the Dragon King,male,1.0,tertiary
Monkeys--some of them,217,1,0,1,Monkeys's of them,unknown,0.0,tertiary
the young Queen,66,1,0,1,the young Queen,female,1.0,tertiary
bridegroom,44,1,0,1,bridegroom,unknown,0.0,tertiary
a monkey,216,1,0,1,a monkey,unknown,0.0,tertiary
the invalid,70,1,0,1,the invalid,unknown,0.0,tertiary
the King/The King--His Majesty,89,1,0,1,the King's Majesty,unknown,0.0,tertiary
the Queen--Her Majesty,207,1,0,1,the Queen's Majesty,unknown,0.0,tertiary
The Dragon King/the Dragon King--my people,208,1,0,1,The Dragon King's people,unknown,0.0,tertiary
the wily chief steward,94,1,0,1,the wily chief steward,unknown,0.0,tertiary
