sentence_id,event_id,temporal_rank
0,1,0
6,1,1
6,3,2
7,0,3
7,1,4
8,0,5
8,1,6
9,0,7
9,2,8
11,4,9
16,0,10
14,2,11
17,2,12
20,0,13
20,1,14
20,2,15
20,4,16
22,1,17
22,3,18
23,1,19
23,3,20
23,4,21
24,0,22
24,3,23
24,1,24
24,4,25
24,5,26
25,0,27
25,2,28
25,1,29
26,1,30
26,2,31
26,4,32
26,3,33
26,5,34
27,1,35
27,4,36
27,2,37
28,0,38
29,1,39
30,0,40
31,2,41
31,0,42
32,0,43
33,0,44
34,0,45
36,3,46
37,1,47
37,3,48
37,4,49
41,0,50
42,0,51
45,1,52
43,1,53
49,1,54
46,0,55
51,1,56
50,2,57
52,4,58
52,3,59
52,5,60
53,0,61
53,3,62
53,2,63
56,0,64
56,1,65
56,2,66
57,1,67
57,5,68
57,3,69
58,1,70
58,10,71
58,6,72
58,11,73
58,15,74
59,3,75
59,0,76
61,1,77
62,1,78
62,3,79
63,2,80
64,0,81
63,3,82
64,1,83
64,3,84
64,4,85
65,0,86
65,2,87
65,3,88
65,4,89
65,5,90
66,1,91
66,3,92
66,4,93
66,5,94
67,1,95
68,2,96
68,0,97
71,2,98
70,1,99
69,0,100
74,0,101
72,0,102
75,3,103
75,1,104
75,4,105
76,1,106
76,3,107
76,2,108
77,0,109
77,1,110
77,2,111
78,1,112
80,0,113
81,1,114
81,2,115
81,3,116
82,0,117
81,7,118
84,0,119
84,1,120
84,4,121
84,2,122
87,1,123
86,0,124
91,1,125
88,1,126
91,3,127
91,5,128
92,1,129
92,2,130
93,2,131
93,0,132
94,1,133
94,3,134
95,0,135
96,1,136
98,2,137
100,0,138
101,0,139
101,2,140
102,0,141
102,1,142
102,2,143
102,3,144
103,1,145
104,0,146
106,1,147
104,1,148
106,3,149
106,4,150
108,1,151
107,3,152
108,2,153
109,1,154
108,5,155
108,3,156
109,2,157
111,1,158
113,1,159
112,2,160
114,1,161
114,3,162
114,4,163
114,5,164
116,1,165
115,1,166
119,1,167
118,5,168
119,2,169
120,2,170
120,4,171
120,3,172
121,0,173
122,2,174
122,1,175
123,2,176
123,1,177
123,3,178
125,0,179
127,1,180
128,0,181
127,2,182
128,1,183
128,4,184
128,2,185
128,6,186
128,11,187
128,7,188
129,0,189
129,3,190
130,8,191
130,3,192
130,7,193
130,5,194
131,1,195
131,3,196
131,7,197
131,6,198
133,2,199
132,0,200
134,0,201
135,1,202
135,3,203
135,2,204
135,4,205
135,5,206
136,0,207
135,8,208
136,1,209
136,2,210
139,0,211
138,0,212
137,1,213
140,2,214
140,1,215
139,1,216
140,3,217
140,6,218
140,7,219
140,8,220
142,1,221
141,1,222
143,1,223
145,0,224
144,2,225
146,2,226
146,4,227
146,5,228
147,1,229
148,0,230
149,5,231
149,1,232
149,0,233
150,0,234
150,1,235
150,2,236
150,3,237
151,1,238
151,4,239
151,7,240
152,2,241
152,1,242
152,3,243
154,1,244
155,0,245
157,2,246
157,1,247
157,5,248
158,1,249
159,0,250
159,3,251
159,5,252
160,1,253
159,6,254
161,1,255
161,5,256
161,2,257
161,6,258
161,11,259
161,9,260
162,0,261
163,0,262
164,3,263
164,0,264
165,2,265
165,0,266
165,3,267
166,0,268
167,0,269
170,0,270
170,1,271
170,5,272
170,2,273
171,0,274
171,1,275
171,7,276
171,4,277
171,8,278
171,9,279
172,1,280
172,2,281
172,3,282
173,0,283
174,2,284
174,3,285
174,4,286
174,5,287
174,6,288
175,0,289
175,4,290
175,2,291
177,1,292
177,2,293
178,0,294
178,3,295
178,1,296
178,5,297
180,0,298
181,1,299
180,1,300
182,1,301
182,2,302
182,5,303
182,3,304
183,1,305
187,2,306
185,6,307
188,1,308
188,3,309
188,4,310
188,5,311
189,2,312
189,3,313
190,7,314
189,4,315
