sentence_id,event_id,temporal_rank
0,3,0
1,2,1
1,0,2
2,0,3
2,2,4
2,1,5
5,2,6
5,3,7
6,0,8
7,0,9
7,2,10
7,3,11
7,5,12
7,4,13
7,6,14
7,7,15
8,2,16
10,0,17
9,1,18
10,1,19
10,3,20
11,2,21
11,3,22
12,1,23
12,0,24
11,4,25
12,3,26
12,4,27
13,1,28
14,0,29
15,1,30
14,4,31
14,2,32
15,4,33
16,1,34
16,4,35
16,5,36
16,7,37
16,9,38
17,2,39
17,6,40
17,4,41
18,0,42
18,1,43
18,5,44
19,3,45
19,1,46
19,4,47
20,0,48
20,1,49
20,2,50
21,1,51
21,0,52
20,3,53
22,0,54
22,1,55
22,3,56
22,2,57
22,4,58
22,6,59
24,4,60
24,2,61
23,0,62
26,0,63
26,2,64
26,4,65
26,7,66
26,6,67
27,0,68
27,3,69
30,0,70
30,1,71
31,2,72
31,4,73
32,1,74
31,5,75
33,0,76
34,4,77
34,0,78
34,7,79
34,8,80
34,11,81
34,10,82
35,4,83
35,5,84
36,0,85
37,8,86
37,1,87
37,4,88
38,1,89
39,0,90
40,0,91
40,2,92
40,3,93
42,4,94
41,0,95
44,1,96
44,5,97
46,2,98
47,1,99
47,2,100
51,1,101
50,0,102
52,1,103
53,0,104
55,1,105
54,1,106
56,0,107
61,0,108
60,0,109
63,0,110
63,1,111
63,2,112
64,2,113
65,0,114
65,3,115
67,0,116
67,1,117
67,3,118
68,0,119
70,0,120
70,1,121
72,1,122
71,1,123
73,5,124
73,3,125
73,0,126
75,3,127
75,4,128
76,0,129
80,1,130
82,0,131
81,0,132
88,0,133
90,0,134
90,1,135
90,2,136
90,3,137
91,2,138
92,3,139
92,4,140
93,0,141
93,1,142
93,3,143
94,1,144
97,0,145
97,1,146
97,5,147
97,2,148
98,1,149
98,3,150
99,1,151
103,0,152
103,2,153
104,2,154
108,2,155
105,5,156
105,0,157
108,4,158
109,0,159
109,4,160
109,2,161
109,5,162
109,7,163
110,1,164
110,2,165
110,3,166
110,4,167
111,0,168
111,2,169
111,3,170
112,0,171
113,0,172
113,4,173
113,5,174
115,0,175
121,1,176
121,0,177
121,3,178
122,0,179
123,1,180
123,2,181
123,4,182
125,1,183
124,2,184
126,1,185
126,2,186
126,3,187
127,1,188
132,1,189
130,0,190
134,0,191
136,1,192
134,1,193
138,0,194
138,1,195
143,0,196
139,1,197
143,2,198
144,2,199
146,3,200
147,1,201
147,2,202
147,3,203
147,5,204
148,0,205
150,1,206
151,1,207
153,4,208
153,2,209
153,0,210
153,6,211
154,0,212
154,1,213
154,2,214
154,7,215
155,1,216
154,8,217
155,3,218
155,4,219
157,0,220
157,1,221
158,2,222
158,0,223
158,3,224
159,3,225
163,0,226
159,5,227
164,0,228
164,1,229
166,1,230
167,1,231
166,3,232
168,0,233
168,1,234
169,0,235
168,3,236
169,1,237
170,1,238
169,3,239
170,4,240
170,2,241
171,0,242
171,1,243
173,0,244
174,0,245
175,0,246
175,3,247
175,1,248
176,2,249
176,1,250
177,1,251
177,0,252
177,3,253
177,4,254
178,0,255
179,0,256
179,1,257
179,2,258
179,5,259
179,7,260
180,0,261
180,3,262
181,0,263
181,4,264
181,2,265
182,0,266
182,1,267
182,2,268
182,4,269
182,3,270
184,2,271
184,0,272
184,3,273
184,6,274
184,4,275
185,1,276
184,8,277
185,5,278
185,2,279
185,7,280
189,1,281
188,0,282
186,2,283
191,1,284
191,0,285
190,0,286
192,1,287
192,2,288
192,3,289
193,0,290
193,1,291
193,3,292
193,4,293
196,1,294
196,4,295
196,2,296
197,1,297
198,3,298
198,0,299
199,1,300
199,0,301
199,2,302
199,3,303
199,4,304
199,5,305
200,1,306
200,3,307
202,0,308
203,2,309
203,0,310
204,0,311
204,3,312
204,5,313
204,6,314
204,7,315
205,0,316
205,7,317
205,1,318
205,9,319
205,8,320
208,1,321
207,0,322
208,2,323
209,1,324
209,3,325
209,4,326
209,5,327
212,0,328
211,0,329
212,1,330
212,4,331
212,2,332
212,6,333
214,0,334
213,2,335
215,1,336
215,5,337
217,0,338
216,2,339
217,2,340
217,4,341
217,3,342
217,8,343
217,7,344
218,1,345
218,2,346
219,1,347
219,0,348
219,2,349
219,3,350
219,4,351
220,1,352
220,2,353
221,5,354
221,0,355
222,2,356
222,4,357
223,0,358
223,4,359
223,2,360
223,5,361
225,1,362
225,3,363
226,1,364
227,2,365
227,0,366
228,0,367
228,2,368
228,3,369
228,10,370
228,9,371
228,5,372
228,11,373
229,1,374
230,0,375
230,2,376
230,4,377
230,3,378
230,5,379
231,0,380
231,1,381
232,3,382
232,1,383
232,5,384
233,0,385
232,6,386
233,1,387
234,0,388
233,2,389
234,2,390
234,3,391
234,6,392
234,5,393
236,0,394
237,0,395
237,1,396
237,4,397
237,2,398
237,6,399
238,3,400
238,1,401
238,4,402
239,1,403
239,8,404
239,4,405
240,0,406
240,1,407
242,0,408
243,1,409
244,9,410
244,4,411
244,6,412
245,0,413
246,2,414
248,2,415
248,0,416
251,2,417
250,0,418
253,1,419
252,2,420
255,1,421
253,3,422
255,5,423
255,2,424
257,0,425
258,0,426
258,1,427
258,2,428
258,3,429
258,5,430
259,0,431
259,1,432
259,2,433
260,0,434
260,2,435
