sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,3,had,62,65,62,65,4,59.0,61.0,59.0,61.0,,,,,verb.possession,True,1,subject,a king whose wife,1.0,1.0,2.0,male,0.6,tertiary
1,2,loved,59,64,226,231,7,52.0,54.0,219.0,221.0,69.0,76.0,236.0,243.0,verb.emotion,True,0,subject,the king,35.0,12.0,47.0,male,1.0,tertiary
2,0,grew,30,34,274,278,7,27.0,29.0,271.0,273.0,,,,,verb.change,True,2,subject,the king,35.0,12.0,47.0,male,1.0,tertiary
6,0,began,27,32,670,675,7,18.0,26.0,661.0,669.0,,,,,verb.change,True,4,subject,the king,35.0,12.0,47.0,male,1.0,tertiary
7,4,let,63,66,792,795,8,59.0,62.0,788.0,791.0,,,,,verb.social,True,5,subject,the queen,10.0,22.0,32.0,female,1.0,tertiary
8,2,herd,61,65,927,931,8,50.0,53.0,916.0,919.0,,,,,verb.social,True,6,subject,the queen,10.0,22.0,32.0,female,1.0,tertiary
9,1,pastured,35,43,977,985,8,3.0,6.0,945.0,948.0,49.0,77.0,991.0,1019.0,verb.consumption,True,7,subject,the queen,10.0,22.0,32.0,female,1.0,tertiary
10,1,grew,37,41,1058,1062,8,33.0,36.0,1054.0,1057.0,,,,,verb.change,True,8,subject,the queen,10.0,22.0,32.0,female,1.0,tertiary
13,1,answer,12,18,1381,1387,16,0.0,3.0,1369.0,1372.0,,,,,verb.communication,True,11,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
14,4,tell,78,82,1491,1495,16,65.0,68.0,1478.0,1481.0,,,,,verb.communication,True,13,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
15,1,weeping,8,15,1508,1515,16,0.0,3.0,1500.0,1503.0,,,,,verb.communication,True,12,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
16,9,eat,145,148,1738,1741,16,133.0,136.0,1726.0,1729.0,,,,,verb.consumption,True,14,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
18,1,grew,41,45,1938,1942,16,5.0,8.0,1902.0,1905.0,,,,,verb.change,True,16,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
19,3,came,65,69,2148,2152,8,47.0,64.0,2130.0,2147.0,,,,,verb.change,True,17,subject,the queen,10.0,22.0,32.0,female,1.0,tertiary
19,3,came,65,69,2148,2152,36,47.0,64.0,2130.0,2147.0,,,,,verb.change,True,17,subject,the queen's step - daughter,1.0,0.0,1.0,unknown,0.0,tertiary
20,0,told,7,11,2204,2208,8,3.0,6.0,2200.0,2203.0,,,,,verb.communication,True,19,subject,the queen,10.0,22.0,32.0,female,1.0,tertiary
21,1,gave,47,51,2328,2332,40,17.0,37.0,2298.0,2318.0,,,,,verb.possession,True,18,subject,the servants,1.0,0.0,1.0,unknown,0.0,tertiary
21,1,gave,47,51,2328,2332,39,17.0,37.0,2298.0,2318.0,,,,,verb.possession,True,18,subject,some of the servants,1.0,0.0,1.0,unknown,0.0,tertiary
22,0,followed,9,17,2352,2360,41,0.0,8.0,2343.0,2351.0,22.0,37.0,2365.0,2380.0,verb.motion,True,20,subject,the maid,2.0,0.0,2.0,unknown,0.0,tertiary
23,0,told,13,17,2612,2616,41,4.0,12.0,2603.0,2611.0,,,,,verb.communication,True,22,subject,the maid,2.0,0.0,2.0,unknown,0.0,tertiary
24,4,warred,80,86,2725,2731,51,44.0,58.0,2689.0,2703.0,,,,,verb.competition,True,21,subject,the other king,1.0,0.0,1.0,male,1.0,tertiary
24,4,warred,80,86,2725,2731,7,44.0,58.0,2689.0,2703.0,,,,,verb.competition,True,21,subject,the king,35.0,12.0,47.0,male,1.0,tertiary
26,6,recover,121,128,2941,2948,8,107.0,110.0,2927.0,2930.0,,,,,verb.body,True,23,subject,the queen,10.0,22.0,32.0,female,1.0,tertiary
27,0,asked,39,44,3041,3046,16,0.0,38.0,3002.0,3040.0,,,,,verb.communication,True,24,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
27,0,asked,39,44,3041,3046,59,0.0,38.0,3002.0,3040.0,,,,,verb.communication,True,24,subject,others as well,1.0,0.0,1.0,unknown,0.0,tertiary
27,0,asked,39,44,3041,3046,7,0.0,38.0,3002.0,3040.0,,,,,verb.communication,True,24,subject,the king,35.0,12.0,47.0,male,1.0,tertiary
30,1,felt,41,45,3333,3337,16,37.0,40.0,3329.0,3332.0,,,,,verb.body,True,25,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
32,1,weep,12,16,3482,3486,16,8.0,11.0,3478.0,3481.0,,,,,verb.body,True,27,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
34,0,told,9,13,3514,3518,16,5.0,8.0,3510.0,3513.0,,,,,verb.communication,True,29,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
35,5,said,85,89,3836,3840,16,1.0,82.0,3752.0,3833.0,,,,,verb.communication,True,30,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
35,5,said,85,89,3836,3840,8,1.0,82.0,3752.0,3833.0,,,,,verb.communication,True,30,subject,the queen,10.0,22.0,32.0,female,1.0,tertiary
35,5,said,85,89,3836,3840,31,1.0,82.0,3752.0,3833.0,,,,,verb.communication,True,30,subject,The bull,28.0,53.0,81.0,male,1.0,secondary
38,1,crept,64,69,4187,4192,16,44.0,63.0,4167.0,4186.0,,,,,verb.motion,True,33,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
38,1,crept,64,69,4187,4192,7,44.0,63.0,4167.0,4186.0,,,,,verb.motion,True,33,subject,the king,35.0,12.0,47.0,male,1.0,tertiary
39,0,took,3,7,4228,4232,31,0.0,2.0,4225.0,4227.0,,,,,verb.contact,True,34,subject,The bull,28.0,53.0,81.0,male,1.0,secondary
40,2,wanted,52,58,4343,4349,81,9.0,19.0,4300.0,4310.0,,,,,verb.emotion,True,35,subject,the people,4.0,5.0,9.0,group/nonbinary,1.0,tertiary
41,0,rose,19,23,4404,4408,7,10.0,18.0,4395.0,4403.0,,,,,verb.motion,True,37,subject,the king,35.0,12.0,47.0,male,1.0,tertiary
44,5,touch,131,136,4879,4884,16,99.0,102.0,4847.0,4850.0,,,,,verb.contact,True,38,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
46,2,touch,43,48,5070,5075,16,13.0,16.0,5040.0,5043.0,,,,,verb.contact,True,39,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
47,2,thrust,54,60,5140,5146,16,4.0,7.0,5090.0,5093.0,,,,,verb.motion,True,40,subject,The king 's daughter,27.0,149.0,176.0,male,1.0,primary
51,1,done,15,19,5377,5381,31,1.0,5.0,5363.0,5367.0,,,,,verb.social,True,41,subject,The bull,28.0,53.0,81.0,male,1.0,secondary
52,1,fight,11,16,5394,5399,31,4.0,5.0,5387.0,5388.0,,,,,verb.competition,True,43,subject,The bull,28.0,53.0,81.0,male,1.0,secondary
54,1,came,85,89,5546,5550,313,60.0,84.0,5521.0,5545.0,,,,,verb.motion,True,46,subject,a troll with three heads,2.0,3.0,5.0,male,1.0,tertiary
63,1,gored,45,50,5782,5787,31,36.0,44.0,5773.0,5781.0,,,,,verb.contact,True,50,subject,The bull,28.0,53.0,81.0,male,1.0,secondary
